threshold,min_precision,min_f1,mean_f1,max_fault_to_weather
0.03,0.33093525179856115,0.46,0.4935275754422477,0.10173160173160173
0.049999999999999996,0.4885057471264368,0.5743243243243243,0.6170119335534097,0.06277056277056277
0.06999999999999999,0.598750743604997,0.6349206349206349,0.6876331751285778,0.04329004329004329
0.09,0.6714668452779639,0.6347826086956522,0.7134798069159809,0.03896103896103896
0.10999999999999999,0.7272727272727273,0.6515837104072398,0.7403448697566345,0.0367965367965368
0.12999999999999998,0.7419354838709677,0.641860465116279,0.7482107833326662,0.03463203463203463
0.14999999999999997,0.7976190476190477,0.6504854368932039,0.761815665092606,0.025974025974025976
0.16999999999999998,0.8205128205128205,0.64,0.7636906377204884,0.017316017316017316
0.18999999999999997,0.8472222222222222,0.6288659793814433,0.7644790302063754,0.015151515151515152
0.20999999999999996,0.8591549295774648,0.6321243523316062,0.7684042875617481,0.015151515151515152
0.22999999999999995,0.8787878787878788,0.6170212765957447,0.7646260866063654,0.012987012987012988
0.24999999999999997,0.8923076923076924,0.6203208556149733,0.767905220721061,0.010822510822510822
0.26999999999999996,0.9016393442622951,0.6010928961748634,0.7580343707927457,0.008658008658008658
0.2899999999999999,0.9166666666666666,0.6043956043956044,0.7588522588522588,0.008658008658008658
0.30999999999999994,0.9285714285714286,0.5842696629213483,0.7480461615099352,0.006493506493506494
0.32999999999999996,0.9419023136246787,0.5795454545454546,0.7453807849698175,0.004329004329004329
0.35,0.9433962264150944,0.5714285714285714,0.7397127815779106,0.0021645021645021645
0.37,0.9433962264150944,0.5714285714285714,0.7385587863463969,0.0021645021645021645
0.3899999999999999,0.9615384615384616,0.5747126436781609,0.7393481502354032,0.0021645021645021645
0.4099999999999999,0.9591836734693877,0.5497076023391813,0.7257787754758599,0.0021645021645021645
0.42999999999999994,0.9591836734693877,0.5497076023391813,0.723299397024513,0.0021645021645021645
0.44999999999999996,0.9565217391304348,0.5238095238095238,0.7082634149979491,0.0
0.47,0.9555555555555556,0.5149700598802395,0.7012580199558843,0.0
0.4899999999999999,0.9534883720930233,0.49696969696969695,0.6896379825763587,0.0
0.5099999999999999,0.9523809523809523,0.4878048780487805,0.6817691056910569,0.0
0.5299999999999999,0.95,0.4691358024691358,0.6695021647172618,0.0
0.5499999999999999,0.9487179487179487,0.45962732919254656,0.6599706759660622,0.0
0.57,0.9487179487179487,0.45962732919254656,0.6556535990404142,0.0
0.59,0.9473684210526315,0.45,0.6480346344145135,0.0
0.61,0.9459459459459459,0.44025157232704404,0.6373719614069155,0.0
0.6299999999999999,0.9428571428571428,0.42038216560509556,0.6224348345576727,0.0
0.6499999999999999,0.9411764705882353,0.41025641025641024,0.6105874033084724,0.0
0.6699999999999999,0.9354838709677419,0.3790849673202614,0.5883348930908381,0.0
0.69,0.9354838709677419,0.3790849673202614,0.5837453822108554,0.0
0.71,0.9354838709677419,0.3790849673202614,0.5767528092688137,0.0
0.7299999999999999,0.9354838709677419,0.3790849673202614,0.5701417123756454,0.0
0.7499999999999999,0.9333333333333333,0.3684210526315789,0.5586110059320964,0.0
0.7699999999999999,0.9230769230769231,0.32432432432432434,0.53004095004095,0.0
0.7899999999999999,0.9166666666666666,0.3013698630136986,0.5118130737508714,0.0
0.8099999999999999,0.993006993006993,0.3055555555555556,0.5055728088336784,0.0
0.8299999999999998,0.9926806953339433,0.2937062937062937,0.48923244631670004,0.0
0.8499999999999999,0.9922705314009662,0.2937062937062937,0.47697207967217614,0.0
0.8699999999999999,0.9959225280326198,0.2446043165467626,0.44189653184223965,0.0
0.8899999999999999,0.9967069154774972,0.2446043165467626,0.4262860886382959,0.0
0.9099999999999999,0.9964994165694282,0.21897810218978103,0.4006585021688762,0.0
0.9299999999999999,0.9987437185929648,0.20588235294117646,0.3797517614288055,0.0
0.95,0.9986130374479889,0.16541353383458646,0.3401254297703501,0.0
