scope,domain,rows,candidate_variant,baseline_precision,candidate_precision,baseline_recall,candidate_recall,baseline_point_f1,candidate_point_f1,point_f1_delta,baseline_event_f1,candidate_event_f1,event_f1_delta,baseline_weak_recall,candidate_weak_recall,weak_recall_delta,candidate_false_alarm,baseline_weather_f1,candidate_weather_f1,candidate_fault_to_weather
discovery,india,75815,tree_plus_lstm_autoencoder,0.8341013824884793,0.8695652173913043,0.2928802588996764,0.2588996763754045,0.43353293413173655,0.39900249376558605,-0.034530440366150494,0.6194690265486725,0.64,0.020530973451327483,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.006215074281041298,0.62,0.7819548872180451,0.0
discovery,dwd_all,47121,tree_plus_lstm_autoencoder,0.09036144578313253,0.8,0.06711409395973154,0.2058165548098434,0.07702182284980745,0.3274021352313167,0.25038031238150926,0.0975609756097561,0.37037037037037035,0.2728093947606143,0.3333333333333333,0.4166666666666667,0.08333333333333337,0.012199254490003392,0.10327022375215146,0.8571428571428571,0.008948545861297539
discovery,dwd_holdout,11808,tree_plus_lstm_autoencoder,0.19318181818181818,0.875,0.10240963855421686,0.25301204819277107,0.13385826771653545,0.3925233644859813,0.2586650967694458,0.06896551724137931,0.35294117647058826,0.283975659229209,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.018298881735005084,0.10337078651685393,0.8635875402792696,0.012048192771084338
confirmation,india,47599,tree_plus_lstm_autoencoder,0.8326180257510729,0.8421052631578947,0.4118895966029724,0.40764331210191085,0.5511363636363636,0.5493562231759657,-0.0017801404603979831,0.5979381443298968,0.6526315789473686,0.05469343461747178,0.3333333333333333,0.5555555555555555,0.22222222222222215,0.01524172422005239,0.4369747899159664,0.34,0.006369426751592357
confirmation,dwd_all,46667,tree_plus_lstm_autoencoder,0.0377643504531722,0.6666666666666666,0.05112474437627812,0.13496932515337423,0.043440486533449174,0.22448979591836735,0.18104930938491817,0.06866952789699571,0.3050847457627119,0.23641521786571618,0.3333333333333333,0.4166666666666667,0.08333333333333337,0.015374103177314661,0.07397069085833916,0.9083622762489981,0.012269938650306749
confirmation,dwd_holdout,11617,tree_plus_lstm_autoencoder,0.03587443946188341,0.765625,0.05228758169934641,0.3202614379084967,0.0425531914893617,0.45161290322580644,0.40905971173644473,0.07894736842105264,0.42105263157894735,0.3421052631578947,0.4444444444444444,0.5555555555555555,0.11111111111111105,0.018448923812777587,0.07062600321027288,0.9038461538461539,0.006535947712418301
