seed,epoch,loss,tune_auprc
17,1,0.2559339354435603,0.08557491662853052
17,2,0.20336058032181528,0.059075671368622656
17,3,0.16567647281206316,0.04586798669706525
17,4,0.13297902482251325,0.06639751480552786
17,5,0.11566186882555485,0.07313135697165572
41,1,0.24729694943461153,0.09560789981525186
41,2,0.19923626941939196,0.11336014308944473
41,3,0.16868421818233198,0.11008163794034484
41,4,0.14101434028190044,0.10319929007458457
41,5,0.12137090264716083,0.0904004484659365
41,6,0.10145351176874505,0.07941877239293324
