score_col,threshold,min_f1_delta,mean_f1_delta,min_macro_delta,max_fault_to_weather,mean_weather_f1,passes_discovery
weather7_l1,0.05,-0.6834249736958219,-0.5942697735798477,-0.12334823822966079,0.15289256198347106,0.04599937755886872,False
weather7_l1,0.075,-0.6800672157531005,-0.5906353331432349,-0.14453973475355042,0.1446280991735537,0.0496338179954815,False
weather7_l1,0.1,-0.6767542229380911,-0.5874958652162803,-0.19958116523182112,0.1322314049586777,0.052773285922436006,False
weather7_l1,0.125,-0.6725686511669579,-0.5834937896680948,-0.18805181339221144,0.11983471074380166,0.05677536147062154,False
weather7_l1,0.15,-0.669047619047619,-0.579960229291333,-0.16243644430195558,0.11983471074380166,0.06030892184738339,False
weather7_l1,0.175,-0.6652279093455564,-0.5773830922756652,-0.1566429093567251,0.11983471074380166,0.06288605886305114,False
weather7_l1,0.2,-0.6605600789538613,-0.5759063334727899,-0.15168259189640765,0.11570247933884298,0.06436281766592647,False
weather7_l1,0.22499999999999998,-0.656635869723118,-0.5729511720602313,-0.13732900762756917,0.10743801652892562,0.06731797907848508,False
weather7_l1,0.25,-0.6537454567855603,-0.570494009857311,-0.22989516879319505,0.10743801652892562,0.06977514128140533,False
weather7_l1,0.27499999999999997,-0.6507696007696008,-0.5674589198976524,-0.22192068713450286,0.10743801652892562,0.072810231241064,False
weather7_l1,0.3,-0.647094430992736,-0.5659385198441941,-0.21900693422075002,0.10330578512396695,0.07433063129452223,False
weather7_l1,0.32499999999999996,-0.6496713464080306,-0.5664035256414329,-0.23741720832362367,0.09917355371900827,0.07386562549728341,False
weather7_l1,0.35,-0.6476358807466427,-0.5643676495951435,-0.24310348283342764,0.09504132231404959,0.07590150154357278,False
weather7_l1,0.37499999999999994,-0.6436293978416977,-0.5616442136240781,-0.23893218138737649,0.09504132231404959,0.07862493751463817,False
weather7_l1,0.39999999999999997,-0.6454178686399933,-0.5613201830339394,-0.24622624269005844,0.09090909090909091,0.07894896810477693,False
weather7_l1,0.42499999999999993,-0.6428571428571428,-0.5606043380401683,-0.2441520019190092,0.09090909090909091,0.07966481309854803,False
weather7_l1,0.44999999999999996,-0.6390655971972525,-0.5598492916615032,-0.2403812628541525,0.09090909090909091,0.08041985947721317,False
weather7_l1,0.475,-0.6350973587815693,-0.5575708896478853,-0.23645969422670154,0.08677685950413223,0.08269826149083115,False
weather7_l1,0.49999999999999994,-0.6301392488692381,-0.5544465612361966,-0.23206561467073483,0.08264462809917356,0.08582258990251965,False
weather7_l1,0.525,-0.6241496598639455,-0.5552351375332741,-0.23206561467073483,0.08264462809917356,0.08503401360544219,False
weather7_l1,0.5499999999999999,-0.6223257418909592,-0.5593512767425811,-0.2406706871345029,0.08264462809917356,0.08091787439613526,False
weather7_l1,0.575,-0.6187735963950798,-0.5587126099751953,-0.24709799209904182,0.07851239669421488,0.081556541163521,False
weather7_l1,0.6,-0.6143214448125771,-0.5592023603174917,-0.2538047451055173,0.07851239669421488,0.08106679082122464,False
weather7_l1,0.625,-0.6144426251876108,-0.5604177926330524,-0.3191019682886823,0.07851239669421488,0.07985135850566398,False
weather7_l1,0.65,-0.6129266907955432,-0.5624251372291287,-0.3246449033182144,0.07851239669421488,0.07784401390958769,False
weather7_l1,0.675,-0.6087301587301587,-0.5654099601504932,-0.3354791395045632,0.07851239669421488,0.07485919098822325,False
