test,variant,rows,stations,tp,fp,fn,tn,precision,recall,f1,auprc,true_episodes,predicted_episodes,event_precision,event_recall,event_f1,false_alarm_episodes_per_station_day,delay_median_min,delay_p90_min,delay_mean_min,accuracy,specificity,balanced_accuracy,operational_episode_recall,operational_false_alarm_episodes_per_station_day,weather_f1,weather_to_fault_rate
blind_time,Iteration3 reference,117799,20,706,101,1672,115320,0.8748451053283767,0.2968881412952061,0.4433281004709576,0.44969967200906374,180,217,0.5944700460829493,0.7166666666666667,0.649874055415617,0.01865930425179459,0.0,720.0,203.72093023255815,0.984948938445997,0.999124942601433,0.6480065419483195,0.8153846153846154,0.7056609607951408,0.5302491103202847,0.0
blind_time,Iteration5 weak consensus,117799,20,741,103,1637,115318,0.8779620853080569,0.3116063919259882,0.45996275605214154,0.44969967200906374,180,218,0.5963302752293578,0.7222222222222222,0.6532663316582915,0.01865930425179459,0.0,720.0,203.30769230769232,0.9852290766475097,0.9991076147321545,0.6553570033290713,0.8205128205128205,0.7056609607951408,0.5302491103202847,0.0
blind_station,Iteration3 reference,6849,4,119,13,216,6501,0.9015151515151515,0.35522388059701493,0.5096359743040685,0.5985075090049157,72,60,0.8,0.6666666666666666,0.7272727272727272,0.012720286206439646,0.0,414.0000000000008,133.75,0.9665644619652504,0.9980042984341418,0.6766140895155783,0.7692307692307693,0.12508281436332316,0.13636363636363635,0.030303030303030304
blind_station,Iteration5 weak consensus,6849,4,119,13,216,6501,0.9015151515151515,0.35522388059701493,0.5096359743040685,0.5985075090049157,72,60,0.8,0.6666666666666666,0.7272727272727272,0.012720286206439646,0.0,414.0000000000008,133.75,0.9665644619652504,0.9980042984341418,0.6766140895155783,0.7692307692307693,0.12508281436332316,0.13636363636363635,0.030303030303030304
