base_start,base_continue,rescue_threshold,min_points,block_may_jun_precision,block_may_jun_recall,block_may_jun_f1,block_may_jun_auprc,block_may_jun_event_precision,block_may_jun_event_recall,block_may_jun_event_f1,block_may_jun_false_alarm_episodes_per_station_day,block_may_jun_delay_mean_min,block_may_jun_delay_p90_min,block_jul_sep_precision,block_jul_sep_recall,block_jul_sep_f1,block_jul_sep_auprc,block_jul_sep_event_precision,block_jul_sep_event_recall,block_jul_sep_event_f1,block_jul_sep_false_alarm_episodes_per_station_day,block_jul_sep_delay_mean_min,block_jul_sep_delay_p90_min,block_oct_dec_precision,block_oct_dec_recall,block_oct_dec_f1,block_oct_dec_auprc,block_oct_dec_event_precision,block_oct_dec_event_recall,block_oct_dec_event_f1,block_oct_dec_false_alarm_episodes_per_station_day,block_oct_dec_delay_mean_min,block_oct_dec_delay_p90_min,min_precision,max_false_alarm,min_event_recall,mean_event_f1,mean_point_f1
0.3,0.21999999999999997,0.5,2,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
0.3,0.21999999999999997,0.5,3,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
0.3,0.21999999999999997,0.5,4,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
0.3,0.21999999999999997,0.6,2,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
0.3,0.21999999999999997,0.6,3,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
0.3,0.21999999999999997,0.6,4,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
0.3,0.21999999999999997,0.7,2,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
0.3,0.21999999999999997,0.7,3,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
0.3,0.21999999999999997,0.7,4,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
0.3,0.21999999999999997,0.8,2,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
0.3,0.21999999999999997,0.8,3,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
0.3,0.21999999999999997,0.8,4,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
0.3,0.21999999999999997,0.9,2,0.8,0.4444444444444444,0.5714285714285714,0.5254728087516216,0.5161290322580645,0.7272727272727273,0.6037735849056604,0.012328344919694532,86.25,300.0,0.8860759493670886,0.18666666666666668,0.30837004405286345,0.24411362912119633,0.5454545454545454,0.6666666666666666,0.6,0.008165579812872128,190.0,630.0000000000007,0.8326180257510729,0.4118895966029724,0.5511363636363636,0.49515697020148025,0.47540983606557374,0.8055555555555556,0.5979381443298968,0.017419113394345587,93.10344827586206,443.9999999999999,0.8,0.017419113394345587,0.6666666666666666,0.6005705764118524,0.4769783263725995
