test,duplicate_packet_tp,duplicate_packet_fp,duplicate_packet_fn,duplicate_packet_precision,duplicate_packet_recall,true_duplicate_episodes,detected_duplicate_episodes,duplicate_episode_recall,dropout_event_tp,dropout_event_fp,dropout_event_fn,dropout_event_precision,dropout_event_recall,true_dropout_episodes,detector_uses_only_arrival_timestamps,stream_action_used_by_detector,detector_inputs
blind_time,25,0,0,1.0,1.0,15,15,1.0,15,3240,0,0.004608294930875576,1.0,15,True,False,"['station_id', 'arrival_timestamp', 'temperature', 'pressure', 'humidity']"
blind_station,7,0,0,1.0,1.0,6,6,1.0,6,106,0,0.05357142857142857,1.0,6,True,False,"['station_id', 'arrival_timestamp', 'temperature', 'pressure', 'humidity']"
