ratio_threshold,recent_regularity,historical_q999_multiplier,tp,fp,fn,precision,recall,f1,false_gap_alerts_per_station_day
12.0,0.8,2.0,5,15,2,0.25,0.7142857142857143,0.37037037037037035,0.006108320890457446
30.0,0.5,3.0,2,2,5,0.5,0.2857142857142857,0.36363636363636365,0.0008144427853943261
30.0,0.7,2.0,2,2,5,0.5,0.2857142857142857,0.36363636363636365,0.0008144427853943261
40.0,0.5,3.0,2,2,5,0.5,0.2857142857142857,0.36363636363636365,0.0008144427853943261
40.0,0.7,2.0,2,2,5,0.5,0.2857142857142857,0.36363636363636365,0.0008144427853943261
10.0,0.7,1.5,6,20,1,0.23076923076923078,0.8571428571428571,0.36363636363636365,0.00814442785394326
10.0,0.8,2.0,5,16,2,0.23809523809523808,0.7142857142857143,0.35714285714285715,0.006515542283154609
12.0,0.7,2.0,5,16,2,0.23809523809523808,0.7142857142857143,0.35714285714285715,0.006515542283154609
30.0,0.5,1.0,3,7,4,0.3,0.42857142857142855,0.3529411764705882,0.0028505497488801415
30.0,0.8,0.0,3,7,4,0.3,0.42857142857142855,0.3529411764705882,0.0028505497488801415
40.0,0.7,0.0,3,7,4,0.3,0.42857142857142855,0.3529411764705882,0.0028505497488801415
8.0,0.8,2.0,5,17,2,0.22727272727272727,0.7142857142857143,0.3448275862068965,0.006922763675851771
10.0,0.7,2.0,5,17,2,0.22727272727272727,0.7142857142857143,0.3448275862068965,0.006922763675851771
12.0,0.5,1.5,6,22,1,0.21428571428571427,0.8571428571428571,0.34285714285714286,0.008958870639337587
8.0,0.7,2.0,5,18,2,0.21739130434782608,0.7142857142857143,0.3333333333333333,0.0073299850685489346
12.0,0.5,2.0,5,18,2,0.21739130434782608,0.7142857142857143,0.3333333333333333,0.0073299850685489346
8.0,0.8,1.5,6,23,1,0.20689655172413793,0.8571428571428571,0.33333333333333326,0.00936609203203475
10.0,0.5,1.5,6,23,1,0.20689655172413793,0.8571428571428571,0.33333333333333326,0.00936609203203475
10.0,0.5,2.0,5,19,2,0.20833333333333334,0.7142857142857143,0.3225806451612903,0.007737206461246098
8.0,0.7,1.5,6,25,1,0.1935483870967742,0.8571428571428571,0.3157894736842105,0.010180534817429076
2.5,0.8,2.0,5,20,2,0.2,0.7142857142857143,0.3125,0.00814442785394326
3.0,0.8,2.0,5,20,2,0.2,0.7142857142857143,0.3125,0.00814442785394326
4.0,0.8,2.0,5,20,2,0.2,0.7142857142857143,0.3125,0.00814442785394326
5.0,0.8,2.0,5,20,2,0.2,0.7142857142857143,0.3125,0.00814442785394326
6.0,0.8,2.0,5,20,2,0.2,0.7142857142857143,0.3125,0.00814442785394326
8.0,0.5,2.0,5,20,2,0.2,0.7142857142857143,0.3125,0.00814442785394326
30.0,0.5,2.0,2,4,5,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.0016288855707886523
40.0,0.5,2.0,2,4,5,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.0016288855707886523
