test,variant,weather_rows,weather_precision,weather_recall,weather_f1,weather_auprc,weather_to_fault_rate
blind_time,Iteration3 reference,632,0.6056910569105691,0.47151898734177217,0.5302491103202847,0.5533433450143154,0.0
blind_time,Iteration5 weak consensus,632,0.6056910569105691,0.47151898734177217,0.5302491103202847,0.5533433450143154,0.0
blind_station,Iteration3 reference,66,0.2727272727272727,0.09090909090909091,0.13636363636363635,0.1930314799911449,0.030303030303030304
blind_station,Iteration5 weak consensus,66,0.2727272727272727,0.09090909090909091,0.13636363636363635,0.1930314799911449,0.030303030303030304
