fault_family,true_incidents,detected_incidents,episode_recall
sudden_drop,2,0,0.0
drift,10,1,0.1
spike,10,2,0.2
bias,10,2,0.2
noise,10,4,0.4
scaling_error,2,1,0.5
timestamp_error,2,1,0.5
dropout,2,1,0.5
unit_error,2,1,0.5
frozen_sensor,10,6,0.6
communication_corruption,2,2,1.0
duplicate_packet,2,2,1.0
multi_sensor_failure,2,2,1.0
