cluster,true_incidents,predicted_incidents,tp,fp,fn,precision,recall,f1,false_alerts_per_station_day,median_latency_minutes,mean_latency_minutes,p90_latency_minutes,matched_root_accuracy,matched_root_macro_f1
dwd_dwd_east_continental,24,163,21,142,3,0.12883435582822086,0.875,0.22459893048128343,0.016295616249713107,60.0,40.0,60.0,0.0,0.0
dwd_dwd_north_coastal,32,212,28,184,4,0.1320754716981132,0.875,0.22950819672131148,0.021115446408078952,60.0,143.57142857142858,312.00000000000017,0.0,0.0
dwd_dwd_south_upland,24,151,24,127,0,0.15894039735099338,1.0,0.2742857142857143,0.014574248336011017,120.0,227.5,540.0,0.0,0.0
dwd_dwd_west_lowland,32,335,32,303,0,0.0955223880597015,1.0,0.17438692098092642,0.03477163185678219,60.0,138.75,462.0000000000004,0.0,0.0
india_bengaluru,42,96,40,56,2,0.4166666666666667,0.9523809523809523,0.5797101449275361,0.006426440211154464,120.0,252.0,729.0000000000001,0.0,0.0
india_chennai,35,91,35,56,0,0.38461538461538464,1.0,0.5555555555555556,0.006426440211154464,180.0,120.0,180.0,0.0,0.0
india_delhi,42,157,37,120,5,0.2356687898089172,0.8809523809523809,0.3718592964824121,0.013770943309616708,180.0,216.48648648648648,540.0,0.0,0.0
india_hyderabad,45,123,43,80,2,0.34959349593495936,0.9555555555555556,0.5119047619047619,0.009180628873077806,180.0,269.30232558139534,660.0,0.0,0.0
