season,rows,macro_f1,fault_f1,weather_f1
monsoon,47544,0.44462301683751404,0.02336448598130841,0.37326933727155254
post_monsoon,113716,0.5654272814997948,0.07893209518282066,0.6515490258703289
winter,41250,0.529714346750871,0.04345815996301433,0.58184832159138
