"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","ED1","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","OC1","REM","EQD"
"42492099999","2024-01-01T00:00:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0114,1","+0102,1","10181,1",,"4,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-005,1","11,1",,"SYN05242492 31994 00000 10114 20102 40181 71140 333 59005=",
"42492099999","2024-01-01T00:00:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-15","99999","V020","260,1,N,0021,1","22000,1,9,N","001200,1,9,9","+0130,1","+0120,1","99999,9",,,,"25,U,9999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10180,1,99999,9",,"12,1",,"MET077METAR VEPT 010000Z 26004KT 1200 R25/1800 R07/1700 MIFG NSC 13/12 Q1018 NOSIG=",
"42492099999","2024-01-01T00:30:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-15","99999","V020","270,1,N,0026,1","22000,1,9,N","001200,1,9,9","+0130,1","+0130,1","99999,9",,,,"25,U,9999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10180,1,99999,9",,"12,1",,"MET077METAR VEPT 010030Z 27005KT 1200 R25/1800 R07/1600 MIFG NSC 13/13 Q1018 NOSIG=",
"42492099999","2024-01-01T01:00:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-15","99999","V020","290,1,N,0021,1","99999,9,9,N","001200,1,9,9","+0130,1","+0120,1","99999,9",,,,"25,U,9999,9",,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10190,1,99999,9",,"12,1",,"MET079METAR VEPT 010100Z 29004KT 1200 R25/1800 R07/1700 MIFG VV/// 13/12 Q1019 NOSIG=",
"42492099999","2024-01-01T01:30:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-15","99999","V020","280,1,N,0021,1","99999,9,9,N","001300,1,9,9","+0130,1","+0120,1","99999,9",,,,"25,U,9999,9",,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10190,1,99999,9",,"10,1",,"MET077METAR VEPT 010130Z 28004KT 1300 R25/2000 R07/1800 BR VV/// 13/12 Q1019 NOSIG=",
"42492099999","2024-01-01T02:00:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-15","99999","V020","270,1,N,0026,1","22000,1,9,N","001400,1,9,9","+0130,1","+0120,1","99999,9",,,,"25,U,9999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10190,1,99999,9",,"10,1",,"MET083METAR VEPT 010200Z 27005KT 1400 R25/2000 R07/2000 BR NSC 13/12 Q1019 BECMG 1500 BR=",
"42492099999","2024-01-01T03:00:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","001000,1,9,9","+0118,1","+0098,1","10203,1",,"4,1,02,1","0,1,02,1",,,,,,,,"240,N,+0107,1",,,"9,9,999,9,-005,1","10,1",,"SYN06842492 31994 02702 10118 20098 40203 71040 333 20107 59005 555 10000=",
"42492099999","2024-01-01T03:00:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-15","99999","V020","280,1,N,0026,1","22000,1,9,N","001400,1,9,9","+0130,1","+0120,1","99999,9",,,,"25,U,9999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10200,1,99999,9",,"10,1",,"MET075METAR VEPT 010300Z 28005KT 1400 R25/1700 R07/1600 BR NSC 13/12 Q1020 NOSIG=",
"42492099999","2024-01-01T03:30:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-15","99999","V020","280,1,N,0026,1","22000,1,9,N","001400,1,9,9","+0130,1","+0120,1","99999,9",,,,"25,U,9999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10200,1,99999,9",,"10,1",,"MET075METAR VEPT 010330Z 28005KT 1400 R25/1700 R07/1800 BR NSC 13/12 Q1020 NOSIG=",
"42492099999","2024-01-01T04:00:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-15","99999","V020","270,1,N,0015,1","22000,1,9,N","001400,1,9,9","+0140,1","+0120,1","99999,9",,,,"25,U,9999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10210,1,99999,9",,"10,1",,"MET075METAR VEPT 010400Z 27003KT 1400 R25/1700 R07/1800 BR NSC 14/12 Q1021 NOSIG=",
"42492099999","2024-01-01T04:30:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-15","99999","V020","270,1,N,0031,1","22000,1,9,N","001400,1,9,9","+0130,1","+0120,1","99999,9",,,,"25,U,9999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10210,1,99999,9",,"10,1",,"MET083METAR VEPT 010430Z 27006KT 1400 R25/1600 R07/1700 BR NSC 13/12 Q1021 BECMG 1500 BR=",
"42492099999","2024-01-01T05:00:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-15","99999","V020","290,1,N,0021,1","22000,1,9,N","001400,1,9,9","+0140,1","+0120,1","99999,9",,,,"25,U,9999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10200,1,99999,9",,"10,1",,"MET075METAR VEPT 010500Z 29004KT 1400 R25/1600 R07/1300 BR NSC 14/12 Q1020 NOSIG=",
"42492099999","2024-01-01T05:30:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-15","99999","V020","310,1,N,0015,1","22000,1,9,N","001600,1,9,9","+0140,1","+0120,1","99999,9",,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10200,1,99999,9",,"10,1",,"MET057METAR VEPT 010530Z 31003KT 1600 BR NSC 14/12 Q1020 NOSIG=",
"42492099999","2024-01-01T06:00:00","4","25.591317","85.087992","51.81","PATNA, IN","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","001000,1,9,9","+0146,1","+0100,1","10196,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-008,1","10,1",,"SYN05242492 31994 02702 10146 20100 40196 71000 333 59008=",
