"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","ED1","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","MW3","OC1","REM","EQD"
"42189099999","2024-01-01T00:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","03000,1,C,N","001000,1,9,9","+0106,1","+0086,1","10189,1",,"2,1,02,1","1,1,02,1",,"03,1,+00900,1,06,1","05,1,+03000,1,04,1","06,1,+06000,1,00,1",,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00900,1,99,9,99,9",,,,"9,9,999,9,+003,1","10,1",,,,"SYN07642189 31594 60000 10106 20086 40189 71021 83511 333 58003 83630 85460 86070=",
"42189099999","2024-01-01T00:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","290,1,N,0021,1","99999,9,9,N","001500,1,9,9","+0110,5","+0090,5","99999,9",,,,,,,,,,,,,"10180,5,99999,9",,"10,5",,,,"MET071METAR VIBY 010000Z 29004KT 1500 U/S BR SCT015 BKN020 11/09 Q1018 NOSIG=","D01      0ADE735"
"42189099999","2024-01-01T01:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","230,1,N,0015,1","99999,9,9,N","002000,1,9,9","+0110,5","+0090,5","99999,9",,,,,,,,,,,,,"10190,5,99999,9",,"10,5",,,,"MET071METAR VIBY 010100Z 23003KT 2000 U/S BR SCT015 BKN020 11/09 Q1019 NOSIG=","D01      0ADE735"
"42189099999","2024-01-01T01:30:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","220,1,N,0015,1","99999,9,9,N","002000,1,9,9","+0110,5","+0090,5","99999,9",,,,,,,,,,,,,"10190,5,99999,9",,"10,5",,,,"MET071METAR VIBY 010130Z 22003KT 2000 U/S BR SCT015 BKN020 11/09 Q1019 NOSIG=","D01      0ADE735"
"42189099999","2024-01-01T02:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","002000,1,9,9","+0110,5","+0090,5","99999,9",,,,,,,,,,,,,"10190,5,99999,9",,"10,5",,,,"MET071METAR VIBY 010200Z VRB02KT 2000 U/S BR SCT015 BKN020 11/09 Q1019 NOSIG=","D01      0ADE735"
"42189099999","2024-01-01T02:30:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","999,9,V,0010,1","00914,1,9,N","002300,1,9,9","+0110,1","+0090,1","99999,9",,,,,"04,1,+00457,1,99,9","07,1,+00914,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9",,,"10190,1,99999,9",,"10,1",,,,"MET067METAR VIBY 010230Z VRB02KT 2300 BR SCT015 BKN030 11/09 Q1019 NOSIG=",
"42189099999","2024-01-01T03:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00900,1,C,N","002000,1,9,9","+0112,1","+0104,1","10202,1",,"2,1,02,1","2,1,02,1",,"07,1,+00900,1,06,1",,,,"9,AGL   ,+99999,+99999","07,99,1,07,1,99,9,00900,1,99,9,99,9","240,M,+0136,1","240,N,+0102,1",,"9,9,999,9,-008,1","05,1",,,,"SYN08642189 31595 70000 10112 20104 40202 70522 87500 333 10136 20102 59008 87630 555 10000=",
"42189099999","2024-01-01T04:30:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","999,9,V,0005,1","00914,1,C,N","003000,1,9,9","+0130,1","+0080,1","99999,9",,,,,"04,1,+00610,1,99,9","04,1,+00914,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10210,1,99999,9",,"05,1",,,,"MET067METAR VIBY 010430Z VRB01KT 3000 HZ SCT020 SCT030 13/08 Q1021 NOSIG=",
"42189099999","2024-01-01T05:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","999,9,V,0010,1","00914,1,C,N","003000,1,9,9","+0130,1","+0080,1","99999,9",,,,,"04,1,+00610,1,99,9","04,1,+00914,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10200,1,99999,9",,"05,1",,,,"MET067METAR VIBY 010500Z VRB02KT 3000 HZ SCT020 SCT030 13/08 Q1020 NOSIG=",
"42189099999","2024-01-01T06:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","270,1,N,0005,1","99999,9,9,N","002000,1,9,9","+0150,1","+0087,1","10198,1",,"2,1,02,1","1,1,02,1",,,,,,,,,,,"9,9,999,9,-011,1","05,1",,,,"SYN05242189 31995 02701 10150 20087 40198 70521 333 59011=",
"42189099999","2024-01-01T06:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","003800,1,9,9","+0150,1","+0090,1","99999,9",,,,,"04,1,+00914,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00914,1,99,9,99,9",,,"10190,1,99999,9",,"05,1",,,,"MET060METAR VIBY 010600Z VRB02KT 3800 HZ SCT030 15/09 Q1019 NOSIG=",
"42189099999","2024-01-01T07:30:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","280,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0170,1","+0080,1","99999,9",,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10180,1,99999,9",,"05,1",,,,"MET057METAR VIBY 010730Z 28003KT 4000 HZ SKC 17/08 Q1018 NOSIG=",
"42189099999","2024-01-01T08:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","320,1,N,0021,1","22000,1,9,N","004000,1,9,9","+0170,1","+0090,1","99999,9",,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10170,1,99999,9",,"05,1",,,,"MET057METAR VIBY 010800Z 32004KT 4000 HZ SKC 17/09 Q1017 NOSIG=",
"42189099999","2024-01-01T08:30:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","270,1,N,0021,1","22000,1,9,N","004000,1,9,9","+0170,1","+0080,1","99999,9",,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10170,1,99999,9",,"05,1",,,,"MET057METAR VIBY 010830Z 27004KT 4000 HZ SKC 17/08 Q1017 NOSIG=",
"42189099999","2024-01-01T09:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","270,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0164,1","+0100,1","10165,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-016,1","05,1",,,,"SYN05242189 31996 02701 10164 20100 40165 70500 333 59016=",
"42189099999","2024-01-01T09:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","270,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0180,1","+0080,1","99999,9",,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10160,1,99999,9",,"05,1",,,,"MET057METAR VIBY 010900Z 27003KT 4000 HZ SKC 18/08 Q1016 NOSIG=",
"42189099999","2024-01-01T09:30:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","260,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0180,1","+0080,1","99999,9",,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10160,1,99999,9",,"05,1",,,,"MET057METAR VIBY 010930Z 26003KT 4000 HZ SKC 18/08 Q1016 NOSIG=",
"42189099999","2024-01-01T10:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","280,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0180,1","+0090,1","99999,9",,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10160,1,99999,9",,"05,1",,,,"MET057METAR VIBY 011000Z 28003KT 4000 HZ SKC 18/09 Q1016 NOSIG=",
"42189099999","2024-01-01T10:30:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","290,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0170,1","+0090,1","99999,9",,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10160,1,99999,9",,"05,1",,,,"MET057METAR VIBY 011030Z 29003KT 4000 HZ SKC 17/09 Q1016 NOSIG=",
"42189099999","2024-01-01T12:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0146,1","+0108,1","10163,1",,"0,1,02,1","0,1,02,1",,,,,,,,"240,M,+0166,1",,,"9,9,999,9,-010,1","05,1",,,,"SYN05842189 31995 00000 10146 20108 40163 70500 333 10166 59010=",
"42189099999","2024-01-01T12:30:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","270,1,N,0015,1","22000,1,9,N","002500,1,9,9","+0120,1","+0090,1","99999,9",,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10160,1,99999,9",,"10,1",,,,"MET062METAR VIBY 011230Z 27003KT 2500 BR SKC 12/09 Q1016 BECMG 1500=",
"42189099999","2024-01-01T14:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","999,9,V,0005,1","22000,1,9,N","002000,1,9,9","+0100,1","+0100,1","99999,9",,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10170,1,99999,9",,"10,1",,,,"MET062METAR VIBY 011400Z VRB01KT 2000 BR SKC 10/10 Q1017 BECMG 1500=",
"42189099999","2024-01-01T14:30:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","001800,1,9,9","+0100,5","+0100,5","99999,9",,,,,,,,,,,,,"10180,5,99999,9",,"10,5",,,,"MET061METAR VIBY 011430Z VRB02KT 1800 U/S BR SKC 10/10 Q1018 NOSIG=","D01      0ADE735"
"42189099999","2024-01-01T15:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0104,1","+0092,1","10183,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-007,1","10,1",,,,"SYN05242189 31994 00000 10104 20092 40183 71000 333 59007=",
"42189099999","2024-01-01T18:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0088,1","+0084,1","10189,1",,"4,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-004,1","46,1",,,,"SYN05242189 31993 00000 10088 20084 40189 74640 333 59004=",
