"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"42705699999","2024-01-01T00:00:00","4","13.2","77.7","915.0","BANGALURU INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0036,1","00366,1,C,N","002000,1,9,9","+0170,1","+0160,1","99999,9",,"04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10180,1,99999,9","10,1",,,"MET067METAR VOBL 010000Z 08007KT 2000 BR SCT008 SCT012 17/16 Q1018 NOSIG=",
"42705699999","2024-01-01T00:30:00","4","13.2","77.7","915.0","BANGALURU INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0021,1","00366,1,C,N","002000,1,9,9","+0170,1","+0150,1","99999,9",,"04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10180,1,99999,9","10,1",,,"MET075METAR VOBL 010030Z 08004KT 2000 BR SCT008 SCT012 17/15 Q1018 TEMPO 1000 BR=",
"42705699999","2024-01-01T00:48:00","4","13.2","77.7","915.0","BANGALURU INTERNATIONAL AIRPORT, IN","FM-16","99999","V020","080,1,N,0021,1","00366,1,C,N","000800,1,9,9","+0170,1","+0150,1","99999,9","09,L,9999,9","04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10180,1,99999,9","44,1",,,"MET085SPECI VOBL 010048Z 08004KT 0800 R09L/2000 FG SCT008 SCT012 17/15 Q1018 TEMPO 0600 FG=",
"42705699999","2024-01-01T01:00:00","4","13.2","77.7","915.0","BANGALURU INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0021,1","00366,1,C,N","000600,1,9,9","+0170,1","+0150,1","99999,9","09,L,9999,9","04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10180,1,99999,9","44,1",,,"MET085METAR VOBL 010100Z 08004KT 0600 R09L/2000 FG SCT008 SCT012 17/15 Q1018 TEMPO 0200 FG=",
"42705699999","2024-01-01T01:30:00","4","13.2","77.7","915.0","BANGALURU INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0021,1","00244,1,C,N","000100,1,9,9","+0160,1","+0160,1","99999,9","09,L,9999,9","07,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10190,1,99999,9","44,1",,,"MET085METAR VOBL 010130Z 08004KT 0100 R09L/0200 FG BKN008 SCT012 16/16 Q1019 TEMPO 0050 FG=",
"42705699999","2024-01-01T02:00:00","4","13.2","77.7","915.0","BANGALURU INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0021,1","00244,1,C,N","000100,1,9,9","+0160,1","+0160,1","99999,9","09,L,9999,9","07,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10190,1,99999,9","44,1",,,"MET087METAR VOBL 010200Z 08004KT 0100 R09L/0900 R27L/0500 FG BKN008 SCT012 16/16 Q1019 NOSIG=",
"42705699999","2024-01-01T02:30:00","4","13.2","77.7","915.0","BANGALURU INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0021,1","00244,1,C,N","001000,1,9,9","+0170,1","+0170,1","99999,9","09,L,9999,9","07,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10190,1,99999,9","10,1",,,"MET095METAR VOBL 010230Z 08004KT 1000 R09L/1500 R27L/1500 BR BKN008 SCT012 17/17 Q1019 BECMG 2000 BR=",
"42705699999","2024-01-01T03:00:00","4","13.2","77.7","915.0","BANGALURU INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0026,1","00244,1,C,N","001500,1,9,9","+0170,1","+0160,1","99999,9","09,L,9999,9","07,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET095METAR VOBL 010300Z 08005KT 1500 R09L/1800 R27L/1800 BR BKN008 SCT012 17/16 Q1020 BECMG 3000 BR=",
"42705699999","2024-01-01T03:25:00","4","13.2","77.7","915.0","BANGALURU INTERNATIONAL AIRPORT, IN","FM-16","99999","V020","090,1,N,0031,1","99999,9,9,N","002000,1,9,9","+0190,1","+0160,1","99999,9",,"02,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET068SPECI VOBL 010325Z 09006KT 2000 BR FEW012 19/16 Q1020 BECMG 3000 BR=",
"42705699999","2024-01-01T03:35:00","4","13.2","77.7","915.0","BANGALURU INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0021,1","99999,9,9,N","002000,1,9,9","+0190,1","+0160,1","99999,9",,"02,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET072METAR COR VOBL 010335Z 08004KT 2000 BR FEW012 19/16 Q1020 BECMG 3000 BR=",
