"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GA4","GA5","GE1","GF1","KA1","KA2","MA1","MD1","ME1","MW1","OC1","OD1","REM","EQD"
"43295099999","2024-01-02T06:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","110,1,N,0015,1","00360,1,C,N","010000,1,9,9","+0228,1","+0168,1","99999,9",,,,,,,"02,1,+00240,1,07,1","03,1,+00360,1,06,1",,,,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00240,1,99,9,99,9",,,"99999,9,09126,1",,"3,1535,9",,,,"SYN07643295 32497 61103 10228 20168 39126 48535 85630 333 56290 59007 82708 83612=",
"43295099999","2024-01-02T09:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0021,1","22000,1,9,N","010000,1,9,9","+0270,1","+0129,1","99999,9",,,,,,,"02,1,+00360,1,06,1","03,1,+07500,1,00,1",,,,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,00360,1,99,9,99,9",,,"99999,9,09093,1","9,9,999,9,-008,1","3,1511,9",,,,"SYN07043295 32497 40904 10270 20129 39093 48511 82501 333 59008 82612 83075=",
"43295099999","2024-01-02T12:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0248,1","+0121,1","99999,9",,,,,,,"02,1,+00450,1,06,1","03,1,+07500,1,00,1",,,,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,00450,1,99,9,99,9",,,"99999,9,09096,1","9,9,999,9,-005,1","3,1510,9",,,,"SYN07643295 32497 40902 10248 20121 39096 48510 81501 333 10282 59005 82615 83075=",
"43295099999","2024-01-02T15:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0026,1","02400,1,C,N","004000,1,9,9","+0224,1","+0160,1","99999,9",,,,,,,"02,1,+00450,1,06,1","05,1,+02400,1,03,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","07,99,1,02,1,99,9,00450,1,99,9,99,9",,,"99999,9,09120,1",,"3,1529,9",,,,"SYN07643295 32496 70905 10224 20160 39120 48529 82531 333 56299 59002 82615 85358=",
"43295099999","2024-01-02T18:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0015,1","02400,1,C,N","004000,1,9,9","+0202,1","+0174,1","99999,9",,,,,,,"02,1,+00360,1,06,1","04,1,+02400,1,03,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00360,1,99,9,99,9",,,"99999,9,09115,1","9,9,999,9,-009,1","3,1520,9",,,,"SYN07043295 32496 60903 10202 20174 39115 48520 82531 333 59009 82612 84358=",
"43295099999","2024-01-02T21:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0015,1","02400,1,9,N","004000,1,9,9","+0194,1","+0172,1","99999,9",,,"2,1,02,1","2,1,02,1",,,"04,1,+00240,1,07,1","05,1,+02400,1,03,1",,,,"9,AGL   ,+99999,+99999","07,99,1,04,1,99,9,00240,1,99,9,99,9",,,"99999,9,09101,1",,"3,1505,9","10,1",,,"SYN08243295 31396 70903 10194 20172 39101 48505 71022 85630 333 56290 59006 84708 85358=",
"43295099999","2024-01-03T00:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0015,1","00360,1,C,N","004000,1,9,9","+0188,1","+0169,1","99999,9",,,"2,1,02,1","2,1,02,1",,,"03,1,+00240,1,07,1","03,1,+00360,1,06,1","05,1,+02400,1,03,1",,,"9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00240,1,99,9,99,9",,,"99999,9,09105,1",,"3,1507,9","10,1",,,"SYN08843295 31396 70903 10188 20169 39105 48507 71022 85630 333 56290 59004 83708 83612 85358=",
"43295099999","2024-01-03T03:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0010,1","00360,1,C,N","010000,1,9,9","+0190,1","+0171,1","99999,9",,,,,,,"02,1,+00300,1,07,1","03,1,+00360,1,06,1",,,,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00300,1,99,9,99,9","240,M,+0282,1","240,N,+0174,1","99999,9,09126,1",,"3,1527,9",,,,"SYN09843295 32497 60902 10190 20171 39126 48527 84601 333 10282 20174 56209 58000 82710 83612 555 10000=",
"43295099999","2024-01-03T06:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0010,1","00450,1,C,N","010000,1,9,9","+0218,1","+0154,1","99999,9",,,,,,,"02,1,+00300,1,07,1","03,1,+00450,1,06,1",,,,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00300,1,99,9,99,9",,,"99999,9,09127,1",,"3,1533,9",,,,"SYN07643295 32497 60902 10218 20154 39127 48533 84601 333 56209 58001 82710 83615=",
"43295099999","2024-01-03T09:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","050,1,N,0015,1","02400,1,9,N","004000,1,9,9","+0250,1","+0147,1","99999,9",,,,,,,"04,1,+00360,1,06,1","05,1,+02400,1,03,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","07,99,1,04,1,99,9,00360,1,99,9,99,9",,,"99999,9,09092,1","9,9,999,9,-001,1","3,1506,9",,,,"SYN07043295 32496 70503 10250 20147 39092 48506 84531 333 59001 84612 85358=",
