"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","ME1","MW1","REM","EQD"
"42027099999","2024-01-01T00:00:00","4","34.0833333","74.8333333","1587.0","SRINAGAR, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","001000,1,9,9","-0022,1","-0024,1","99999,9",,"0,1,02,1","0,1,02,1",,,,,,,,,,"99999,9,08455,1","9,9,999,9,+002,1","3,1543,9","10,1","SYN05842027 31994 00501 11022 21024 38455 48543 71000 333 58002=",
"42027099999","2024-01-01T03:00:00","4","34.0833333","74.8333333","1587.0","SRINAGAR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","-0042,1","-0047,1","99999,9",,"0,1,02,1","0,1,02,1",,,,,,,,"240,M,+0116,1","240,N,-0052,1","99999,9,08470,1","9,9,999,9,+005,1","3,1557,9","10,1","SYN08042027 31995 00000 11042 21047 38470 48557 71000 333 10116 21052 58005 555 10000=",
"42027099999","2024-01-01T06:00:00","4","34.0833333","74.8333333","1587.0","SRINAGAR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0041,1","-0048,1","99999,9",,"0,1,02,1","0,1,02,1",,,,,,,,,,"99999,9,08470,1","9,9,999,9,-006,1","3,1556,9","05,1","SYN05842027 31995 00000 10041 21048 38470 48556 70500 333 59006=",
"42027099999","2024-01-01T09:00:00","4","34.0833333","74.8333333","1587.0","SRINAGAR, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","002000,1,9,9","+0096,1","-0004,1","99999,9",,"0,1,02,1","0,1,02,1",,,,,,,,,,"99999,9,08441,1","9,9,999,9,-004,1","3,1528,9","05,1","SYN05842027 31995 03201 10096 21004 38441 48528 70500 333 59004=",
"42027099999","2024-01-01T12:00:00","4","34.0833333","74.8333333","1587.0","SRINAGAR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0078,1","+0032,1","99999,9",,"0,1,02,1","0,1,02,1",,,,,,,,,,"99999,9,08432,1","9,9,999,9,-002,1","3,1519,9","05,1","SYN06442027 31995 00000 10078 20032 38432 48519 70500 333 10110 59002=",
"42027099999","2024-01-01T15:00:00","4","34.0833333","74.8333333","1587.0","SRINAGAR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","-0004,1","-0018,1","99999,9",,"0,1,02,1","0,1,02,1",,,,,,,,,,"99999,9,08449,1","9,9,999,9,+003,1","3,1537,9","10,1","SYN05842027 31995 00000 11004 21018 38449 48537 71000 333 58003=",
"42027099999","2024-01-01T18:00:00","4","34.0833333","74.8333333","1587.0","SRINAGAR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","-0022,1","-0047,1","99999,9",,"0,1,02,1","0,1,02,1",,,,,,,,,,"99999,9,08456,1","9,9,999,9,+003,1","3,1544,9","10,1","SYN05842027 31995 00000 11022 21047 38456 48544 71000 333 58003=",
"42027099999","2024-01-01T21:00:00","4","34.0833333","74.8333333","1587.0","SRINAGAR, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","002000,1,9,9","-0032,1","-0053,1","99999,9",,"0,1,02,1","0,1,02,1",,,,,,,,,,"99999,9,08450,1","9,9,999,9,-005,1","3,1529,9","10,1","SYN05842027 31995 01401 11032 21053 38450 48529 71000 333 59005=",
"42027099999","2024-01-02T00:00:00","4","34.0833333","74.8333333","1587.0","SRINAGAR, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","002000,1,9,9","-0038,1","-0048,1","99999,9",,"0,1,02,1","0,1,02,1",,,,,,,,,,"99999,9,08450,1","9,9,999,9,-005,1","3,1539,9","10,1","SYN05842027 31995 01401 11038 21048 38450 48539 71000 333 59005=",
"42027099999","2024-01-02T03:00:00","4","34.0833333","74.8333333","1587.0","SRINAGAR, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","002000,1,9,9","-0042,1","-0045,1","99999,9",,"0,1,02,1","0,1,02,1",,,,,,,,"240,N,-0048,1",,"99999,9,08463,1","9,9,999,9,-007,1","3,1551,9","10,1","SYN07442027 31995 01401 11042 21045 38463 48551 71000 333 21048 59007 555 10000=",
