"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","GA1","GE1","GF1","KA1","KA2","MA1","MD1","REM","EQD"
"43125099999","2024-01-15T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","300,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0210,1","+0129,1","10170,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0310,1","240,N,+0160,1","99999,9,09426,1","9,9,999,9,-010,1","SYN08043125 32997 13002 10210 20129 39426 40170 80000 333 10310 20160 59010 555 10000=",
"43125099999","2024-01-18T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0202,1","+0139,1","10123,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0296,1","240,N,+0168,1","99999,9,09382,1","9,9,999,9,-018,1","SYN07043125 32997 12302 10202 20139 39382 40123 80000 333 10296 20168 59018=",
"43125099999","2024-01-19T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","180,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0224,1","+0153,1","10149,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0286,1","240,N,+0162,1","99999,9,09410,1","9,9,999,9,+028,1","SYN08043125 32997 11802 10224 20153 39410 40149 80000 333 10286 20162 58028 555 10000=",
"43125099999","2024-01-19T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","200,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0270,1","+0149,1","10114,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0300,1",,"99999,9,09378,1","9,9,999,9,-002,1","SYN06443125 32997 12002 10270 20149 39378 40114 80000 333 10300 59002=",
"43125099999","2024-01-20T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","200,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0228,1","+0132,1","10149,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0300,1","240,N,+0170,1","99999,9,09410,1","9,9,999,9,+000,1","SYN08043125 32997 12002 10228 20132 39410 40149 80000 333 10300 20170 58000 555 10000=",
"43125099999","2024-01-22T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","180,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0228,1","+0120,1","10149,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0310,1","240,N,+0180,1","99999,9,09410,1","9,9,999,9,-004,1","SYN08043125 32997 11802 10228 20120 39410 40149 80000 333 10310 20180 59004 555 10000=",
"43125099999","2024-01-24T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","360,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0190,1","+0144,1","10178,1",,,"99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0302,1","240,N,+0180,1","99999,9,09428,1","9,9,999,9,+008,1","SYN08043125 32997 13602 10190 20144 39428 40178 80001 333 10302 20180 58008 555 10000=","Q01    003SCCGA1"
"43125099999","2024-01-25T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0190,1","+0117,1","10193,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0272,1","240,N,+0165,1","99999,9,09442,1","9,9,999,9,+014,1","SYN08043125 32997 10502 10190 20117 39442 40193 80000 333 10272 20165 58014 555 10000=",
"43125099999","2024-01-25T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","360,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0258,1","+0149,1","10132,1",,,,"9,AGL   ,+99999,+99999","01,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0274,1",,"99999,9,09402,1","9,9,999,9,+012,1","SYN05843125 32997 10002 10258 20149 39402 40132 333 10274 58012=",
"43125099999","2024-01-27T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0204,1","+0169,1","99999,9",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0294,1","240,N,+0175,1","99999,9,09448,1","9,9,999,9,+000,1","SYN07443125 32997 10502 10204 20169 39448 80000 333 10294 20175 58000 555 10000=",
"43125099999","2024-01-27T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0260,1","+0128,1","10159,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0286,1",,"99999,9,09428,1","9,9,999,9,+018,1","SYN06443125 32997 10502 10260 20128 39428 40159 80000 333 10286 58018=",
"43125099999","2024-01-29T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0190,1","+0129,1","10199,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0290,1","240,N,+0135,1","99999,9,09448,1","9,9,999,9,-002,1","SYN08043125 32997 12302 10190 20129 39448 40199 80000 333 10290 20135 59002 555 10000=",
"43125099999","2024-01-29T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0276,1","+0087,1","10146,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0298,1",,"99999,9,09420,1","9,9,999,9,-008,1","SYN06443125 32997 10502 10276 20087 39420 40146 80000 333 10298 59008=",
"43125099999","2024-01-30T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","020,1,N,0041,1","22000,1,9,N","010000,1,9,9","+9999,9","+0127,1","10190,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0298,1","240,N,+0148,1","99999,9,09444,1","9,9,999,9,-004,1","SYN07443125 32997 10208 20127 39444 40190 80000 333 10298 20148 59004 555 10000=",
"43125099999","2024-01-31T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0198,1","+0123,1","10177,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0300,1","240,N,+0155,1","99999,9,09430,1","9,9,999,9,-014,1","SYN08043125 32997 12302 10198 20123 39430 40177 80000 333 10300 20155 59014 555 10000=",
"43125099999","2024-02-01T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0200,1","+0121,1","10167,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0300,1","240,N,+0166,1","99999,9,09420,1","9,9,999,9,-010,1","SYN08043125 32997 12302 10200 20121 39420 40167 80000 333 10300 20166 59010 555 10000=",
"43125099999","2024-02-02T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0210,1","+0122,1","10166,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0304,1","240,N,+0162,1","99999,9,09422,1","9,9,999,9,+002,1","SYN08043125 32997 10502 10210 20122 39422 40166 80000 333 10304 20162 58002 555 10000=",
"43125099999","2024-02-03T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0208,1","+0149,1","10166,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0310,1","240,N,+0190,1","99999,9,09422,1","9,9,999,9,+000,1","SYN08043125 32997 10502 10208 20149 39422 40166 80000 333 10310 20190 58000 555 10000=",
"43125099999","2024-02-04T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","140,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0288,1","+0132,1","10130,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0308,1",,"99999,9,09408,1","9,9,999,9,+003,1","SYN06443125 32997 11402 10288 20132 39408 40130 80000 333 10308 58003=",
"43125099999","2024-02-05T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0210,1","+0172,1","10172,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0308,1","240,N,+0186,1","99999,9,09428,1","9,9,999,9,+006,1","SYN08043125 32997 12302 10210 20172 39428 40172 80000 333 10308 20186 58006 555 10000=",
"43125099999","2024-02-06T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0240,1","+0158,1","10188,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0324,1","240,N,+0210,1","99999,9,09450,1","9,9,999,9,+022,1","SYN08043125 32997 12302 10240 20158 39450 40188 80000 333 10324 20210 58022 555 10000=",
"43125099999","2024-02-06T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0320,1","+0135,1","10129,1",,,"99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0336,1",,"99999,9,09412,1","9,9,999,9,+000,1","SYN06443125 32997 12302 10320 20135 39412 40129 80001 333 10336 58000=","Q01    003SCCGA1"
"43125099999","2024-02-08T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","360,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0220,1","+0134,1","10191,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0340,1","240,N,+0200,1","99999,9,09448,1","9,9,999,9,-012,1","SYN08043125 32997 13602 10220 20134 39448 40191 80000 333 10340 20200 59012 555 10000=",
"43125099999","2024-02-08T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0302,1","+0143,1","10137,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0312,1",,"99999,9,09418,1","9,9,999,9,+000,1","SYN06443125 32997 10502 10302 20143 39418 40137 80000 333 10312 58000=",
"43125099999","2024-02-09T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","140,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0218,1","+0143,1","10183,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0316,1","240,N,+0170,1","99999,9,09440,1","9,9,999,9,-008,1","SYN08043125 32997 11402 10218 20143 39440 40183 80000 333 10316 20170 59008 555 10000=",
"43125099999","2024-02-10T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","002000,1,9,9","+0224,1","+0174,1","10181,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0340,1","240,N,+0188,1","99999,9,09440,1","9,9,999,9,+000,1","SYN08043125 32995 10502 10224 20174 39440 40181 80000 333 10340 20188 58000 555 10000=",
"43125099999","2024-02-12T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","180,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0210,1","+0176,1","10196,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0312,1","240,N,+0185,1","99999,9,09450,1","9,9,999,9,+006,1","SYN08043125 32997 11802 10210 20176 39450 40196 80000 333 10312 20185 58006 555 10000=",
"43125099999","2024-02-12T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0300,1","+0114,1","10133,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0325,1",,"99999,9,09412,1","9,9,999,9,+000,1","SYN06443125 32997 12302 10300 20114 39412 40133 80000 333 10325 58000=",
"43125099999","2024-02-13T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0222,1","+0144,1","10191,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0325,1","240,N,+0168,1","99999,9,09450,1","9,9,999,9,+000,1","SYN08043125 32997 12302 10222 20144 39450 40191 80000 333 10325 20168 58000 555 10000=",
"43125099999","2024-02-13T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","180,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0292,1","+0112,1","10133,1",,,"05,2,+99999,9,99,9","9,AGL   ,+99999,+99999","03,99,2,05,2,99,9,99999,9,99,9,99,9","240,M,+0324,1",,"99999,9,09412,1","9,9,999,9,+000,1","SYN06443125 32997 31802 10292 20112 39412 40133 85000 333 10324 58000=",
"43125099999","2024-02-14T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0214,1","+0160,1","10183,1",,,"00,1,+99999,9,99,9","9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0324,1","240,N,+0176,1","99999,9,09440,1","9,9,999,9,-010,1","SYN08043125 32997 12302 10214 20160 39440 40183 80000 333 10324 20176 59010 555 10000=",
"43125099999","2024-02-15T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","140,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0226,1","+0170,1","10179,1",,,"05,2,+99999,9,99,9","9,AGL   ,+99999,+99999","04,99,2,05,2,99,9,99999,9,99,9,99,9","240,M,+0328,1","240,N,+0175,1","99999,9,09438,1","9,9,999,9,-002,1","SYN08043125 32997 41402 10226 20170 39438 40179 85000 333 10328 20175 59002 555 10000=",
