"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"43278099999","2024-01-01T00:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","004000,1,9,9","+0218,1","+0203,1","10143,1",,"0,1,02,1","0,1,02,1",,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,10136,1","9,9,999,9,+004,1","10,1","SYN06443278 31996 10000 10218 20203 30136 40143 71000 80001 333 58004=","Q01    003SCCGA1"
"43278099999","2024-01-01T03:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0252,1","+0206,1","10160,1",,"0,1,02,1","0,1,02,1",,,,,,,,"240,M,+0304,1","240,N,+0212,1","99999,9,10153,1","9,9,999,9,+002,1","05,1","SYN08043278 31996 03202 10252 20206 30153 40160 70500 333 10304 20212 58002 555 10000=",
"43278099999","2024-01-01T06:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","050,1,N,0015,1","99999,9,9,N","004000,1,9,9","+0292,1","+0208,1","10152,1",,,,,,"02,1,+00800,1,06,1","99,9,+99999,9,05,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","05,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10145,1","9,9,999,9,+002,1",,"SYN05843278 32596 50503 10292 20208 30145 40152 82521 333 58002=",
"43278099999","2024-01-01T09:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","050,1,N,0031,1","99999,9,9,N","004000,1,9,9","+0290,1","+0195,1","10133,1",,,,,,"02,1,+00800,1,06,1","99,9,+99999,9,04,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","05,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10126,1","9,9,999,9,+002,1",,"SYN05843278 32596 50506 10290 20195 30126 40133 82511 333 58002=",
"43278099999","2024-01-01T12:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","050,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0270,1","+0196,1","10132,1",,,,,,"01,1,+01250,1,04,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","02,99,1,01,1,99,9,01250,1,99,9,99,9",,,"99999,9,10125,1","9,9,999,9,+006,1",,"SYN06443278 32696 20503 10270 20196 30125 40132 81011 333 10297 58006=",
"43278099999","2024-01-01T15:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0252,1","+0203,1","10149,1",,,,,,"01,1,+00800,1,06,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","02,99,1,01,1,99,9,00800,1,99,9,99,9",,,"99999,9,10142,1","9,9,999,9,+006,1",,"SYN05843278 32596 20502 10252 20203 30142 40149 81501 333 58006=",
"43278099999","2024-01-02T00:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","004000,1,9,9","+0228,1","+0200,1","10131,1",,"0,1,02,1","0,1,02,1",,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,10124,1","9,9,999,9,-012,1","10,1","SYN06443278 31996 20000 10228 20200 30124 40131 71000 80001 333 59012=","Q01    003SCCGA1"
"43278099999","2024-01-02T03:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","340,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0244,1","+0211,1","10146,1",,,,,,"03,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0297,1","240,N,+0232,1","99999,9,10139,1","9,9,999,9,-014,1",,"SYN08043278 32597 63403 10244 20211 30139 40146 83531 333 10297 20232 59014 555 10000=",
"43278099999","2024-01-02T06:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","020,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0289,1","+0207,1","10145,1",,,,,,"03,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","05,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,10138,1","9,9,999,9,-007,1",,"SYN05843278 32597 50203 10289 20207 30138 40145 83530 333 59007=",
"43278099999","2024-01-02T09:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","070,1,N,0021,1","99999,9,9,N","004000,1,9,9","+0284,1","+0205,1","10122,1",,,,,,"04,1,+00800,1,07,1","99,9,+99999,9,04,1",,"9,AGL   ,+99999,+99999","07,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,10115,1","9,9,999,9,-011,1",,"SYN05843278 32596 70704 10284 20205 30115 40122 8461/ 333 59011=",
"43278099999","2024-01-02T12:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","070,1,N,0021,1","99999,9,9,N","004000,1,9,9","+0272,1","+0202,1","10124,1",,,,,,"02,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,01,1","9,AGL   ,+99999,+99999","07,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10117,1","9,9,999,9,-008,1",,"SYN06443278 32596 70704 10272 20202 30117 40124 82579 333 10294 59008=",
"43278099999","2024-01-02T15:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0256,1","+0201,1","10144,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,10137,1","9,9,999,9,-005,1",,"SYN05843278 32996 10502 10256 20201 30137 40144 80001 333 59005=","Q01    003SCCGA1"
"43278099999","2024-01-03T00:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","004000,1,9,9","+0224,1","+0206,1","10128,1",,"0,1,02,1","0,1,02,1",,,"02,1,+00800,1,06,1","99,9,+99999,9,04,1",,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10121,1","9,9,999,9,-003,1","05,1","SYN06443278 31596 40000 10224 20206 30121 40128 70500 82510 333 59003=",
"43278099999","2024-01-03T03:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0242,1","+0224,1","10144,1","24,0002,3,1","1,1,02,1","1,1,02,1",,,"03,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0294,1","240,N,+0222,1","99999,9,10137,1","9,9,999,9,-002,1","50,1","SYN09843278 21597 73202 10242 20224 30137 40144 75011 83471 333 10294 20222 59002 6992/ 555 00002 10000=",
"43278099999","2024-01-03T06:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","050,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0282,1","+0210,1","10143,1",,"5,1,02,1","2,1,02,1",,,"04,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","07,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,10136,1","9,9,999,9,-002,1","02,1","SYN06443278 31597 70503 10282 20210 30136 40143 70252 84472 333 59002=",
"43278099999","2024-01-03T09:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","020,1,N,0021,1","99999,9,9,N","004000,1,9,9","+0286,1","+0218,1","10119,1","06,0000,2,1","5,1,02,1","2,1,02,1",,,"06,1,+00800,1,06,1","99,9,+99999,9,04,1",,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,00800,1,99,9,99,9",,,"99999,9,10112,1","9,9,999,9,-003,1","02,1","SYN07043278 21596 80204 10286 20218 30112 40119 70252 86510 333 59003 6990/=",
"43278099999","2024-01-03T12:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","070,1,N,0015,1","99999,9,9,N","004000,1,9,9","+0270,1","+0213,1","10120,1","09,0000,2,1","5,1,02,1","2,1,02,1",,,"02,1,+00800,1,06,1","99,9,+99999,9,05,1","99,9,+99999,9,01,1","9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10113,1","9,9,999,9,-004,1","01,1","SYN07643278 21596 60703 10270 20213 30113 40120 70152 82529 333 10295 59004 6990/=",
"43278099999","2024-01-03T15:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","090,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0266,1","+0218,1","10132,1","12,0000,2,1",,,,,"01,1,+01750,1,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","02,99,1,01,1,99,9,01750,1,99,9,99,9",,,"99999,9,10125,1","9,9,999,9,-012,1",,"SYN06443278 22796 20903 10266 20218 30125 40132 81031 333 59012 6990/=",
"43278099999","2024-01-04T00:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0246,1","+0222,1","10126,1","21,0000,2,1",,,,,"03,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,10119,1","9,9,999,9,-002,1",,"SYN06443278 22596 60000 10246 20222 30119 40126 83571 333 59002 6990/=",
"43278099999","2024-01-04T03:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0264,1","+0222,1","10142,1","24,0000,2,1","1,1,02,1","1,1,02,1",,,"02,1,+00800,1,06,1","99,9,+99999,9,04,1",,"9,AGL   ,+99999,+99999","07,99,1,02,1,99,9,00800,1,99,9,99,9","240,M,+0295,1","240,N,+0245,1","99999,9,10135,1","9,9,999,9,-002,1","05,1","SYN09243278 21596 70000 10264 20222 30135 40142 70511 8251/ 333 10295 20245 59002 6990/ 555 10000=",
"43278099999","2024-01-04T06:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","050,1,N,0021,1","99999,9,9,N","010000,1,9,9","+0298,1","+0221,1","10138,1",,,,,,"04,1,+00800,1,09,1","99,9,+99999,9,04,1",,"9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,10131,1","9,9,999,9,-005,1",,"SYN05843278 32597 80504 10298 20221 30131 40138 8431/ 333 59005=",
"43278099999","2024-01-04T09:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","070,1,N,0021,1","99999,9,9,N","004000,1,9,9","+0272,1","+0231,1","10119,1","06,0030,3,1","6,1,02,1","5,1,02,1",,,"06,1,+00800,1,07,1","99,9,+99999,9,05,1",,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,00800,1,99,9,99,9",,,"99999,9,10112,1","9,9,999,9,+000,1","02,1","SYN07043278 21596 80704 10272 20231 30112 40119 70265 86620 333 58000 6003/=",
"43278099999","2024-01-04T12:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0236,1","+0233,1","10121,1","09,0170,3,1","6,1,02,1","2,1,02,1",,,"06,1,+00450,1,06,1","99,9,+99999,9,05,1",,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,00450,1,99,9,99,9",,,"99999,9,10114,1","9,9,999,9,+001,1","60,1","SYN07643278 21496 80000 10236 20233 30114 40121 76062 8642/ 333 10302 58001 6017/=",
"43278099999","2024-01-04T15:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0242,1","+0221,1","10132,1","12,0190,3,1","6,1,02,1","5,1,02,1",,,"03,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1","9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,10125,1","9,9,999,9,+000,1","20,1","SYN07043278 21596 70502 10242 20221 30125 40132 72065 83472 333 58000 6019/=",
