"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","AZ1","AZ2","ED1","GA1","GA2","GA3","GA4","GA5","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","OC1","REM","EQD"
"43284099999","2023-01-01T00:00:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","004000,1,9,9","+0236,1","+0212,1","10143,1",,,,,,,,"01,1,+00450,1,06,1","99,9,+99999,9,00,1",,,,"9,AGL   ,+99999,+99999","02,99,1,01,1,99,9,00450,1,99,9,99,9",,,"99999,9,10026,1","9,9,999,9,-010,1",,,,"SYN06443284 32496 20000 10236 20212 30026 40143 81501 333 59010 81615=",
"43284099999","2023-01-01T00:00:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","006000,1,9,9","+0240,1","+0210,1","99999,9",,,,,,,,"02,1,+00457,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00457,1,99,9,99,9",,,"10140,1,99999,9",,,,,"MET057METAR VOML 010000Z 00000KT 6000 FEW015 24/21 Q1014 NOSIG=",
"43284099999","2023-01-01T00:30:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-15","99999","V020","050,1,N,0015,1","99999,9,9,N","006000,1,9,9","+0230,1","+0210,1","99999,9",,,,,,,,"02,1,+00457,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00457,1,99,9,99,9",,,"10150,1,99999,9",,,,,"MET057METAR VOML 010030Z 05003KT 6000 FEW015 23/21 Q1015 NOSIG=",
"43284099999","2023-01-01T01:00:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-15","99999","V020","050,1,N,0015,1","99999,9,9,N","006000,1,9,9","+0230,1","+0210,1","99999,9",,,,,,,,"02,1,+00457,1,99,9","02,1,+00762,1,09,1",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00457,1,99,9,99,9",,,"10150,1,99999,9",,,,,"MET074METAR VOML 010100Z 05003KT 6000 FEW015 FEW025CB 23/21 Q1015 TEMPO 5000 BR=",
"43284099999","2023-01-01T01:30:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","005000,1,9,9","+0230,1","+0210,1","99999,9",,,,,,,,"02,1,+00457,1,99,9","02,1,+00762,1,09,1",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00457,1,99,9,99,9",,,"10160,1,99999,9",,"10,1",,,"MET069METAR VOML 010130Z 00000KT 5000 BR FEW015 FEW025CB 23/21 Q1016 NOSIG=",
"43284099999","2023-01-01T02:00:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","005000,1,9,9","+0230,1","+0210,1","99999,9",,,,,,,,"02,1,+00457,1,99,9","02,1,+00762,1,09,1",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00457,1,99,9,99,9",,,"10160,1,99999,9",,"10,1",,,"MET069METAR VOML 010200Z 00000KT 5000 BR FEW015 FEW025CB 23/21 Q1016 NOSIG=",
"43284099999","2023-01-01T02:30:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-15","99999","V020","090,1,N,0021,1","22000,1,9,N","005000,1,9,9","+0240,1","+0210,1","99999,9",,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10170,1,99999,9",,"10,1",,,"MET057METAR VOML 010230Z 09004KT 5000 BR NSC 24/21 Q1017 NOSIG=",
"43284099999","2023-01-01T03:00:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-12","99999","V020","090,1,N,0026,1","22000,1,9,N","004000,1,9,9","+0250,1","+0207,1","10170,1",,,"0,1,02,1","0,1,02,1",,,,"01,1,+07500,1,00,1",,,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,07500,1,99,9,99,9","240,M,+0334,1","240,N,+0226,1","99999,9,10053,1","9,9,999,9,-006,1","10,1",,,"SYN09243284 31996 10905 10250 20207 30053 40170 71000 80001 333 10334 20226 59006 81075 555 10000=",
"43284099999","2023-01-01T03:00:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-15","99999","V020","090,1,N,0026,1","22000,1,9,N","005000,1,9,9","+0250,1","+0210,1","99999,9",,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10170,1,99999,9",,"10,1",,,"MET057METAR VOML 010300Z 09005KT 5000 BR NSC 25/21 Q1017 NOSIG=",
"43284099999","2023-01-01T03:30:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-15","99999","V020","080,1,N,0031,1","22000,1,9,N","006000,1,9,9","+0260,1","+0210,1","99999,9",,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10170,1,99999,9",,,,,"MET054METAR VOML 010330Z 08006KT 6000 NSC 26/21 Q1017 NOSIG=",
"43284099999","2023-01-01T04:00:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-15","99999","V020","090,1,N,0021,1","22000,1,9,N","006000,1,9,9","+0270,1","+0210,1","99999,9",,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10170,1,99999,9",,,,,"MET054METAR VOML 010400Z 09004KT 6000 NSC 27/21 Q1017 NOSIG=",
"43284099999","2023-01-01T04:30:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-15","99999","V020","100,1,N,0026,1","22000,1,9,N","006000,1,9,9","+0280,1","+0210,1","99999,9",,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10170,1,99999,9",,,,,"MET054METAR VOML 010430Z 10005KT 6000 NSC 28/21 Q1017 NOSIG=",
"43284099999","2023-01-01T05:00:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-15","99999","V020","050,1,N,0015,1","22000,1,9,N","006000,1,9,9","+0290,1","+0210,1","99999,9",,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10170,1,99999,9",,,,,"MET054METAR VOML 010500Z 05003KT 6000 NSC 29/21 Q1017 NOSIG=",
"43284099999","2023-01-01T05:30:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-15","99999","V020","040,1,N,0021,1","22000,1,9,N","008000,1,9,9","+0300,1","+0210,1","99999,9",,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10170,1,99999,9",,,,,"MET054METAR VOML 010530Z 04004KT 8000 NSC 30/21 Q1017 NOSIG=",
"43284099999","2023-01-01T06:00:00","4","12.961267","74.890069","102.71","MANGALORE, IN","FM-12","99999","V020","050,1,N,0021,1","22000,1,9,N","004000,1,9,9","+0308,1","+0199,1","10163,1",,,,,,,,"01,1,+00450,1,06,1","99,9,+99999,9,00,1",,,,"9,AGL   ,+99999,+99999","02,99,1,01,1,99,9,00450,1,99,9,99,9",,,"99999,9,10049,1","9,9,999,9,-006,1",,,,"SYN06443284 32496 20504 10308 20199 30049 40163 81501 333 59006 81615=",
