"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"43277099999","2023-01-01T03:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0236,1","+0205,1","10178,1",,"0,1,02,1","0,1,02,1",,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0315,1","240,N,+0195,1","99999,9,10076,1","9,9,999,9,-009,1","10,1","SYN08643277 31995 20000 10236 20205 30076 40178 71000 80001 333 10315 20195 59009 555 10000=","Q01    003SCCGA1"
"43277099999","2023-01-01T12:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","004000,1,9,9","+0274,1","+0197,1","10133,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,10034,1","9,9,999,9,+002,1",,"SYN06443277 32996 40000 10274 20197 30034 40133 80002 333 10314 58002=","Q01    003SCCGA1"
"43277099999","2023-01-02T03:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0244,1","+0214,1","10168,1",,"0,1,02,1","0,1,02,1",,,"03,1,+02250,1,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","04,99,1,03,1,99,9,02250,1,99,9,99,9","240,M,+0314,1","240,N,+0196,1","99999,9,10067,1","9,9,999,9,-009,1","10,1","SYN08643277 31895 40000 10244 20214 30067 40168 71000 83031 333 10314 20196 59009 555 10000=",
"43277099999","2023-01-02T12:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0278,1","+0222,1","10134,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0310,1",,"99999,9,10035,1","9,9,999,9,+001,1",,"SYN06443277 32996 60501 10278 20222 30035 40134 80002 333 10310 58001=","Q01    003SCCGA1"
"43277099999","2023-01-03T03:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","230,1,N,0005,1","22000,1,9,N","002000,1,9,9","+0244,1","+0207,1","10177,1",,"0,1,02,1","0,1,02,1",,,"01,1,+00800,1,08,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","03,99,1,01,1,99,9,00800,1,99,9,99,9","240,M,+0310,1","240,N,+0200,1","99999,9,10076,1","9,9,999,9,+009,1","10,1","SYN08643277 31595 32301 10244 20207 30076 40177 71000 81801 333 10310 20200 58009 555 10000=",
"43277099999","2023-01-03T12:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","140,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0274,1","+0197,1","10134,1",,,,,,"01,1,+02250,1,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","03,99,1,01,1,99,9,02250,1,99,9,99,9","240,M,+0300,1",,"99999,9,10035,1","9,9,999,9,+000,1",,"SYN06443277 32896 31401 10274 20197 30035 40134 81031 333 10300 58000=",
"43277099999","2023-01-04T03:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0234,1","+0213,1","10169,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0300,1","240,N,+0200,1","99999,9,10067,1","9,9,999,9,-009,1",,"SYN08043277 31995 20000 10234 20213 30067 40169 80001 333 10300 20200 59009 555 10000=","Q01    003SCCGA1"
"43277099999","2023-01-04T12:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","140,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0270,1","+0200,1","10125,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0305,1",,"99999,9,10026,1","9,9,999,9,-009,1",,"SYN06443277 32996 41401 10270 20200 30026 40125 80002 333 10305 59009=","Q01    003SCCGA1"
"43277099999","2023-01-05T03:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0244,1","+0207,1","10158,1",,"0,1,02,1","0,1,02,1",,,"04,1,+02250,1,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,02250,1,99,9,99,9","240,M,+0305,1","240,N,+0200,1","99999,9,10057,1","9,9,999,9,-010,1","10,1","SYN08643277 31895 60000 10244 20207 30057 40158 71000 84031 333 10305 20200 59010 555 10000=",
"43277099999","2023-01-05T12:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","140,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0264,1","+0196,1","10134,1",,,,,,"02,1,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,99999,9,99,9,99,9","240,M,+0305,1",,"99999,9,10035,1","9,9,999,9,+009,1",,"SYN06443277 32996 41401 10264 20196 30035 40134 82032 333 10305 58009=",
"43277099999","2023-01-06T03:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","002000,1,9,9","+0252,1","+0206,1","10179,1",,"0,1,02,1","0,1,02,1",,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0305,1","240,N,+0206,1","99999,9,10077,1","9,9,999,9,+020,1","05,1","SYN08643277 31995 20502 10252 20206 30077 40179 70500 80001 333 10305 20206 58020 555 10000=","Q01    003SCCGA1"
"43277099999","2023-01-06T12:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0270,1","+0196,1","10144,1",,,,,,"05,1,+02250,1,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","07,99,1,05,1,99,9,02250,1,99,9,99,9","240,M,+0304,1",,"99999,9,10045,1","9,9,999,9,+010,1",,"SYN06443277 32896 70502 10270 20196 30045 40144 85032 333 10304 58010=",
"43277099999","2023-01-07T03:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","050,1,N,0021,1","22000,1,9,N","002000,1,9,9","+0246,1","+0203,1","10169,1",,"0,1,02,1","0,1,02,1",,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0304,1","240,N,+0200,1","99999,9,10068,1","9,9,999,9,-009,1","10,1","SYN08643277 31995 20504 10246 20203 30068 40169 71000 80001 333 10304 20200 59009 555 10000=","Q01    003SCCGA1"
"43277099999","2023-01-07T12:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","004000,1,9,9","+0264,1","+0203,1","10134,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0300,1",,"99999,9,10035,1","9,9,999,9,-010,1",,"SYN06443277 32996 40000 10264 20203 30035 40134 80002 333 10300 59010=","Q01    003SCCGA1"
"43277099999","2023-01-08T03:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0240,1","+0200,1","10160,1",,"0,1,02,1","0,1,02,1",,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0300,1","240,N,+0196,1","99999,9,10058,1","9,9,999,9,-010,1","10,1","SYN08643277 31995 40000 10240 20200 30058 40160 71000 80002 333 10300 20196 59010 555 10000=","Q01    003SCCGA1"
"43277099999","2023-01-08T12:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0254,1","+0199,1","10127,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0300,1",,"99999,9,10027,1","9,9,999,9,-008,1",,"SYN06443277 32996 61401 10254 20199 30027 40127 80002 333 10300 59008=","Q01    003SCCGA1"
"43277099999","2023-01-09T03:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0224,1","+0172,1","10181,1",,"0,1,02,1","0,1,02,1",,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0300,1","240,N,+0160,1","99999,9,10079,1","9,9,999,9,+021,1","10,1","SYN08643277 31995 20000 10224 20172 30079 40181 71000 80001 333 10300 20160 58021 555 10000=","Q01    003SCCGA1"
"43277099999","2023-01-09T12:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","004000,1,9,9","+0252,1","+0168,1","10146,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0295,1",,"99999,9,10046,1","9,9,999,9,+019,1",,"SYN06443277 32996 40000 10252 20168 30046 40146 80002 333 10295 58019=","Q01    003SCCGA1"
"43277099999","2023-01-10T03:00:00","4","13.15","79.5333333","87.0","TIRUTTANI, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0214,1","+0175,1","10173,1",,"0,1,02,1","0,1,02,1",,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0295,1","240,N,+0165,1","99999,9,10071,1","9,9,999,9,-008,1","10,1","SYN08643277 31995 20000 10214 20175 30071 40173 71000 80001 333 10295 20165 59008 555 10000=","Q01    003SCCGA1"
