"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MD1","MW1","REM","EQD"
"42262099999","2023-01-01T03:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","999,9,C,0000,1","00060,1,W,N","000200,1,9,9","+0090,1","+0073,1","10220,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0204,1","240,N,+0074,1","9,9,999,9,+007,1","43,1","SYN08042262 31/92 90000 10090 20073 40220 74344 89/// 333 10204 20074 58007 555 10000=",
"42262099999","2023-01-01T12:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","320,1,N,0021,1","99999,9,9,N","000500,1,9,9","+0152,1","+0127,1","10205,1",,"2,1,02,1","1,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","05,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0178,1",,"9,9,999,9,+023,1","42,1","SYN06442262 31993 53204 10152 20127 40205 74221 80001 333 10178 58023=","Q01    003SCCGA1"
"42262099999","2023-01-02T03:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","360,1,N,0010,1","00030,1,W,N","000050,1,9,9","+0108,1","+0100,1","10232,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0178,1","240,N,+0082,1","9,9,999,9,+013,1","43,1","SYN08042262 31/91 93602 10108 20100 40232 74344 89/// 333 10178 20082 58013 555 10000=",
"42262099999","2023-01-03T03:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","999,9,C,0000,1","00240,1,W,N","001000,1,9,9","+0102,1","+0081,1","10240,1",,"0,1,02,1","0,1,02,1","09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0124,1","240,N,+0092,1","9,9,999,9,+022,1","43,1","SYN08042262 31/94 90000 10102 20081 40240 74300 89/// 333 10124 20092 58022 555 10000=",
"42262099999","2023-01-03T12:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","000500,1,9,9","+0130,1","+0091,1","10214,1",,"0,1,02,1","0,1,02,1",,,,,,"240,M,+0144,1",,"9,9,999,9,-012,1","42,1","SYN05842262 31993 03202 10130 20091 40214 74200 333 10144 59012=",
"42262099999","2023-01-04T03:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","320,1,N,0021,1","00060,1,W,N","000200,1,9,9","+0090,1","+0073,1","10247,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0144,1","240,N,+0076,1","9,9,999,9,+006,1","43,1","SYN07042262 31/92 93204 10090 20073 40247 74344 89/// 333 10144 20076 58006=",
"42262099999","2023-01-04T12:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","050,1,N,0015,1","99999,9,9,N","000200,1,9,9","+0108,1","+0088,1","10216,1",,"0,1,02,1","0,1,02,1",,,,,,,,"9,9,999,9,+002,1","42,1","SYN05842262 31992 00503 10108 20088 40216 74200 333 10146 58002=",
"42262099999","2023-01-05T03:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","320,1,N,0021,1","00030,1,W,N","000050,1,9,9","+0074,1","+0070,1","10253,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0146,1","240,N,+0066,1","9,9,999,9,+004,1","43,1","SYN08042262 31/91 93204 10074 20070 40253 74344 89/// 333 10146 20066 58004 555 10000=",
"42262099999","2023-01-06T12:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","000500,1,9,9","+0120,1","+0079,1","10234,1",,"0,1,02,1","0,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,+004,1","10,1","SYN06442262 31993 22302 10120 20079 40234 71000 80001 333 10146 58004=","Q01    003SCCGA1"
"42262099999","2023-01-07T12:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","000500,1,9,9","+0132,1","+0109,1","10202,1",,"0,1,02,1","0,1,02,1",,,,,,,,"9,9,999,9,-022,1","42,1","SYN05842262 31993 03202 10132 20109 40202 74200 333 10154 59022=",
"42262099999","2023-01-08T03:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","999,9,C,0000,1","00030,1,W,N","000049,1,9,9","+0058,1","+0053,1","10211,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0154,1","240,N,+0044,1","9,9,999,9,-033,1","43,1","SYN08042262 31/90 90000 10058 20053 40211 74344 89/// 333 10154 20044 59033 555 10000=",
"42262099999","2023-01-08T12:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","320,1,N,0010,1","22000,1,9,9","000500,1,9,9","+0115,1","+0098,1","10188,1","99,9999,9,9","4,1,99,9","4,1,99,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"9,9,999,9,-014,1","42,1","SYN004BUFR",
"42262099999","2023-01-09T03:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","320,1,N,0010,1","00030,1,W,N","000049,1,9,9","+0074,1","+0074,1","10226,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0134,1","240,N,+0056,1","9,9,999,9,+017,1","43,1","SYN08042262 31/90 93202 10074 20074 40226 74344 89/// 333 10134 20056 58017 555 10000=",
"42262099999","2023-01-09T12:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","320,1,N,0010,1","22000,1,9,N","000200,1,9,9","+0126,1","+0115,1","10195,1",,"0,1,02,1","0,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,00,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,+007,1","42,1","SYN06442262 31992 33202 10126 20115 40195 74200 80001 333 10140 58007=","Q01    003SCCGA1"
"42262099999","2023-01-10T03:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","320,1,N,0010,1","00030,1,W,N","000049,1,9,9","+0084,1","+0084,1","10215,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0140,1","240,N,+0076,1","9,9,999,9,-010,1","43,1","SYN08042262 31/90 93202 10084 20084 40215 74344 89/// 333 10140 20076 59010 555 10000=",
"42262099999","2023-01-10T12:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","000500,1,9,9","+0158,1","+0129,1","10171,1",,"0,1,02,1","0,1,02,1",,,,,,"240,M,+0174,1",,"9,9,999,9,-021,1","42,1","SYN05842262 31993 03202 10158 20129 40171 74200 333 10174 59021=",
"42262099999","2023-01-11T03:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","050,1,N,0010,1","00030,1,W,N","000049,1,9,9","+0088,1","+0084,1","10174,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0174,1","240,N,+0070,1","9,9,999,9,-040,1","43,1","SYN08042262 31/90 90502 10088 20084 40174 74344 89/// 333 10174 20070 59040 555 10000=",
"42262099999","2023-01-11T12:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","050,1,N,0031,1","22000,1,9,N","000200,1,9,9","+0138,1","+0119,1","10132,1",,"0,1,02,1","0,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,-040,1","42,1","SYN06442262 31992 20506 10138 20119 40132 74200 80001 333 10150 59040=","Q01    003SCCGA1"
"42262099999","2023-01-12T03:00:00","4","27.8833333","78.0666666","187.0","ALIGARH, IN","FM-12","99999","V020","050,1,N,0036,1","99999,9,9,N","000500,1,9,9","+0102,1","+0094,1","10140,1",,"4,1,02,1","4,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","05,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0150,1","240,N,+0090,1","9,9,999,9,-031,1","42,1","SYN08042262 31993 50507 10102 20094 40140 74244 80002 333 10150 20090 59031 555 10000=","Q01    003SCCGA1"
