"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GE1","GF1","KA1","KA2","MD1","MW1","REM","EQD"
"42137099999","2023-01-02T03:00:00","4","29.7","77.0333333","249.0","KARNAL, IN","FM-12","99999","V020","999,9,C,0000,1","00030,1,W,N","000050,1,9,9","+0094,1","+0094,1","10235,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0148,1","240,N,+0067,1","9,9,999,9,+000,1","45,1","SYN08042137 31/91 90000 10094 20094 40235 74544 89/// 333 10148 20067 58000 555 10000=",
"42137099999","2023-01-03T03:00:00","4","29.7","77.0333333","249.0","KARNAL, IN","FM-12","99999","V020","999,9,C,0000,1","00120,1,W,N","000500,1,9,9","+0088,1","+0088,1","10246,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0144,1","240,N,+0072,1","9,9,999,9,+010,1","45,1","SYN08042137 31/93 90000 10088 20088 40246 74544 89/// 333 10144 20072 58010 555 10000=",
"42137099999","2023-01-04T03:00:00","4","29.7","77.0333333","249.0","KARNAL, IN","FM-12","99999","V020","999,9,C,0000,1","00120,1,W,N","000500,1,9,9","+0070,1","+0061,1","10254,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0154,1","240,N,+0063,1","9,9,999,9,+006,1","45,1","SYN08042137 31/93 90000 10070 20061 40254 74544 89/// 333 10154 20063 58006 555 10000=",
"42137099999","2023-01-05T03:00:00","4","29.7","77.0333333","249.0","KARNAL, IN","FM-12","99999","V020","999,9,C,0000,1","00060,1,W,N","000200,1,9,9","+0064,1","+0064,1","10256,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0110,1","240,N,+0060,1","9,9,999,9,+001,1","45,1","SYN08042137 31/92 90000 10064 20064 40256 74544 89/// 333 10110 20060 58001 555 10000=",
"42137099999","2023-01-06T03:00:00","4","29.7","77.0333333","249.0","KARNAL, IN","FM-12","99999","V020","999,9,C,0000,1","00030,1,W,N","000050,1,9,9","+0056,1","+0056,1","10267,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0090,1","240,N,+0048,1","9,9,999,9,+010,1","45,1","SYN08042137 31/91 90000 10056 20056 40267 74544 89/// 333 10090 20048 58010 555 10000=",
"42137099999","2023-01-07T03:00:00","4","29.7","77.0333333","249.0","KARNAL, IN","FM-12","99999","V020","999,9,C,0000,1","00030,1,W,N","000050,1,9,9","+0052,1","+0052,1","10249,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0094,1","240,N,+0045,1","9,9,999,9,-018,1","45,1","SYN08042137 31/91 90000 10052 20052 40249 74544 89/// 333 10094 20045 59018 555 10018=",
"42137099999","2023-01-09T03:00:00","4","29.7","77.0333333","249.0","KARNAL, IN","FM-12","99999","V020","999,9,C,0000,1","00030,1,W,N","000050,1,9,9","+0090,1","+0090,1","10224,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0134,1","240,N,+0068,1","9,9,999,9,+000,1","45,1","SYN08042137 31/91 90000 10090 20090 40224 74544 89/// 333 10134 20068 58000 555 10000=",
"42137099999","2023-01-10T03:00:00","4","29.7","77.0333333","249.0","KARNAL, IN","FM-12","99999","V020","999,9,C,0000,1","00030,1,W,N","000050,1,9,9","+0090,1","+0090,1","10217,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0123,1","240,N,+0085,1","9,9,999,9,-007,1","45,1","SYN08042137 31/91 90000 10090 20090 40217 74544 89/// 333 10123 20085 59007 555 10000=",
"42137099999","2023-01-11T03:00:00","4","29.7","77.0333333","249.0","KARNAL, IN","FM-12","99999","V020","999,9,C,0000,1","00060,1,W,N","000200,1,9,9","+0098,1","+0098,1","10165,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0138,1","240,N,+0093,1","9,9,999,9,-049,1","45,1","SYN08042137 31/92 90000 10098 20098 40165 74544 89/// 333 10138 20093 59049 555 10000=",
"42137099999","2023-01-12T03:00:00","4","29.7","77.0333333","249.0","KARNAL, IN","FM-12","99999","V020","999,9,C,0000,1","00060,1,W,N","000200,1,9,9","+0092,1","+0092,1","10145,1",,"4,1,02,1","4,1,02,1","09,1,+99999,9,99,9",,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0158,1","240,N,+0087,1","9,9,999,9,-016,1","45,1","SYN08042137 31/92 90000 10092 20092 40145 74544 89/// 333 10158 20087 59016 555 10000=",
