"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GA4","GA5","GE1","GF1","KA1","KA2","MA1","MD1","MW1","OC1","REM","EQD"
"43128099999","2023-01-01T00:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0206,1","+0184,1","10155,1",,"1,1,02,1","0,1,02,1",,,"02,1,+06000,1,00,1",,,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,06000,1,99,9,99,9",,,"99999,9,09541,1","9,9,999,9,-010,1","10,1",,"SYN07043128 31995 20000 10206 20184 39541 40155 71010 80001 333 59010 82070=",
"43128099999","2023-01-01T01:30:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","999,9,V,0005,1","99999,9,9,N","005000,1,9,9","+0190,1","+0170,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10190,1,99999,9",,"05,1",,"MET060METAR VOHY 010130Z VRB01KT 5000 HZ FEW020 19/17 Q1019 NOSIG=",
"43128099999","2023-01-01T02:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","005000,1,9,9","+0190,1","+0180,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10200,1,99999,9",,"05,1",,"MET060METAR VOHY 010200Z 00000KT 5000 HZ FEW020 19/18 Q1020 NOSIG=",
"43128099999","2023-01-01T02:30:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","005000,1,9,9","+0220,1","+0180,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10200,1,99999,9",,"05,1",,"MET060METAR VOHY 010230Z VRB02KT 5000 HZ FEW020 22/18 Q1020 NOSIG=",
"43128099999","2023-01-01T03:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-12","99999","V020","999,9,V,0010,1","06000,1,9,N","004000,1,9,9","+0240,1","+0181,1","10170,1",,"2,1,02,1","1,1,02,1",,,"05,1,+06000,1,00,1",,,,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,06000,1,99,9,99,9","240,M,+0324,1","240,N,+0204,1","99999,9,09562,1","9,9,999,9,-009,1","05,1",,"SYN09243128 31996 59902 10240 20181 39562 40170 70521 80001 333 10324 20204 59009 85070 555 10000=",
"43128099999","2023-01-01T03:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","005000,1,9,9","+0250,1","+0180,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10210,1,99999,9",,"05,1",,"MET060METAR VOHY 010300Z VRB02KT 5000 HZ FEW020 25/18 Q1021 NOSIG=",
"43128099999","2023-01-01T03:30:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","190,1,N,0021,1","99999,9,9,N","005000,1,9,9","+0260,1","+0180,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10210,1,99999,9",,"05,1",,"MET060METAR VOHY 010330Z 19004KT 5000 HZ FEW020 26/18 Q1021 NOSIG=",
"43128099999","2023-01-01T04:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","190,1,N,0021,1","99999,9,9,N","005000,1,9,9","+0270,1","+0180,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10210,1,99999,9",,"05,1",,"MET060METAR VOHY 010400Z 19004KT 5000 HZ FEW020 27/18 Q1021 NOSIG=",
"43128099999","2023-01-01T04:30:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","180,1,N,0026,1","99999,9,9,N","005000,1,9,9","+0280,1","+0180,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10210,1,99999,9",,"05,1",,"MET060METAR VOHY 010430Z 18005KT 5000 HZ FEW020 28/18 Q1021 NOSIG=",
"43128099999","2023-01-01T05:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","005000,1,9,9","+0290,1","+0180,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10210,1,99999,9",,"05,1",,"MET065METAR VOHY 010500Z VRB02KT 5000 HZ FEW020 29/18 Q1021 BECMG 6000=",
"43128099999","2023-01-01T06:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-12","99999","V020","999,9,V,0010,1","06000,1,C,N","010000,1,9,9","+0290,1","+0166,1","10160,1",,,,,,"02,1,+00600,1,06,1","05,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","05,99,1,02,1,99,9,00600,1,99,9,99,9",,,"99999,9,09562,1","9,9,999,9,-008,1",,,"SYN07043128 32597 59902 10290 20166 39562 40160 82501 333 59008 82620 85070=",
"43128099999","2023-01-01T06:30:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","140,1,N,0015,1","00762,1,C,N","006000,1,9,9","+0300,1","+0150,1","99999,9",,,,,,"04,1,+00610,1,99,9","04,1,+00762,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10200,1,99999,9",,,,"MET064METAR VOHY 010630Z 14003KT 6000 SCT020 SCT025 30/15 Q1020 NOSIG=",
"43128099999","2023-01-01T07:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","120,1,N,0015,1","00762,1,C,N","006000,1,9,9","+0290,1","+0150,1","99999,9",,,,,,"04,1,+00610,1,99,9","04,1,+00762,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10190,1,99999,9",,,,"MET064METAR VOHY 010700Z 12003KT 6000 SCT020 SCT025 29/15 Q1019 NOSIG=",
"43128099999","2023-01-01T07:30:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","999,9,V,0005,1","00762,1,C,N","006000,1,9,9","+0290,1","+0140,1","99999,9",,,,,,"04,1,+00610,1,99,9","04,1,+00762,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10190,1,99999,9",,,,"MET064METAR VOHY 010730Z VRB01KT 6000 SCT020 SCT025 29/14 Q1019 NOSIG=",
"43128099999","2023-01-01T08:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","999,9,V,0015,1","00762,1,C,N","006000,1,9,9","+0290,1","+0140,1","99999,9",,,,,,"04,1,+00610,1,99,9","04,1,+00762,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10180,1,99999,9",,,,"MET064METAR VOHY 010800Z VRB03KT 6000 SCT020 SCT025 29/14 Q1018 NOSIG=",
"43128099999","2023-01-01T08:30:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","060,1,N,0026,1","00762,1,C,N","006000,1,9,9","+0300,1","+0140,1","99999,9",,,,,,"04,1,+00610,1,99,9","04,1,+00762,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10170,1,99999,9",,,,"MET064METAR VOHY 010830Z 06005KT 6000 SCT020 SCT025 30/14 Q1017 NOSIG=",
"43128099999","2023-01-01T09:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-12","99999","V020","999,9,C,0000,1","06000,1,C,N","010000,1,9,9","+0308,1","+0143,1","10120,1",,,,,,"04,1,+00600,1,06,1","03,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,00600,1,99,9,99,9",,,"99999,9,09528,1","9,9,999,9,-004,1",,,"SYN07043128 32597 60000 10308 20143 39528 40120 84501 333 59004 84620 83070=",
"43128099999","2023-01-01T09:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","090,1,N,0036,1","00762,1,C,N","006000,1,9,9","+0300,1","+0130,1","99999,9",,,,,,"04,1,+00610,1,99,9","04,1,+00762,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10170,1,99999,9",,,,"MET064METAR VOHY 010900Z 09007KT 6000 SCT020 SCT025 30/13 Q1017 NOSIG=",
"43128099999","2023-01-01T09:30:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","999,9,V,0010,1","00762,1,C,N","006000,1,9,9","+0310,1","+0130,1","99999,9",,,,,,"04,1,+00610,1,99,9","04,1,+00762,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10160,1,99999,9",,,,"MET064METAR VOHY 010930Z VRB02KT 6000 SCT020 SCT025 31/13 Q1016 NOSIG=",
"43128099999","2023-01-01T10:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","170,1,N,0021,1","00762,1,C,N","006000,1,9,9","+0310,1","+0130,1","99999,9",,,,,,"04,1,+00610,1,99,9","04,1,+00762,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10160,1,99999,9",,,,"MET064METAR VOHY 011000Z 17004KT 6000 SCT020 SCT025 31/13 Q1016 NOSIG=",
"43128099999","2023-01-01T10:30:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","999,9,V,0015,1","99999,9,9,N","006000,1,9,9","+0300,1","+0120,1","99999,9",,,,,,"04,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10160,1,99999,9",,,,"MET057METAR VOHY 011030Z VRB03KT 6000 SCT020 30/12 Q1016 NOSIG=",
"43128099999","2023-01-01T11:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,N","006000,1,9,9","+0300,1","+0130,1","99999,9",,,,,,"04,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,,"10160,1,99999,9",,,,"MET057METAR VOHY 011100Z VRB02KT 6000 SCT020 30/13 Q1016 NOSIG=",
"43128099999","2023-01-01T11:30:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","120,1,N,0031,1","99999,9,9,N","006000,1,9,9","+0290,1","+0160,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10160,1,99999,9",,,,"MET057METAR VOHY 011130Z 12006KT 6000 FEW020 29/16 Q1016 NOSIG=",
"43128099999","2023-01-01T12:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-12","99999","V020","999,9,V,0010,1","06000,1,C,N","010000,1,9,9","+0288,1","+0156,1","10124,1",,,,,,"04,1,+00600,1,06,1","03,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,00600,1,99,9,99,9",,,"99999,9,09528,1","9,9,999,9,+002,1",,,"SYN07643128 32597 69902 10288 20156 39528 40124 84501 333 10317 58002 84620 83070=",
"43128099999","2023-01-01T12:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","090,1,N,0031,1","99999,9,9,N","006000,1,9,9","+0280,1","+0170,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10170,1,99999,9",,,,"MET057METAR VOHY 011200Z 09006KT 6000 FEW020 28/17 Q1017 NOSIG=",
"43128099999","2023-01-01T12:30:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","110,1,N,0031,1","99999,9,9,N","006000,1,9,9","+0270,1","+0160,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10170,1,99999,9",,,,"MET057METAR VOHY 011230Z 11006KT 6000 FEW020 27/16 Q1017 NOSIG=",
"43128099999","2023-01-01T13:00:00","4","17.452417","78.461111","530.96","BEGUMPET AIRPORT, IN","FM-15","99999","V020","110,1,N,0031,1","99999,9,9,N","006000,1,9,9","+0270,1","+0170,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10180,1,99999,9",,,,"MET057METAR VOHY 011300Z 11006KT 6000 FEW020 27/17 Q1018 NOSIG=",
