"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43128599999","2023-01-01T07:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","230,1,N,0031,1","99999,9,9,N","006000,1,9,9","+0300,1","+0170,1","99999,9",,"04,1,+00457,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9","10190,1,99999,9",,,,"MET057METAR VOHS 010700Z 23006KT 6000 SCT015 30/17 Q1019 NOSIG=",
"43128599999","2023-01-01T07:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","240,1,N,0031,1","99999,9,9,N","006000,1,9,9","+0300,1","+0170,1","99999,9",,"04,1,+00457,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9","10190,1,99999,9",,,,"MET057METAR VOHS 010730Z 24006KT 6000 SCT015 30/17 Q1019 NOSIG=",
"43128599999","2023-01-01T08:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0021,1","99999,9,9,N","006000,1,9,9","+0300,1","+0170,1","99999,9",,"04,1,+00457,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9","10180,1,99999,9",,,,"MET057METAR VOHS 010800Z VRB04KT 6000 SCT015 30/17 Q1018 NOSIG=",
"43128599999","2023-01-01T08:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","260,1,N,0036,1","99999,9,9,N","006000,1,9,9","+0300,1","+0180,1","99999,9",,"04,1,+00457,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9","10180,1,99999,9",,,,"MET057METAR VOHS 010830Z 26007KT 6000 SCT015 30/18 Q1018 NOSIG=",
"43128599999","2023-01-01T09:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0021,1","99999,9,9,N","006000,1,9,9","+0310,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10170,1,99999,9",,,,"MET057METAR VOHS 010900Z VRB04KT 6000 SCT020 31/17 Q1017 NOSIG=",
"43128599999","2023-01-01T09:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0021,1","99999,9,9,N","006000,1,9,9","+0300,1","+0160,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10170,1,99999,9",,,,"MET057METAR VOHS 010930Z VRB04KT 6000 SCT020 30/16 Q1017 NOSIG=",
"43128599999","2023-01-01T10:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0021,1","99999,9,9,N","006000,1,9,9","+0300,1","+0160,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10160,1,99999,9",,,,"MET057METAR VOHS 011000Z VRB04KT 6000 SCT020 30/16 Q1016 NOSIG=",
"43128599999","2023-01-01T10:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0021,1","99999,9,9,N","006000,1,9,9","+0300,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10160,1,99999,9",,,,"MET057METAR VOHS 011030Z VRB04KT 6000 SCT020 30/17 Q1016 NOSIG=",
"43128599999","2023-01-01T11:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0021,1","99999,9,9,N","006000,1,9,9","+0300,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10160,1,99999,9",,,,"MET057METAR VOHS 011100Z VRB04KT 6000 SCT020 30/17 Q1016 NOSIG=",
"43128599999","2023-01-01T11:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","050,1,N,0021,1","99999,9,9,N","006000,1,9,9","+0300,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10160,1,99999,9",,,,"MET057METAR VOHS 011130Z 05004KT 6000 SCT020 30/17 Q1016 NOSIG=",
