"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"43303099999","2023-01-01T03:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","020,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0212,1","+0193,1","10179,1",,"0,1,02,1","0,1,02,1",,,,,,,,"240,M,+0304,1","240,N,+0190,1","99999,9,09932,1","9,9,999,9,-011,1","10,1","SYN08043303 31995 00202 10212 20193 39932 40179 71000 333 10304 20190 59011 555 10000=",
"43303099999","2023-01-01T06:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0290,1","+0192,1","10164,1",,,,,,"01,1,+00800,1,08,1",,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00800,1,99,9,99,9",,,"99999,9,09924,1","9,9,999,9,-006,1",,"SYN05843303 32596 10502 10290 20192 39924 40164 81100 333 59006=",
"43303099999","2023-01-01T09:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0300,1","+0178,1","10129,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,09890,1","9,9,999,9,-003,1",,"SYN05843303 32997 10502 10300 20178 39890 40129 80001 333 59003=","Q01    003SCCGA1"
"43303099999","2023-01-01T12:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","090,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0276,1","+0182,1","10134,1",,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,09893,1","9,9,999,9,-002,1",,"SYN06443303 32996 30902 10276 20182 39893 40134 80001 333 10307 59002=","Q01    003SCCGA1"
"43303099999","2023-01-02T03:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","320,1,N,0010,1","00060,1,W,N","000200,1,9,9","+0218,1","+0206,1","10179,1",,"4,1,02,1","4,1,02,1",,,"09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9","240,M,+0307,1","240,N,+0197,1","99999,9,09932,1","9,9,999,9,+000,1","43,1","SYN08643303 31/92 93202 10218 20206 39932 40179 74344 89/// 333 10307 20197 58000 555 10000=",
"43303099999","2023-01-02T06:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","340,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0270,1","+0210,1","10164,1",,"4,1,02,1","4,1,02,1",,,"04,1,+00800,1,08,1",,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,09922,1","9,9,999,9,-002,1","03,1","SYN06443303 31596 43401 10270 20210 39922 40164 70344 84800 333 59002=",
"43303099999","2023-01-02T09:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","020,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0288,1","+0182,1","10129,1",,,,,,"03,1,+00800,1,08,1",,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,09889,1","9,9,999,9,-001,1",,"SYN05843303 32597 30202 10288 20182 39889 40129 83800 333 59001=",
"43303099999","2023-01-02T12:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","110,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0280,1","+0194,1","10132,1",,,,,,"01,1,+02250,1,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","02,99,1,01,1,99,9,02250,1,99,9,99,9",,,"99999,9,09891,1","9,9,999,9,-002,1",,"SYN06443303 32896 21102 10280 20194 39891 40132 81031 333 10293 59002=",
"43303099999","2023-01-03T03:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","070,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0222,1","+0197,1","10181,1",,"0,1,02,1","0,1,02,1",,,,,,,,"240,M,+0293,1","240,N,+0201,1","99999,9,09935,1","9,9,999,9,+003,1","05,1","SYN08043303 31996 00701 10222 20197 39935 40181 70500 333 10293 20201 58003 555 10000=",
"43303099999","2023-01-03T06:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","020,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0280,1","+0211,1","10165,1",,,,,,"04,1,+00800,1,08,1",,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,09924,1","9,9,999,9,+002,1",,"SYN05843303 32596 40202 10280 20211 39924 40165 84800 333 58002=",
"43303099999","2023-01-03T09:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","070,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0292,1","+0194,1","10129,1",,,,,,"03,1,+00800,1,08,1",,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,09890,1","9,9,999,9,+001,1",,"SYN05843303 32596 30702 10292 20194 39890 40129 83800 333 58001=",
"43303099999","2023-01-03T12:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","070,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0276,1","+0196,1","10132,1",,,,,,"01,1,+00800,1,08,1",,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00800,1,99,9,99,9",,,"99999,9,09891,1","9,9,999,9,+000,1",,"SYN06443303 32596 10702 10276 20196 39891 40132 81800 333 10296 58000=",
"43303099999","2023-01-04T03:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","002000,1,9,9","+0218,1","+0203,1","10174,1",,"2,1,02,1","2,1,02,1",,,"03,1,+00800,1,06,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","05,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0296,1","240,N,+0202,1","99999,9,09927,1","9,9,999,9,-008,1","10,1","SYN08643303 31595 50501 10218 20203 39927 40174 71022 83502 333 10296 20202 59008 555 10000=",
"43303099999","2023-01-04T06:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","050,1,N,0005,1","22000,1,9,N","004000,1,9,9","+0274,1","+0204,1","10157,1",,"2,1,02,1","1,1,02,1",,,"04,1,+00800,1,08,1",,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,09916,1","9,9,999,9,-008,1","05,1","SYN06443303 31596 40501 10274 20204 39916 40157 70521 84800 333 59008=",
"43303099999","2023-01-04T09:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","070,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0290,1","+0192,1","10117,1",,,,,,"04,1,+00800,1,08,1",,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,09877,1","9,9,999,9,-013,1",,"SYN05843303 32596 40703 10290 20192 39877 40117 84800 333 59013=",
"43303099999","2023-01-04T12:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","090,1,N,0026,1","99999,9,9,N","004000,1,9,9","+0274,1","+0197,1","10120,1",,,,,,"03,1,+00800,1,08,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","05,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,09879,1","9,9,999,9,-012,1",,"SYN06443303 32596 50905 10274 20197 39879 40120 83808 333 10297 59012=",
"43303099999","2023-01-05T03:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0228,1","+0207,1","10168,1",,"2,1,02,1","2,1,02,1",,,"04,1,+00800,1,08,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,00800,1,99,9,99,9","240,M,+0297,1","240,N,+0206,1","99999,9,09923,1","9,9,999,9,-004,1","05,1","SYN08643303 31595 60000 10228 20207 39923 40168 70522 84830 333 10297 20206 59004 555 10000=",
"43303099999","2023-01-05T06:00:00","4","12.9166667","79.15","214.0","VELLORE, IN","FM-12","99999","V020","070,1,N,0031,1","22000,1,9,N","004000,1,9,9","+0272,1","+0209,1","10156,1",,,,,,"04,1,+00800,1,08,1",,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,09915,1","9,9,999,9,-001,1",,"SYN05843303 32596 40706 10272 20209 39915 40156 84800 333 59001=",
