"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"42176099999","2023-01-16T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0028,1","+0007,1","10169,1",,,,,,,,,,"240,M,+0148,1","240,N,+0022,1",,"9,9,999,9,+007,1",,"SYN06842176 32996 02502 10028 20007 40169 333 10148 20022 58007 555 10000=",
"42176099999","2023-01-16T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0148,1","+0045,1","10145,1",,,,,,,,,,"240,M,+0151,1",,,"9,9,999,9,+018,1",,"SYN05242176 32996 03202 10148 20045 40145 333 10151 58018=",
"42176099999","2023-01-17T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0028,1","+0007,1","10164,1",,,,,,,,,,"240,M,+0151,1","240,N,+0018,1",,"9,9,999,9,-005,1",,"SYN06842176 32996 01802 10028 20007 40164 333 10151 20018 59005 555 10000=",
"42176099999","2023-01-17T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0154,1","-0086,1","10145,1",,,,,,,,,,"240,M,+0170,1",,,"9,9,999,9,+001,1",,"SYN05242176 32996 02702 10154 21086 40145 333 10170 58001=",
"42176099999","2023-01-18T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0042,1","+0017,1","10203,1",,,,,,"03,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,99999,9,99,9,99,9","240,M,+0170,1","240,N,+0028,1",,"9,9,999,9,+039,1",,"SYN07442176 32996 32302 10042 20017 40203 83030 333 10170 20028 58039 555 10000=",
"42176099999","2023-01-18T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0158,1","+0025,1","10151,1",,,,,,,,,,"240,M,+0160,1",,,"9,9,999,9,+014,1",,"SYN05242176 32996 02902 10158 20025 40151 333 10160 58014=",
"42176099999","2023-01-19T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0088,1","+0067,1","10191,1",,,,,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0160,1","240,N,+0074,1",,"9,9,999,9,-007,1",,"SYN07442176 32996 61602 10088 20067 40191 86030 333 10160 20074 59007 555 10000=",
"42176099999","2023-01-19T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0178,1","+0076,1","10159,1",,,,,,"07,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","07,99,1,07,1,99,9,99999,9,99,9,99,9","240,M,+0182,1",,,"9,9,999,9,+002,1",,"SYN05842176 32996 72902 10178 20076 40159 87030 333 10182 58002=",
"42176099999","2023-01-20T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","340,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0120,1","+0096,1","10167,1",,,,,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0182,1","240,N,+0110,1",,"9,9,999,9,-021,1",,"SYN07442176 32996 63402 10120 20096 40167 86030 333 10182 20110 59021 555 10000=",
"42176099999","2023-01-20T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0178,1","+0090,1","10146,1",,,,,,"04,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,99999,9,99,9,99,9","240,M,+0181,1",,,"9,9,999,9,-013,1",,"SYN05842176 32996 43202 10178 20090 40146 84030 333 10181 59013=",
"42176099999","2023-01-21T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0078,1","+0056,1","10173,1",,,,,,,,,,"240,M,+0181,1","240,N,+0066,1",,"9,9,999,9,+003,1",,"SYN06842176 32996 03202 10078 20056 40173 333 10181 20066 58003 555 10000=",
"42176099999","2023-01-21T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0190,1","+0118,1","10128,1",,,,,,,,,,"240,M,+0196,1",,,"9,9,999,9,-016,1",,"SYN05242176 32996 01602 10190 20118 40128 333 10196 59016=",
"42176099999","2023-01-22T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0188,1","+0120,1","10135,1",,,,,,,,,,"240,M,+0192,1",,,"9,9,999,9,+007,1",,"SYN05242176 32996 02902 10188 20120 40135 333 10192 58007=",
"42176099999","2023-01-23T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","110,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0096,1","+0079,1","10169,1",,,,,,,,"9,AGL   ,+99999,+99999","06,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0192,1","240,N,+0088,1",,"9,9,999,9,+013,1",,"SYN06842176 32996 61102 10096 20079 40169 333 10192 20088 58013 555 10000=",
"42176099999","2023-01-23T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","340,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0212,1","+0106,1","10114,1",,,,,,"03,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,99999,9,99,9,99,9","240,M,+0216,1",,,"9,9,999,9,-019,1",,"SYN05842176 32996 33402 10212 20106 40114 83030 333 10216 59019=",
"42176099999","2023-01-24T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","090,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0122,1","+0114,1","10136,1",,,,,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0216,1","240,N,+0114,1",,"9,9,999,9,-029,1",,"SYN06442176 22996 60902 10122 20114 40136 86030 333 10216 20114 59029=",
"42176099999","2023-01-25T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","000500,1,9,9","+0130,1","+0119,1","10150,1",,"4,1,02,1","4,1,02,1",,,,,,,"240,M,+0195,1","240,N,+0116,1",,"9,9,999,9,+013,1","45,1","SYN07442176 31/93 02302 10130 20119 40150 74544 333 10195 20116 58013 555 10001=",
"42176099999","2023-01-25T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0154,1","+0136,1","10141,1",,,,,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0158,1",,,"9,9,999,9,+027,1",,"SYN05842176 32996 62502 10154 20136 40141 86030 333 10158 58027=",
"42176099999","2023-01-26T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","001000,1,9,9","+0116,1","+0104,1","10182,1",,,,,,,,,,"240,M,+0158,1","240,N,+0108,1",,"9,9,999,9,+033,1",,"SYN06842176 31994 03202 10116 20104 40182 333 10158 20108 58033 555 10001=",
"42176099999","2023-01-26T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0166,1","+0102,1","10162,1",,,,,,,,,,"240,M,+0168,1",,,"9,9,999,9,+022,1",,"SYN05242176 32996 02702 10166 20102 40162 333 10168 58022=",
"42176099999","2023-01-27T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0076,1","+0047,1","10193,1",,,,,,,,,,"240,M,+0168,1","240,N,+0060,1",,"9,9,999,9,+005,1",,"SYN06842176 32996 02502 10076 20047 40193 333 10168 20060 58005 555 10001=",
"42176099999","2023-01-27T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0168,1","+0054,1","10154,1",,,,,,,,,,"240,M,+0172,1",,,"9,9,999,9,-008,1",,"SYN05242176 32996 02702 10168 20054 40154 333 10172 59008=",
"42176099999","2023-01-28T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0062,1","+0034,1","10164,1",,,,,,,,,,"240,M,+0172,1","240,N,+0046,1",,"9,9,999,9,-029,1",,"SYN06842176 32996 01802 10062 20034 40164 333 10172 20046 59029 555 10001=",
"42176099999","2023-01-28T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0188,1","+0098,1","10112,1",,,,,,,,,,"240,M,+0191,1",,,"9,9,999,9,-039,1",,"SYN05242176 32996 02502 10188 20098 40112 333 10191 59039=",
"42176099999","2023-01-29T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","110,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0104,1","+0084,1","10135,1",,"2,1,02,1","2,1,02,1",,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0191,1","240,N,+0072,1",,"9,9,999,9,-025,1","10,1","SYN08042176 31995 61102 10104 20084 40135 71022 86030 333 10191 20072 59025 555 10001=",
"42176099999","2023-01-29T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","070,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0136,1","+0125,1","10141,1",,,,,,"07,1,+00800,1,03,1",,"9,AGL   ,+99999,+99999","07,99,1,07,1,99,9,00800,1,99,9,99,9","240,M,+0142,1",,,"9,9,999,9,+023,1",,"SYN05842176 22596 70702 10136 20125 40141 87030 333 10142 58023=",
"42176099999","2023-01-30T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","070,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0132,1","+0117,1","10174,1","24,0130,3,1",,,,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0142,1","240,N,+0124,1",,"9,9,999,9,+041,1",,"SYN08642176 22996 60702 10132 20117 40174 86030 333 10142 20124 58041 6013/ 555 00132 10014=",
"42176099999","2023-01-30T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0180,1","+0138,1","10158,1",,,,,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0183,1",,,"9,9,999,9,+021,1",,"SYN05842176 32996 60502 10180 20138 40158 86030 333 10183 58021=",
"42176099999","2023-01-31T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","200,1,N,0010,1","00120,1,W,N","000500,1,9,9","+0124,1","+0109,1","10191,1",,"4,1,02,1","4,1,02,1",,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0183,1","240,N,+0116,1",,"9,9,999,9,+015,1","45,1","SYN07442176 31/93 92002 10124 20109 40191 74544 333 10183 20116 58015 555 10014=",
"42176099999","2023-01-31T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0166,1","+0119,1","10167,1",,,,,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0169,1",,,"9,9,999,9,+008,1",,"SYN05842176 32996 62902 10166 20119 40167 86030 333 10169 58008=",
"42176099999","2023-02-01T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0104,1","+0088,1","10184,1",,,,,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0169,1","240,N,+0096,1",,"9,9,999,9,-008,1",,"SYN07442176 32996 62502 10104 20088 40184 86030 333 10169 20096 59008 555 10014=",
"42176099999","2023-02-01T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0184,1","+0093,1","10148,1",,,,,,,,,,,,,"9,9,999,9,-017,1",,"SYN05242176 32996 02902 10184 20093 40148 333 10188 59017=",
"42176099999","2023-02-02T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0092,1","+0071,1","10163,1",,,,,,,,,,"240,M,+0188,1","240,N,+0076,1",,"9,9,999,9,-022,1",,"SYN06842176 32996 02302 10092 20071 40163 333 10188 20076 59022 555 10014=",
"42176099999","2023-02-02T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0212,1","+0078,1","10135,1",,,,,,,,,,"240,M,+0215,1",,,"9,9,999,9,-011,1",,"SYN05242176 32996 02902 10212 20078 40135 333 10215 59011=",
"42176099999","2023-02-03T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","160,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0094,1","+0077,1","10170,1",,,,,,"03,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,99999,9,99,9,99,9","240,M,+0215,1","240,N,+0082,1",,"9,9,999,9,+007,1",,"SYN07442176 32996 31602 10094 20077 40170 83030 333 10215 20082 58007 555 10014=",
"42176099999","2023-02-03T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0210,1","+0099,1","10130,1",,,,,,,,,,"240,M,+0213,1",,,"9,9,999,9,-004,1",,"SYN05242176 32996 02302 10210 20099 40130 333 10213 59004=",
"42176099999","2023-02-04T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0104,1","+0088,1","10137,1",,,,,,,,,,"240,M,+0213,1","240,N,+0088,1",,"9,9,999,9,-031,1",,"SYN06842176 32996 02302 10104 20088 40137 333 10213 20088 59031 555 10014=",
