"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"42176099999","2023-01-01T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","200,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0074,1","+0051,1","10196,1",,,,,,,,,,"240,M,+0159,1","240,N,+0066,1",,"9,9,999,9,-004,1",,"SYN06842176 32996 02002 10074 20051 40196 333 10159 20066 59004 555 10000=",
"42176099999","2023-01-01T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0174,1","+0107,1","10177,1",,,,,,"04,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,99999,9,99,9,99,9","240,M,+0180,1",,,"9,9,999,9,+008,1",,"SYN05842176 32996 43202 10174 20107 40177 84030 333 10180 58008=",
"42176099999","2023-01-02T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","000500,1,9,9","+0100,1","+0084,1","10209,1",,"4,1,02,1","4,1,02,1",,,,,,,"240,M,+0180,1","240,N,+0082,1",,"9,9,999,9,+014,1","45,1","SYN07442176 31993 00502 10100 20084 40209 74544 333 10180 20082 58014 555 10000=",
"42176099999","2023-01-02T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0148,1","+0106,1","10186,1",,,,,,,,,,"240,M,+0157,1",,,"9,9,999,9,+006,1",,"SYN05242176 32996 03202 10148 20106 40186 333 10157 58006=",
"42176099999","2023-01-03T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0102,1","+0081,1","10220,1",,"2,1,02,1","2,1,02,1",,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0157,1","240,N,+0084,1",,"9,9,999,9,+012,1","10,1","SYN08042176 32995 60502 10102 20081 40220 71022 86030 333 10157 20084 58012 555 10000=",
"42176099999","2023-01-03T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0120,1","+0075,1","10198,1",,,,,,,,,,"240,M,+0148,1",,,"9,9,999,9,+008,1",,"SYN05242176 32996 03202 10120 20075 40198 333 10148 58008=",
"42176099999","2023-01-04T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0078,1","+0051,1","10229,1",,,,,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0148,1","240,N,+0066,1",,"9,9,999,9,+006,1",,"SYN07442176 32996 63202 10078 20051 40229 86030 333 10148 20066 58006 555 10000=",
"42176099999","2023-01-04T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0128,1","+0075,1","10209,1",,,,,,,,,,"240,M,+0131,1",,,"9,9,999,9,+006,1",,"SYN05242176 32996 03202 10128 20075 40209 333 10131 58006=",
"42176099999","2023-01-05T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","200,1,N,0010,1","99999,9,9,N","000500,1,9,9","+0078,1","+0061,1","10235,1",,"4,1,02,1","4,1,02,1",,,,,,,"240,M,+0131,1","240,N,+0054,1",,"9,9,999,9,+006,1","45,1","SYN07442176 31993 02002 10078 20061 40235 74544 333 10131 20054 58006 555 10000=",
"42176099999","2023-01-06T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","250,1,N,0010,1","22000,1,9,9","004000,1,9,9","+0072,1","+0049,1","10239,1","99,9999,9,9",,,"0,1,99,9","0,1,99,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0138,1","120,N,+0062,1",,"9,9,999,9,+004,1",,"SYN004BUFR",
"42176099999","2023-01-06T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0118,1","+0077,1","10218,1",,,,,,"03,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,99999,9,99,9,99,9","240,M,+0122,1",,,"9,9,999,9,+005,1",,"SYN05842176 32996 33202 10118 20077 40218 83030 333 10122 58005=",
"42176099999","2023-01-07T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","270,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0124,1","+0070,1","10189,1",,,,,,"03,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,99999,9,99,9,99,9",,,,"9,9,999,9,-027,1",,"SYN05842176 32996 32702 10124 20070 40189 83030 333 10127 59027=",
"42176099999","2023-01-08T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","200,1,N,0010,1","99999,9,9,N","000200,1,9,9","+0062,1","+0039,1","10190,1",,"0,1,02,1","0,1,02,1",,,,,,,"240,M,+0127,1","240,N,+0038,1",,"9,9,999,9,-038,1","10,1","SYN07442176 31992 02002 10062 20039 40190 71000 333 10127 20038 59038 555 10000=",
"42176099999","2023-01-08T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","230,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0138,1","+0095,1","10167,1",,,,,,"03,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,99999,9,99,9,99,9","240,M,+0142,1",,,"9,9,999,9,-021,1",,"SYN05842176 32996 32302 10138 20095 40167 83030 333 10142 59021=",
"42176099999","2023-01-09T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","000200,1,9,9","+0080,1","+0063,1","10211,1",,"0,1,02,1","0,1,02,1",,,,,,,"240,M,+0142,1","240,N,+0052,1",,,"10,1","SYN06842176 31992 00502 10080 20063 40211 71000 333 10142 20052 555 10000=",
"42176099999","2023-01-09T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0132,1","+0093,1","10179,1",,,,,,"04,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,99999,9,99,9,99,9","240,M,+0135,1",,,"9,9,999,9,+012,1",,"SYN05842176 32996 43202 10132 20093 40179 84030 333 10135 58012=",
"42176099999","2023-01-10T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","000500,1,9,9","+0086,1","+0073,1","10202,1",,"4,1,02,1","4,1,02,1",,,,,,,"240,M,+0135,1","240,N,+0072,1",,"9,9,999,9,-007,1","45,1","SYN07442176 31993 03202 10086 20073 40202 74544 333 10135 20072 59007 555 10000=",
"42176099999","2023-01-10T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0150,1","+0087,1","10162,1",,,,,,,,,,"240,M,+0155,1",,,"9,9,999,9,-016,1",,"SYN05242176 32996 03202 10150 20087 40162 333 10155 59016=",
"42176099999","2023-01-11T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","000500,1,9,9","+0086,1","+0073,1","10151,1",,"4,1,02,1","4,1,02,1",,,,,,,"240,M,+0155,1","240,N,+0078,1",,"9,9,999,9,-050,1","45,1","SYN07442176 31993 03202 10086 20073 40151 74544 333 10155 20078 59050 555 10000=",
"42176099999","2023-01-11T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","340,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0158,1","+0105,1","10101,1",,,,,,,,,,"240,M,+0161,1",,,"9,9,999,9,-059,1",,"SYN05242176 32996 03402 10158 20105 40101 333 10161 59059=",
"42176099999","2023-01-12T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","340,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0184,1","+0123,1","10084,1",,,,,,"03,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,99999,9,99,9,99,9","240,M,+0190,1",,,"9,9,999,9,-014,1",,"SYN05842176 32996 33402 10184 20123 40084 83030 333 10190 59014=",
"42176099999","2023-01-13T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0126,1","+0115,1","10118,1",,,,,,"04,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,99999,9,99,9,99,9","240,M,+0190,1","240,N,+0112,1",,"9,9,999,9,+003,1",,"SYN06442176 32996 40502 10126 20115 40118 84030 333 10190 20112 58003=",
"42176099999","2023-01-13T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0146,1","+0120,1","10122,1",,,,,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0149,1",,,"9,9,999,9,+034,1",,"SYN05842176 32996 62302 10146 20120 40122 86030 333 10149 58034=",
"42176099999","2023-01-14T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0114,1","+0090,1","10167,1",,,,,,"06,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9","240,M,+0149,1","240,N,+0102,1",,"9,9,999,9,+046,1",,"SYN07442176 32996 63202 10114 20090 40167 86030 333 10149 20102 58046 555 10000=",
"42176099999","2023-01-14T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0144,1","+0056,1","10146,1",,,,,,"04,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,99999,9,99,9,99,9","240,M,+0148,1",,,"9,9,999,9,+023,1",,"SYN05842176 32996 43202 10144 20056 40146 84030 333 10148 58023=",
"42176099999","2023-01-15T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","200,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0058,1","+0029,1","10159,1",,,,,,,,,,"240,M,+0148,1","240,N,+0052,1",,"9,9,999,9,-013,1",,"SYN06842176 32996 02002 10058 20029 40159 333 10148 20052 59013 555 10000=",
"42176099999","2023-01-15T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0146,1","-0001,1","10126,1",,,,,,,,,,"240,M,+0148,1",,,"9,9,999,9,-019,1",,"SYN05242176 32996 02502 10146 21001 40126 333 10148 59019=",
