"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","ME1","MW1","REM","EQD"
"43278099999","2023-01-02T15:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0258,1","+0216,1","10164,1",,,,,,"02,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10157,1","9,9,999,9,+004,1",,,"SYN05843278 32596 30502 10258 20216 30157 40164 82501 333 58004=",
"43278099999","2023-01-03T00:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","004000,1,9,9","+0232,1","+0220,1","10152,1",,,,,,"03,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,10145,1","9,9,999,9,+012,1",,,"SYN05843278 32596 40000 10232 20220 30145 40152 83501 333 58012=",
"43278099999","2023-01-03T03:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","320,1,N,0015,1","22000,1,9,N","010000,1,9,9","+0258,1","+0225,1","10169,1",,,,,,"01,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,01,1,99,9,00800,1,99,9,99,9","240,M,+0308,1","240,N,+0229,1","99999,9,10162,1","9,9,999,9,+003,1",,,"SYN08043278 32597 33203 10258 20225 30162 40169 81501 333 10308 20229 58003 555 10000=",
"43278099999","2023-01-03T06:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","070,1,N,0015,1","22000,1,9,N","010000,1,9,9","+0294,1","+0210,1","10168,1",,,,,,"03,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,10161,1","9,9,999,9,+000,1",,,"SYN05843278 32597 40703 10294 20210 30161 40168 83501 333 58000=",
"43278099999","2023-01-03T09:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","070,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0284,1","+0212,1","10143,1",,,,,,"04,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","05,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,10136,1","9,9,999,9,+004,1",,,"SYN05843278 32597 50703 10284 20212 30136 40143 84501 333 58004=",
"43278099999","2023-01-03T12:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","070,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0274,1","+0219,1","10143,1",,,,,,"04,1,+00800,1,06,1","99,9,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,10136,1","9,9,999,9,+002,1",,,"SYN06443278 32597 60703 10274 20219 30136 40143 84570 333 10300 58002=",
"43278099999","2023-01-03T15:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0260,1","+0215,1","10156,1",,,,,,"02,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10149,1","9,9,999,9,-008,1",,,"SYN05843278 32596 40502 10260 20215 30149 40156 82501 333 59008=",
"43278099999","2023-01-04T00:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","004000,1,9,9","+0238,1","+0214,1","10147,1",,,,,,"01,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,01,1,99,9,00800,1,99,9,99,9",,,"99999,9,10140,1","9,9,999,9,-005,1",,,"SYN05843278 32596 30000 10238 20214 30140 40147 81501 333 59005=",
"43278099999","2023-01-04T03:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","004000,1,9,9","+0254,1","+0224,1","10169,1",,"0,1,02,1","0,1,02,1",,,"03,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0300,1","240,N,+0229,1","99999,9,10162,1","9,9,999,9,+000,1",,"10,1","SYN08643278 31596 40000 10254 20224 30162 40169 71000 83501 333 10300 20229 58000 555 10000=",
"43278099999","2023-01-04T06:00:00","4","13.0666666","80.2","7.0","NUMGAMBAKKAM, IN","FM-12","99999","V020","140,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0293,1","+0214,1","10162,1",,,,,,"04,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","05,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,10155,1","9,9,999,9,-006,1",,,"SYN05843278 32597 51403 10293 20214 30155 40162 84501 333 59006=",
