"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43302599999","2023-01-01T07:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","040,1,N,0036,1","99999,9,9,Y","009900,5,9,9","+0270,1","+0130,1","99999,9",,,,,,,,,"10210,1,99999,9",,,,"MET051METAR VOBG 010700Z 04007KT CAVOK 27/13 Q1021 NOSIG=",
"43302599999","2023-01-01T07:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","030,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0140,1","99999,9",,,,,,,,,"10200,1,99999,9",,,,"MET051METAR VOBG 010730Z 03004KT CAVOK 28/14 Q1020 NOSIG=",
"43302599999","2023-01-01T08:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","030,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0130,1","99999,9",,,,,,,,,"10190,1,99999,9",,,,"MET051METAR VOBG 010800Z 03005KT CAVOK 28/13 Q1019 NOSIG=",
"43302599999","2023-01-01T08:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","010,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0140,1","99999,9",,,,,,,,,"10190,1,99999,9",,,,"MET051METAR VOBG 010830Z 01004KT CAVOK 28/14 Q1019 NOSIG=",
"43302599999","2023-01-01T09:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","070,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0130,1","99999,9",,,,,,,,,"10180,1,99999,9",,,,"MET051METAR VOBG 010900Z 07004KT CAVOK 28/13 Q1018 NOSIG=",
"43302599999","2023-01-01T09:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","050,1,N,0041,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0130,1","99999,9",,,,,,,,,"10180,1,99999,9",,,,"MET051METAR VOBG 010930Z 05008KT CAVOK 28/13 Q1018 NOSIG=",
"43302599999","2023-01-01T10:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","060,1,N,0041,1","99999,9,9,Y","009900,5,9,9","+0290,1","+0140,1","99999,9",,,,,,,,,"10170,1,99999,9",,,,"MET051METAR VOBG 011000Z 06008KT CAVOK 29/14 Q1017 NOSIG=",
"43302599999","2023-01-01T10:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","060,1,N,0041,1","99999,9,9,Y","009900,5,9,9","+0290,1","+0130,1","99999,9",,,,,,,,,"10170,1,99999,9",,,,"MET051METAR VOBG 011030Z 06008KT CAVOK 29/13 Q1017 NOSIG=",
"43302599999","2023-01-01T11:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","040,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0130,1","99999,9",,,,,,,,,"10180,1,99999,9",,,,"MET051METAR VOBG 011100Z 04005KT CAVOK 28/13 Q1018 NOSIG=",
"43302599999","2023-01-01T11:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","040,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,"10180,5,99999,9",,,,"MET051METAR VOBG 011130Z 04005KT CAVOK 28713 Q1018 NOSIG=","D01      0ADE693"
"43302599999","2023-01-01T12:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","050,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0260,1","+0130,1","99999,9",,,,,,,,,"10180,1,99999,9",,,,"MET051METAR VOBG 011200Z 05005KT CAVOK 26/13 Q1018 NOSIG=",
"43302599999","2023-01-01T13:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0031,1","22000,1,9,N","008000,1,9,9","+0240,1","+0140,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,,,"MET054METAR VOBG 011300Z 08006KT 8000 NSC 24/14 Q1019 NOSIG=",
"43302599999","2023-01-01T14:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","060,1,N,0026,1","22000,1,9,N","008000,1,9,9","+0230,1","+0140,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9",,,,"MET054METAR VOBG 011400Z 06005KT 8000 NSC 23/14 Q1020 NOSIG=",
"43302599999","2023-01-01T15:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0031,1","22000,1,9,N","008000,1,9,9","+0210,1","+0150,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,,"MET054METAR VOBG 011500Z 10006KT 8000 NSC 21/15 Q1021 NOSIG=",
"43302599999","2023-01-01T16:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0026,1","22000,1,9,N","008000,1,9,9","+0200,1","+0150,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,,"MET054METAR VOBG 011600Z 10005KT 8000 NSC 20/15 Q1021 NOSIG=",
"43302599999","2023-01-01T17:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0026,1","22000,1,9,N","008000,1,9,9","+0200,1","+0150,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,,"MET054METAR VOBG 011700Z 09005KT 8000 NSC 20/15 Q1021 NOSIG=",
"43302599999","2023-01-01T18:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0031,1","22000,1,9,N","008000,1,9,9","+0190,1","+0150,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,,"MET054METAR VOBG 011800Z 10006KT 8000 NSC 19/15 Q1021 NOSIG=",
"43302599999","2023-01-02T00:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0021,1","22000,1,9,N","006000,1,9,9","+0170,1","+0160,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,,,"MET062METAR VOBG 020000Z 10004KT 6000 NSC 17/16 Q1019 TEMPO 3000 BR=",
"43302599999","2023-01-02T00:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0021,1","22000,1,9,N","004000,1,9,9","+0170,1","+0150,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","10,1",,,"MET065METAR VOBG 020030Z 10004KT 4000 BR NSC 17/15 Q1020 TEMPO 3000 BR=",
"43302599999","2023-01-02T01:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","002500,1,9,9","+0160,1","+0150,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","10,1",,,"MET057METAR VOBG 020100Z 00000KT 2500 BR NSC 16/15 Q1020 NOSIG=",
"43302599999","2023-01-02T01:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","001500,1,9,9","+0160,1","+0150,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","10,1",,,"MET057METAR VOBG 020130Z 00000KT 1500 BR NSC 16/15 Q1020 NOSIG=",
