"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43128599999","2022-01-01T00:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0026,1","22000,1,9,N","004000,1,9,9","+0180,1","+0160,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","05,1",,,"MET057METAR VOHS 010030Z 08005KT 4000 HZ NSC 18/16 Q1020 NOSIG=",
"43128599999","2022-01-01T01:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0031,1","22000,1,9,N","003000,1,9,9","+0170,1","+0160,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9","10,1",,,"MET065METAR VOHS 010100Z 08006KT 3000 BR NSC 17/16 Q1021 TEMPO 1500 BR=",
"43128599999","2022-01-01T01:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0026,1","00610,1,C,N","001500,1,9,9","+0170,1","+0170,1","99999,9","09,U,9999,9","02,1,+00244,1,99,9","04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00244,1,99,9,99,9","10210,1,99999,9","10,1",,,"MET095METAR VOHS 010130Z 10005KT 1500 R09/1600 R27/1600 BR FEW008 SCT020 17/17 Q1021 TEMPO 0800 MIFG=",
"43128599999","2022-01-01T02:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0026,1","00610,1,C,N","001500,1,9,9","+0170,1","+0170,1","99999,9","09,U,9999,9","02,1,+00305,1,99,9","04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10220,1,99999,9","10,1",,,"MET085METAR VOHS 010200Z 10005KT 1500 R09/1600 R27/1600 BR FEW010 SCT020 17/17 Q1022 NOSIG=",
"43128599999","2022-01-01T02:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0026,1","99999,9,9,N","001500,1,9,9","+0180,1","+0180,1","99999,9","09,U,9999,9","04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10220,1,99999,9","10,1",,,"MET078METAR VOHS 010230Z 10005KT 1500 R09/1600 R27/1600 BR SCT020 18/18 Q1022 NOSIG=",
"43128599999","2022-01-01T03:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0026,1","99999,9,9,N","002500,1,9,9","+0190,1","+0180,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10230,1,99999,9","10,1",,,"MET065METAR VOHS 010300Z 08005KT 2500 BR SCT020 19/18 Q1023 BECMG 3000=",
"43128599999","2022-01-01T03:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","090,1,N,0041,1","99999,9,9,N","002500,1,9,9","+0190,1","+0180,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10230,1,99999,9","10,1",,,"MET060METAR VOHS 010330Z 09008KT 2500 BR SCT020 19/18 Q1023 NOSIG=",
"43128599999","2022-01-01T04:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0041,1","99999,9,9,N","002500,1,9,9","+0200,1","+0180,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10230,1,99999,9","10,1",,,"MET060METAR VOHS 010400Z 10008KT 2500 BR SCT020 20/18 Q1023 NOSIG=",
"43128599999","2022-01-01T04:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0031,1","99999,9,9,N","003000,1,9,9","+0210,1","+0180,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10230,1,99999,9","10,1",,,"MET060METAR VOHS 010430Z 08006KT 3000 BR SCT020 21/18 Q1023 NOSIG=",
"43128599999","2022-01-01T05:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0031,1","99999,9,9,N","003000,1,9,9","+0220,1","+0180,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10230,1,99999,9","10,1",,,"MET065METAR VOHS 010500Z 08006KT 3000 BR SCT020 22/18 Q1023 BECMG 5000=",
