"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GE1","GF1","KA1","KA2","MD1","MW1","REM","EQD"
"42176099999","2022-01-01T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0062,1","+0039,1","10226,1",,,,,,,,"240,M,+0189,1","240,N,+0044,1","9,9,999,9,-007,1",,"SYN06842176 32996 02302 10062 20039 40226 333 10189 20044 59007 555 10000=",
"42176099999","2022-01-01T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0160,1","+0146,1","10186,1",,,,,,,,"240,M,+0220,1",,"9,9,999,9,-017,1",,"SYN05242176 32996 02502 10160 20146 40186 333 10220 59017=",
"42176099999","2022-01-02T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","160,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0074,1","+0047,1","10110,1",,,,"03,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,99999,9,99,9,99,9","240,M,+0220,1","240,N,+0054,1","9,9,999,9,-015,1",,"SYN07442176 32996 31602 10074 20047 40110 83030 333 10220 20054 59015 555 10000=",
"42176099999","2022-01-02T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0168,1","+0154,1","10167,1",,,,,,,,"240,M,+0200,1",,"9,9,999,9,-018,1",,"SYN05242176 32996 02702 10168 20154 40167 333 10200 59018=",
"42176099999","2022-01-03T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","180,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0064,1","+0041,1","10193,1",,,,"03,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,99999,9,99,9,99,9","240,M,+0220,1","240,N,+0054,1","9,9,999,9,-017,1",,"SYN07442176 32996 31802 10064 20041 40193 83030 333 10220 20054 59017 555 10000=",
"42176099999","2022-01-03T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","250,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0172,1","+0159,1","10154,1",,,,"03,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,99999,9,99,9,99,9","240,M,+0210,1",,"9,9,999,9,-030,1",,"SYN05842176 32996 32502 10172 20159 40154 83030 333 10210 59030=",
"42176099999","2022-01-04T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","110,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0110,1","+0094,1","10174,1",,,,"07,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","07,99,1,07,1,99,9,99999,9,99,9,99,9","240,M,+0210,1","240,N,+0094,1","9,9,999,9,-014,1",,"SYN07442176 32996 71102 10110 20094 40174 87030 333 10210 20094 59014 555 10000=",
"42176099999","2022-01-04T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0196,1","+0173,1","10145,1",,,,"07,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","07,99,1,07,1,99,9,99999,9,99,9,99,9","240,M,+0228,1",,"9,9,999,9,-007,1",,"SYN05842176 32996 73202 10196 20173 40145 87030 333 10228 59007=",
"42176099999","2022-01-05T03:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0138,1","+0134,1","10172,1","24,0000,2,1","6,1,02,1","2,1,02,1","04,1,+00800,1,06,1","99,9,+99999,9,05,1","9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00800,1,99,9,99,9","240,M,+0228,1","240,N,+0118,1","9,9,999,9,+000,1","60,1","SYN09242176 21595 80502 10138 20134 40172 76062 8452/ 333 10228 20118 58000 6990/ 555 00000 10000=",
"42176099999","2022-01-05T12:00:00","4","28.8333333","76.5833333","222.0","ROHTAK, IN","FM-12","99999","V020","090,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0130,1","+0123,1","10133,1","09,0070,3,1",,,"07,1,+99999,9,03,1",,"9,AGL   ,+99999,+99999","07,99,1,07,1,99,9,99999,9,99,9,99,9","240,M,+0151,1",,"9,9,999,9,-012,1",,"SYN06442176 22996 70902 10130 20123 40133 87030 333 10151 59012 6007/=",
