"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","ED1","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"42361099999","2022-01-02T21:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000200,1,9,9","+0084,1","+0071,1","10196,1",,"4,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,-020,1","44,1","SYN05242361 31992 00000 10084 20071 40196 74440 333 59020=",
"42361099999","2022-01-03T00:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000200,1,9,9","+0074,1","+0061,1","10192,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-016,1","44,1","SYN05242361 31992 00000 10074 20061 40192 74444 333 59016=",
"42361099999","2022-01-03T03:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0080,1","+0074,1","10203,1",,"4,1,02,1","4,1,02,1",,,,,,,,"240,N,+0056,1",,,"9,9,999,9,-023,1","42,1","SYN06842361 31993 00000 10080 20074 40203 74244 333 20056 59023 555 10000=",
"42361099999","2022-01-03T06:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0174,1","+0103,1","10196,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-025,1","10,1","SYN05242361 31993 00000 10174 20103 40196 71044 333 59025=",
"42361099999","2022-01-03T09:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0224,1","+0058,1","10165,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-019,1","10,1","SYN05242361 31994 00000 10224 20058 40165 71044 333 59019=",
"42361099999","2022-01-03T12:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0186,1","+0117,1","10171,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-009,1","44,1","SYN05842361 31993 00000 10186 20117 40171 74444 333 10225 59009=",
"42361099999","2022-01-03T15:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000200,1,9,9","+0124,1","+0105,1","10189,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-018,1","46,1","SYN05242361 31992 00000 10124 20105 40189 74644 333 59018=",
"42361099999","2022-01-03T18:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000200,1,9,9","+0108,1","+0092,1","10190,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-020,1","44,1","SYN05242361 31992 00000 10108 20092 40190 74444 333 59020=",
"42361099999","2022-01-03T21:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000200,1,9,9","+0098,1","+0086,1","10183,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-012,1","44,1","SYN05242361 31992 00000 10098 20086 40183 74444 333 59012=",
"42361099999","2022-01-04T00:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000200,1,9,9","+0080,1","+0067,1","10171,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-020,1","46,1","SYN05242361 31992 00000 10080 20067 40171 74644 333 59020=",
"42361099999","2022-01-04T03:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0094,1","+0082,1","10200,1",,"4,1,02,1","4,1,02,1",,,,,,,,"240,N,+0060,1",,,"9,9,999,9,-001,1","42,1","SYN06842361 31993 00000 10094 20082 40200 74244 333 20060 59001 555 10000=",
"42361099999","2022-01-04T06:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","001000,1,9,9","+0210,2","+0085,1","10189,1",,"4,1,02,1","4,1,02,1",,"02,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,06000,1,99,9,99,9",,,,"9,9,999,9,-004,1","10,1","SYN06442361 31994 20000 10210 20085 40189 71044 80001 333 59004 82070=",
"42361099999","2022-01-04T09:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0244,1","+0084,1","10156,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,-007,1","05,1","SYN05242361 31994 00000 10244 20084 40156 70544 333 59007=",
"42361099999","2022-01-04T12:00:00","4","26.293336","78.227753","188.06","GWALIOR, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0200,1","+0130,1","10158,1",,"4,1,02,1","4,1,02,1",,,,,,,,"240,M,+0254,1",,,"9,9,999,9,-011,1","05,1","SYN05842361 31994 00000 10200 20130 40158 70544 333 10254 59011=",
