"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","OC1","REM","EQD"
"43181099999","2022-01-01T00:00:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0216,1","+0203,1","10174,1",,"1,1,02,1","1,1,02,1",,,"02,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10146,1","9,9,999,9,+007,1","10,1",,,"SYN06443181 31595 30000 10216 20203 30146 40174 71011 82501 333 58007=",
"43181099999","2022-01-01T00:00:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","001200,1,9,9","+0220,1","+0200,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10170,1,99999,9",,"10,1",,,"MET060METAR VOBZ 010000Z 00000KT 1200 BR FEW020 22/20 Q1017 NOSIG=",
"43181099999","2022-01-01T00:30:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","001200,1,9,9","+0210,1","+0210,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10170,1,99999,9",,"10,1",,,"MET060METAR VOBZ 010030Z 00000KT 1200 BR FEW020 21/21 Q1017 NOSIG=",
"43181099999","2022-01-01T01:00:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","001500,1,9,9","+0210,1","+0210,1","99999,9",,,,,,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10180,1,99999,9",,"10,1",,,"MET060METAR VOBZ 010100Z 00000KT 1500 BR FEW020 21/21 Q1018 NOSIG=",
"43181099999","2022-01-01T01:30:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-15","99999","V020","060,1,N,0010,1","22000,1,9,N","002500,1,9,9","+0210,1","+0190,1","99999,9",,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10180,1,99999,9",,"05,1",,,"MET065METAR VOBZ 010130Z 06002KT 2500 HZ NSC 21/19 Q1018 BECMG 4000 HZ=",
"43181099999","2022-01-01T02:00:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-15","99999","V020","050,1,N,0010,1","22000,1,9,N","003000,1,9,9","+0220,1","+0190,1","99999,9",,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10180,1,99999,9",,"05,1",,,"MET065METAR VOBZ 010200Z 05002KT 3000 HZ NSC 22/19 Q1018 BECMG 4000 HZ=",
"43181099999","2022-01-01T02:30:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-15","99999","V020","050,1,N,0021,1","22000,1,9,N","003000,1,9,9","+0230,1","+0200,1","99999,9",,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10190,1,99999,9",,"05,1",,,"MET065METAR VOBZ 010230Z 05004KT 3000 HZ NSC 23/20 Q1019 BECMG 4000 HZ=",
"43181099999","2022-01-01T03:00:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0216,1","+0203,1","10174,1",,"1,1,02,1","1,1,02,1",,,,,,,,"03,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,10146,1","9,9,999,9,+007,1","10,1",,,"SYN06443181 31595 30000 10216 20203 30146 40174 71011 82501 333 58007=",
"43181099999","2022-01-01T03:00:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-15","99999","V020","050,1,N,0021,1","22000,1,9,N","003500,1,9,9","+0230,1","+0200,1","99999,9",,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10190,1,99999,9",,"05,1",,,"MET065METAR VOBZ 010300Z 05004KT 3500 HZ NSC 23/20 Q1019 BECMG 4000 HZ=",
"43181099999","2022-01-01T03:30:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-15","99999","V020","070,1,N,0026,1","22000,1,9,N","004000,1,9,9","+0240,1","+0200,1","99999,9",,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10190,1,99999,9",,"05,1",,,"MET057METAR VOBZ 010330Z 07005KT 4000 HZ NSC 24/20 Q1019 NOSIG=",
"43181099999","2022-01-01T04:00:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-15","99999","V020","090,1,N,0036,1","22000,1,9,N","004000,1,9,9","+0260,1","+0200,1","99999,9",,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10190,1,99999,9",,"05,1",,,"MET057METAR VOBZ 010400Z 09007KT 4000 HZ NSC 26/20 Q1019 NOSIG=",
"43181099999","2022-01-01T04:30:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-15","99999","V020","090,1,N,0036,1","22000,1,9,N","005000,1,9,9","+0270,1","+0200,1","99999,9",,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10190,1,99999,9",,"05,1",,,"MET057METAR VOBZ 010430Z 09007KT 5000 HZ NSC 27/20 Q1019 NOSIG=",
"43181099999","2022-01-01T05:00:00","4","16.530433","80.796847","24.99","VIJAYAWADA, IN","FM-15","99999","V020","090,1,N,0036,1","22000,1,9,N","005000,1,9,9","+0270,1","+0200,1","99999,9",,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,"10190,1,99999,9",,"05,1",,,"MET057METAR VOBZ 010500Z 09007KT 5000 HZ NSC 27/20 Q1019 NOSIG=",
