"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","ME1","MW1","REM","EQD"
"43331099999","2022-01-01T00:00:00","4","11.9666666","79.8166666","38.0","M.O. PONDICHERRY, IN","FM-12","99999","V020","340,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0240,1","+0240,1","10142,1","21,0220,3,1","6,1,02,1","2,1,02,1",,,"04,1,+00800,1,07,1","99,9,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,10099,1","9,9,999,9,+005,1",,"02,1","SYN07043331 21596 83402 10240 20240 30099 40142 70262 8467/ 333 58005 6022/=",
"43331099999","2022-01-01T03:00:00","4","11.9666666","79.8166666","38.0","M.O. PONDICHERRY, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0252,1","+0240,1","10168,1","24,0220,3,1",,,,,"03,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,03,1,99,9,00800,1,99,9,99,9","240,M,+0274,1","240,N,+0232,1","99999,9,10125,1","9,9,999,9,+004,1",,,"SYN09243331 22597 40502 10252 20240 30125 40168 83501 333 10274 20232 58004 6022/ 555 00219 10022=",
"43331099999","2022-01-01T06:00:00","4","11.9666666","79.8166666","38.0","M.O. PONDICHERRY, IN","FM-12","99999","V020","050,1,N,0015,1","99999,9,9,N","010000,1,9,9","+0278,1","+0246,1","10164,1","03,0002,3,1","5,1,02,1","1,1,02,1",,,"04,1,+00800,1,07,1","99,9,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,10121,1","9,9,999,9,+002,1",,"02,1","SYN07043331 21597 80503 10278 20246 30121 40164 70251 8467/ 333 58002 6992/=",
"43331099999","2022-01-01T09:00:00","4","11.9666666","79.8166666","38.0","M.O. PONDICHERRY, IN","FM-12","99999","V020","050,1,N,0021,1","99999,9,9,N","010000,1,9,9","+0294,1","+0248,1","10134,1","06,0002,3,1",,,,,"03,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,10091,1","9,9,999,9,+001,1",,,"SYN06443331 22597 60504 10294 20248 30091 40134 83531 333 58001 6992/=",
"43331099999","2022-01-01T12:00:00","4","11.9666666","79.8166666","38.0","M.O. PONDICHERRY, IN","FM-12","99999","V020","050,1,N,0021,1","99999,9,9,N","010000,1,9,9","+0270,1","+0241,1","10135,1","09,0002,3,1",,,,,"02,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00800,1,99,9,99,9","240,M,+0294,1",,"99999,9,10092,1","9,9,999,9,-001,1",,,"SYN07043331 22597 60504 10270 20241 30092 40135 82532 333 10294 59001 6992/=",
"43331099999","2022-01-01T15:00:00","4","11.9666666","79.8166666","38.0","M.O. PONDICHERRY, IN","FM-12","99999","V020","050,1,N,0015,1","99999,9,9,N","004000,1,9,9","+0264,1","+0235,1","10161,1","12,0002,3,1",,,,,"04,1,+00800,1,07,1","99,9,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,10118,1","9,9,999,9,-002,1",,,"SYN06443331 22596 80503 10264 20235 30118 40161 8467/ 333 59002 6992/=",
"43331099999","2022-01-01T18:00:00","4","11.9666666","79.8166666","38.0","M.O. PONDICHERRY, IN","FM-12","99999","V020","020,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0254,1","+0233,1","10160,1","15,0005,3,1","5,1,02,1","2,1,02,1",,,"04,1,+00800,1,07,1","99,9,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","08,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,10117,1","9,9,999,9,+002,1",,"02,1","SYN07043331 21596 80202 10254 20233 30117 40160 70252 8467/ 333 58002 6995/=",
"43331099999","2022-01-01T21:00:00","4","11.9666666","79.8166666","38.0","M.O. PONDICHERRY, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0238,1","+0232,1","10142,1","18,0005,3,1",,,,,"03,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","07,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,10099,1","9,9,999,9,+005,1",,,"SYN06443331 22596 70502 10238 20232 30099 40142 83531 333 58005 6995/=",
"43331099999","2022-01-02T00:00:00","4","11.9666666","79.8166666","38.0","M.O. PONDICHERRY, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0234,1","+0228,1","10143,1","21,0005,3,1",,,,,"03,1,+00800,1,06,1","99,9,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00800,1,99,9,99,9",,,"99999,9,10100,1","9,9,999,9,+001,1",,,"SYN06443331 22596 60502 10234 20228 30100 40143 83531 333 58001 6995/=",
"43331099999","2022-01-02T03:00:00","4","11.9666666","79.8166666","38.0","M.O. PONDICHERRY, IN","FM-12","99999","V020","340,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0246,1","+0231,1","10166,1","24,0005,3,1","2,1,02,1","2,1,02,1",,,"04,1,+00800,1,06,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,00800,1,99,9,99,9","240,M,+0294,1","240,N,+0226,1","99999,9,10122,1","9,9,999,9,-003,1",,"05,1","SYN09843331 21596 63402 10246 20231 30122 40166 70522 84501 333 10294 20226 59003 6995/ 555 00005 10022=",
