"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"43125099999","2022-01-12T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","340,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0240,1","+0172,1","10102,1",,,,,"03,2,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,2,03,2,99,9,99999,9,99,9,99,9","240,M,+0280,1",,"99999,9,09370,1","9,9,999,9,+000,1",,"SYN06443125 32997 13402 10240 20172 39370 40102 83000 333 10280 58000=",
"43125099999","2022-01-13T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","140,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0260,1","+0144,1","10089,1",,,,,"05,2,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,2,05,2,99,9,99999,9,99,9,99,9","240,M,+0280,1",,"99999,9,09362,1","9,9,999,9,-008,1",,"SYN06443125 32997 11402 10260 20144 39362 40089 85000 333 10280 59008=",
"43125099999","2022-01-14T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0200,1","+0172,1","10147,1",,,,,,,,,,"240,M,+0280,1","240,N,+0145,1","99999,9,09402,1","9,9,999,9,-008,1",,"SYN07443125 32997 01402 10200 20172 39402 40147 333 10280 20145 59008 555 10000=",
"43125099999","2022-01-14T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","300,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0246,1","+0134,1","10091,1",,,,,"02,2,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,2,02,2,99,9,99999,9,99,9,99,9","240,M,+0275,1",,"99999,9,09362,1","9,9,999,9,+000,1",,"SYN06443125 32997 13002 10246 20134 39362 40091 82000 333 10275 58000=",
"43125099999","2022-01-15T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","020,1,N,0010,1","22000,1,9,N","010000,1,9,9","+9999,9","+0144,1","10093,1",,,,,"02,2,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,2,02,2,99,9,99999,9,99,9,99,9","240,M,+0268,1",,"99999,9,09364,1","9,9,999,9,+002,1",,"SYN05843125 32997 10202 20144 39364 40093 82000 333 10268 58002=",
"43125099999","2022-01-17T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0188,1","+0169,1","10191,1",,,,,"03,2,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,2,03,2,99,9,99999,9,99,9,99,9","240,M,+0242,1","240,N,+0162,1","99999,9,09440,1","9,9,999,9,+018,1",,"SYN08043125 32997 10502 10188 20169 39440 40191 83000 333 10242 20162 58018 555 10000=",
"43125099999","2022-01-17T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0246,1","+0138,1","10093,1",,,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0270,1",,"99999,9,09364,1","9,9,999,9,+000,1",,"SYN06443125 32997 10502 10246 20138 39364 40093 80000 333 10270 58000=",
"43125099999","2022-01-18T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","180,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0200,1","+0168,1","10188,1",,,,,,,,"9,AGL   ,+99999,+99999","01,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0270,1","240,N,+0135,1","99999,9,09440,1","9,9,999,9,+000,1",,"SYN07443125 32997 11802 10200 20168 39440 40188 333 10270 20135 58000 555 10000=",
"43125099999","2022-01-19T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","360,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0200,1","+0155,1","10169,1",,,,,,,,,,"240,M,+0285,1","240,N,+0120,1","99999,9,09422,1","9,9,999,9,-018,1",,"SYN07443125 32997 03602 10200 20155 39422 40169 333 10285 20120 59018 555 10000=",
"43125099999","2022-01-20T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0184,1","+0122,1","10160,1",,,,,,,,"9,AGL   ,+99999,+99999","01,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0284,1","240,N,+0105,1","99999,9,09410,1","9,9,999,9,-012,1",,"SYN07443125 32997 10502 10184 20122 39410 40160 333 10284 20105 59012 555 10000=",
"43125099999","2022-01-20T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","300,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0274,1","+0099,1","10101,1",,,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0300,1",,"99999,9,09378,1","9,9,999,9,-012,1",,"SYN06443125 32997 13002 10274 20099 39378 40101 80000 333 10300 59012=",
"43125099999","2022-01-22T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0198,1","+0107,1","10132,1",,,,,,,,,,"240,M,+0306,1","240,N,+0124,1","99999,9,09388,1","9,9,999,9,-022,1",,"SYN07443125 32997 01802 10198 20107 39388 40132 333 10306 20124 59022 555 10000=",
"43125099999","2022-01-22T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","270,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0278,1","+0090,1","10060,1",,,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0302,1",,"99999,9,09340,1","9,9,999,9,-022,1",,"SYN06443125 32997 12702 10278 20090 39340 40060 80000 333 10302 59022=",
"43125099999","2022-01-23T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","270,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0252,1","+0113,1","10067,1",,,,,"03,2,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,2,03,2,99,9,99999,9,99,9,99,9","240,M,+0280,1",,"99999,9,09342,1","9,9,999,9,+002,1",,"SYN06443125 32997 12702 10252 20113 39342 40067 83000 333 10280 58002=",
"43125099999","2022-01-24T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","020,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0230,1","+0101,1","10090,1",,,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0254,1",,"99999,9,09356,1","9,9,999,9,+014,1",,"SYN06443125 32997 10202 10230 20101 39356 40090 80000 333 10254 58014=",
"43125099999","2022-01-25T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0162,1","+0092,1","10147,1",,,,,,,,,,"240,M,+0254,1","240,N,+0135,1","99999,9,09394,1","9,9,999,9,+006,1",,"SYN07443125 32997 00502 10162 20092 39394 40147 333 10254 20135 58006 555 10000=",
"43125099999","2022-01-26T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","300,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0166,1","+0101,1","10155,1",,,,,,,,"9,AGL   ,+99999,+99999","01,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0270,1","240,N,+0140,1","99999,9,09402,1","9,9,999,9,+008,1",,"SYN07443125 32997 13002 10166 20101 39402 40155 333 10270 20140 58008 555 10000=",
"43125099999","2022-01-26T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","360,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0242,1","+0113,1","10101,1",,,,,"01,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,99999,9,99,9,99,9","240,M,+0262,1",,"99999,9,09370,1","9,9,999,9,+010,1",,"SYN06443125 32997 13602 10242 20113 39370 40101 81000 333 10262 58010=",
"43125099999","2022-01-27T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0174,1","+0102,1","10164,1",,,,,"02,2,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,2,02,2,99,9,99999,9,99,9,99,9","240,M,+0262,1","240,N,+0148,1","99999,9,09412,1","9,9,999,9,+010,1",,"SYN08043125 32997 10502 10174 20102 39412 40164 82000 333 10262 20148 58010 555 10000=",
"43125099999","2022-01-28T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","140,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0170,1","+0085,1","10177,1",,,,,,,,"9,AGL   ,+99999,+99999","01,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0256,1","240,N,+0095,1","99999,9,09422,1","9,9,999,9,+010,1",,"SYN07443125 32997 11402 10170 20085 39422 40177 333 10256 20095 58010 555 10000=",
"43125099999","2022-01-28T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","020,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0234,1","+0073,1","10123,1",,,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0264,1",,"99999,9,09390,1","9,9,999,9,+008,1",,"SYN06443125 32997 10202 10234 20073 39390 40123 80000 333 10264 58008=",
"43125099999","2022-01-29T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","140,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0172,1","+0064,1","10186,1",,,,,,,,"9,AGL   ,+99999,+99999","01,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0264,1","240,N,+0100,1","99999,9,09432,1","9,9,999,9,+010,1",,"SYN07443125 32997 11402 10172 20064 39432 40186 333 10264 20100 58010 555 10000=",
"43125099999","2022-01-29T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0252,1","+0064,1","10130,1",,,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0280,1",,"99999,9,09400,1","9,9,999,9,+010,1",,"SYN06443125 32997 10502 10252 20064 39400 40130 80000 333 10280 58010=",
"43125099999","2022-01-30T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0200,1","+0042,1","10167,1",,,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,00,1,99,9,99999,9,99,9,99,9","240,M,+0280,1","240,N,+0086,1","99999,9,09420,1","9,9,999,9,-012,1",,"SYN08043125 32997 01402 10200 20042 39420 40167 80000 333 10280 20086 59012 555 10000=",
"43125099999","2022-01-30T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","300,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0278,1","+0085,1","10101,1",,,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0306,1",,"99999,9,09378,1","9,9,999,9,-022,1",,"SYN06443125 32997 13002 10278 20085 39378 40101 80000 333 10306 59022=",
"43125099999","2022-01-31T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0182,1","+0082,1","10150,1",,,,,,,,,,"240,M,+0306,1","240,N,+0096,1","99999,9,09402,1","9,9,999,9,-018,1",,"SYN07443125 32997 00502 10182 20082 39402 40150 333 10306 20096 59018 555 10000=",
"43125099999","2022-01-31T12:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","300,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0278,1","+0109,1","10084,1",,,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","01,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0310,1",,"99999,9,09362,1","9,9,999,9,-016,1",,"SYN06443125 32997 13002 10278 20109 39362 40084 80000 333 10310 59016=",
"43125099999","2022-02-01T03:00:00","4","17.9166666","77.5333333","663.0","BIDAR, IN","FM-12","99999","V020","300,1,N,0010,1","22000,1,9,N","010000,1,9,9","+0188,1","+0127,1","10148,1",,,,,,,,"9,AGL   ,+99999,+99999","01,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0310,1","240,N,+0110,1","99999,9,09400,1","9,9,999,9,-002,1",,"SYN06443125 32997 13002 10188 20127 39400 40148 333 10310 20110 59002=",
