"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MD1","MW1","REM","EQD"
"42139099999","2022-01-01T03:00:00","4","29.0166666","77.7166667","222.0","MEERUT, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0082,1","+0065,1","10234,1",,"0,1,02,1","0,1,02,1",,,,,,"240,M,+0224,1","240,N,+0049,1","9,9,999,9,-009,1","10,1","SYN07442139 31994 00000 10082 20065 40234 71000 333 10224 20049 59009 555 10000=",
"42139099999","2022-01-01T06:00:00","4","29.0166666","77.7166667","222.0","MEERUT, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0172,1","+0091,1","10229,1",,"0,1,02,1","0,1,02,1",,,,,,,,"9,9,999,9,-010,1","05,1","SYN05242139 31995 00000 10172 20091 40229 70500 333 59010=",
"42139099999","2022-01-01T09:00:00","4","29.0166666","77.7166667","222.0","MEERUT, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0210,1","+0059,1","10199,1",,"0,1,02,1","0,1,02,1",,,,,,,,"9,9,999,9,-007,1","05,1","SYN05242139 31995 00000 10210 20059 40199 70500 333 59007=",
"42139099999","2022-01-01T12:00:00","4","29.0166666","77.7166667","222.0","MEERUT, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0160,1","+0103,1","10196,1",,"0,1,02,1","0,1,02,1",,,,,,,,"9,9,999,9,-012,1","05,1","SYN05842139 31995 00000 10160 20103 40196 70500 333 10218 59012=",
"42139099999","2022-01-02T03:00:00","4","29.0166666","77.7166667","222.0","MEERUT, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","001000,1,9,9","+0080,1","+0067,1","10220,1",,"0,1,02,1","0,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0218,1","240,N,+0042,1","9,9,999,9,-014,1","10,1","SYN08042139 31994 30000 10080 20067 40220 71000 80001 333 10218 20042 59014 555 10000=","Q01    003SCCGA1"
"42139099999","2022-01-02T06:00:00","4","29.0166666","77.7166667","222.0","MEERUT, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0176,1","+0078,1","10214,1",,"0,1,02,1","0,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,00,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,-015,1","05,1","SYN05842139 31995 30000 10176 20078 40214 70500 80001 333 59015=","Q01    003SCCGA1"
"42139099999","2022-01-02T09:00:00","4","29.0166666","77.7166667","222.0","MEERUT, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0220,1","+0089,1","10184,1",,"1,1,02,1","0,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","04,99,1,00,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,-015,1","05,1","SYN05842139 31995 40000 10220 20089 40184 70510 80001 333 59015=","Q01    003SCCGA1"
"42139099999","2022-01-02T12:00:00","4","29.0166666","77.7166667","222.0","MEERUT, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0170,1","+0102,1","10176,1",,"1,1,02,1","1,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,-018,1","05,1","SYN06442139 31995 20000 10170 20102 40176 70511 80001 333 10224 59018=","Q01    003SCCGA1"
"42139099999","2022-01-03T03:00:00","4","29.0166666","77.7166667","222.0","MEERUT, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","001000,1,9,9","+0086,1","+0069,1","10201,1",,"1,1,02,1","0,1,02,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0224,1","240,N,+0049,1","9,9,999,9,-019,1","10,1","SYN08042139 31994 20000 10086 20069 40201 71010 80001 333 10224 20049 59019 555 10000=","Q01    003SCCGA1"
"42139099999","2022-01-03T06:00:00","4","29.0166666","77.7166667","222.0","MEERUT, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0190,1","+0072,1","10189,1",,"0,1,02,1","0,1,02,1",,,,,,,,"9,9,999,9,-024,1","05,1","SYN05242139 31995 00000 10190 20072 40189 70500 333 59024=",
