variant,score_col,threshold,min_precision,min_f1,mean_f1,max_fault_to_weather
residual_only,i9_weather_residual_score,0.03,0.2699968384445147,0.423191278493558,0.47085489850603823,0.25
residual_only,i9_weather_residual_score,0.05,0.3794025858225591,0.5462130937098845,0.5924613855646197,0.18269230769230768
residual_only,i9_weather_residual_score,0.07,0.4641488779419814,0.6281481481481481,0.6696296296296296,0.1346153846153846
residual_only,i9_weather_residual_score,0.09,0.529338327091136,0.6852525252525252,0.7241523670439334,0.11057692307692307
residual_only,i9_weather_residual_score,0.11,0.5910676901605024,0.7346053772766695,0.7522399271320586,0.09615384615384616
residual_only,i9_weather_residual_score,0.13,0.6353383458646616,0.7671357240127099,0.774125801920518,0.09134615384615384
residual_only,i9_weather_residual_score,0.15,0.6757405924739792,0.775330396475771,0.7854031812727582,0.08653846153846154
residual_only,i9_weather_residual_score,0.17,0.7051926298157454,0.7678571428571429,0.791282224065243,0.08173076923076923
residual_only,i9_weather_residual_score,0.19,0.7340889276373147,0.7798165137614679,0.8067399400490507,0.08173076923076923
residual_only,i9_weather_residual_score,0.21,0.7603978300180831,0.7570093457943925,0.8034667749689497,0.08173076923076923
residual_only,i9_weather_residual_score,0.23,0.7794253938832252,0.7488151658767772,0.8052477468728149,0.07692307692307693
residual_only,i9_weather_residual_score,0.25,0.8032473734479465,0.7368421052631579,0.8064418859649123,0.07211538461538461
residual_only,i9_weather_residual_score,0.27,0.8179162609542356,0.7378640776699029,0.8110373019928462,0.0625
residual_only,i9_weather_residual_score,0.29000000000000004,0.8408408408408409,0.7378640776699029,0.8176499875529002,0.052884615384615384
residual_only,i9_weather_residual_score,0.31000000000000005,0.8500506585612969,0.7414634146341463,0.8218069761342774,0.052884615384615384
residual_only,i9_weather_residual_score,0.32999999999999996,0.8637770897832817,0.736318407960199,0.8225565981169073,0.04807692307692308
residual_only,i9_weather_residual_score,0.35,0.8751311647429171,0.7336683417085427,0.8235702059035594,0.038461538461538464
residual_only,i9_weather_residual_score,0.37,0.8834745762711864,0.7309644670050761,0.8244805824293404,0.028846153846153848
residual_only,i9_weather_residual_score,0.39,0.8977395048439182,0.717948717948718,0.82179344887447,0.02403846153846154
residual_only,i9_weather_residual_score,0.41000000000000003,0.9084967320261438,0.7083333333333334,0.8198283082077051,0.019230769230769232
residual_only,i9_weather_residual_score,0.43000000000000005,0.918412348401323,0.7015706806282722,0.8187628684040238,0.014423076923076924
residual_only,i9_weather_residual_score,0.44999999999999996,0.9234184239733629,0.6878306878306878,0.8129119617281961,0.010309278350515464
residual_only,i9_weather_residual_score,0.47,0.9335585585585585,0.6878306878306878,0.8146705966126749,0.010309278350515464
residual_only,i9_weather_residual_score,0.49,0.9388448471121178,0.6878306878306878,0.8160110158971207,0.010309278350515464
residual_only,i9_weather_residual_score,0.51,0.9441277080957811,0.6737967914438503,0.8100412528647822,0.010309278350515464
residual_only,i9_weather_residual_score,0.53,0.9472477064220184,0.6739130434782609,0.8103089572692164,0.009615384615384616
residual_only,i9_weather_residual_score,0.55,0.9493670886075949,0.6519337016574586,0.7995604214372253,0.009615384615384616
residual_only,i9_weather_residual_score,0.5700000000000001,0.9524913093858632,0.6368715083798883,0.7919380583374096,0.009615384615384616
residual_only,i9_weather_residual_score,0.5900000000000001,0.9567251461988304,0.6292134831460674,0.7879863712026633,0.009615384615384616
residual_only,i9_weather_residual_score,0.61,0.9610849056603774,0.6214689265536724,0.7842963459032162,0.009615384615384616
residual_only,i9_weather_residual_score,0.63,0.9643281807372176,0.6057142857142858,0.7760193365560928,0.009615384615384616
residual_only,i9_weather_residual_score,0.65,0.9664268585131894,0.5977011494252874,0.7710239783447468,0.004807692307692308
residual_only,i9_weather_residual_score,0.67,0.969770253929867,0.5895953757225434,0.7665623937436246,0.004807692307692308
residual_only,i9_weather_residual_score,0.6900000000000001,0.9696233292831106,0.5730994152046783,0.7570685755268675,0.004807692307692308
residual_only,i9_weather_residual_score,0.7100000000000001,0.9705882352941176,0.5389221556886228,0.7383775964944002,0.004807692307692308
residual_only,i9_weather_residual_score,0.7300000000000001,0.9763975155279503,0.5389221556886228,0.7378758573437154,0.0
residual_only,i9_weather_residual_score,0.75,0.9787234042553191,0.5212121212121212,0.7283094098883574,0.0
residual_only,i9_weather_residual_score,0.77,0.978562421185372,0.5030674846625767,0.7173200568570987,0.0
residual_only,i9_weather_residual_score,0.79,0.9821882951653944,0.46540880503144655,0.6980449691221127,0.0
residual_only,i9_weather_residual_score,0.81,0.9857881136950905,0.46540880503144655,0.6959709477494816,0.0
residual_only,i9_weather_residual_score,0.8300000000000001,0.9895697522816167,0.4358974358974359,0.6807535959974984,0.0
residual_only,i9_weather_residual_score,0.8500000000000001,0.9933510638297872,0.40522875816993464,0.662306686777275,0.0
residual_only,i9_weather_residual_score,0.87,0.994579945799458,0.39473684210526316,0.652986049854618,0.0
residual_only,i9_weather_residual_score,0.89,0.9944367176634215,0.39473684210526316,0.646489024067707,0.0
residual_only,i9_weather_residual_score,0.91,0.9956076134699854,0.35135135135135137,0.6126936705342875,0.0
residual_only,i9_weather_residual_score,0.93,0.9968701095461658,0.3401360544217687,0.5913643235071806,0.0
residual_only,i9_weather_residual_score,0.9500000000000001,0.998220640569395,0.3055555555555556,0.5437185443283004,0.0
residual_only,i9_weather_residual_score,0.97,1.0,0.2446043165467626,0.4708096209599485,0.0
full_residual_consensus,i9_weather_consensus_score,0.03,0.29634782608695653,0.45464247598719315,0.6140399879935966,0.19230769230769232
full_residual_consensus,i9_weather_consensus_score,0.05,0.41789577187807275,0.5847953216374269,0.701880419439403,0.1201923076923077
full_residual_consensus,i9_weather_consensus_score,0.07,0.5211786372007366,0.6786570743405276,0.7529649008066275,0.09615384615384616
full_residual_consensus,i9_weather_consensus_score,0.09,0.5997171145685997,0.7415828596414517,0.7717348260471409,0.08653846153846154
full_residual_consensus,i9_weather_consensus_score,0.11,0.6632653061224489,0.7871448532836516,0.7916306790690102,0.08173076923076923
full_residual_consensus,i9_weather_consensus_score,0.13,0.7152542372881356,0.7821782178217822,0.8021948078879978,0.08173076923076923
