scope,domain,metric,mean,ci_lower,ci_upper,seeds
confirmation,dwd_all,iteration9_precision,0.9274784342624302,0.9117647058823529,0.9576271186440678,3
confirmation,dwd_all,iteration9_point_f1,0.2841042778947791,0.22262118491921004,0.37919463087248323,3
confirmation,dwd_all,iteration9_event_f1,0.45274725274725275,0.3428571428571428,0.6153846153846154,3
confirmation,dwd_all,iteration9_weak_recall,0.4166666666666667,0.16666666666666666,0.6666666666666666,3
confirmation,dwd_all,iteration9_false_alarm,0.004783054321831228,0.003587290741373421,0.006149641270925865,3
confirmation,dwd_all,iteration9_weather_f1,0.9354301130951703,0.9279567248586181,0.940926024481107,3
confirmation,dwd_all,iteration9_fault_to_weather,0.01705078850641328,0.013824884792626729,0.02301255230125523,3
confirmation,dwd_all,iteration9_drift_episode_recall,0.16666666666666666,0.0,0.5,3
confirmation,dwd_holdout,iteration9_precision,0.9853968253968254,0.9761904761904762,1.0,3
confirmation,dwd_holdout,iteration9_point_f1,0.4615441293160126,0.4166666666666667,0.48520710059171596,3
confirmation,dwd_holdout,iteration9_event_f1,0.5051282051282051,0.4000000000000001,0.6153846153846153,3
confirmation,dwd_holdout,iteration9_weak_recall,0.4074074074074074,0.16666666666666666,0.5555555555555555,3
confirmation,dwd_holdout,iteration9_false_alarm,0.003416467372736591,0.0020498804236419544,0.006149641270925863,3
confirmation,dwd_holdout,iteration9_weather_f1,0.9351592938676324,0.9296875,0.9389067524115756,3
confirmation,dwd_holdout,iteration9_fault_to_weather,0.002178649237472767,0.0,0.006535947712418301,3
confirmation,dwd_holdout,iteration9_drift_episode_recall,0.0,0.0,0.0,3
discovery,dwd_all,iteration9_precision,0.9691228070175438,0.9473684210526315,1.0,3
discovery,dwd_all,iteration9_point_f1,0.2185153456245598,0.19315895372233402,0.24283305227655985,3
discovery,dwd_all,iteration9_event_f1,0.48888888888888893,0.4666666666666666,0.5294117647058824,3
discovery,dwd_all,iteration9_weak_recall,0.27777777777777773,0.25,0.3333333333333333,3
discovery,dwd_all,iteration9_false_alarm,0.0023720772619451043,0.001524906811250424,0.003049813622500848,3
discovery,dwd_all,iteration9_weather_f1,0.9003941741003926,0.8857065657930289,0.9172932330827067,3
discovery,dwd_all,iteration9_fault_to_weather,0.017012427199143216,0.011560693641618497,0.020134228187919462,3
discovery,dwd_all,iteration9_drift_episode_recall,0.16666666666666666,0.0,0.25,3
discovery,dwd_holdout,iteration9_precision,0.9761904761904763,0.9285714285714285,1.0,3
discovery,dwd_holdout,iteration9_point_f1,0.46210704607046066,0.3125,0.6933333333333334,3
discovery,dwd_holdout,iteration9_event_f1,0.6126984126984127,0.5714285714285715,0.6666666666666666,3
discovery,dwd_holdout,iteration9_weak_recall,0.38888888888888884,0.3333333333333333,0.5,3
discovery,dwd_holdout,iteration9_false_alarm,0.0020332090816672314,0.0,0.004066418163334463,3
discovery,dwd_holdout,iteration9_weather_f1,0.8961181078216301,0.8871128871128872,0.9118705035971223,3
discovery,dwd_holdout,iteration9_fault_to_weather,0.024323719886111293,0.012345679012345678,0.0425531914893617,3
discovery,dwd_holdout,iteration9_drift_episode_recall,0.0,0.0,0.0,2
