domain,slice,rows,accuracy,macro_f1
india,all_fault_rows,471,0.4713375796178344,0.46229963143914055
india,detected_fault_rows,179,0.7653631284916201,0.619974697641703
dwd,all_fault_rows,489,0.48466257668711654,0.5345463668163151
dwd,detected_fault_rows,62,0.8548387096774194,0.5333333333333333
