variant,score_col,threshold,min_precision,max_false_alarm,min_point_f1,mean_point_f1,min_event_f1,mean_event_f1,min_event_recall
residual_only,i9_fault_residual_score,0.08,0.022828154724159798,0.5754261766817491,0.04283164782867341,0.052391127388593715,0.05019815059445178,0.05451084000310825,0.95
residual_only,i9_fault_residual_score,0.09977777777777778,0.03431952662721893,0.45040321907401537,0.06111696522655427,0.07371868744136784,0.060000000000000005,0.0608641975308642,0.9
residual_only,i9_fault_residual_score,0.11955555555555555,0.052788844621513946,0.3573407202216067,0.08745874587458746,0.10207123578273897,0.07194244604316546,0.07410681624192172,0.9
residual_only,i9_fault_residual_score,0.13933333333333334,0.0794912559618442,0.28393351800554023,0.11947431302270012,0.12719747397166753,0.08035714285714285,0.08895905923344948,0.9
residual_only,i9_fault_residual_score,0.15911111111111112,0.1016597510373444,0.239612188365651,0.14202898550724638,0.14817498658078368,0.09375,0.10419984076433121,0.9
residual_only,i9_fault_residual_score,0.1788888888888889,0.13054830287206268,0.1883358656270349,0.16546762589928057,0.16938892560128674,0.09210526315789473,0.1119866975130133,0.7
residual_only,i9_fault_residual_score,0.19866666666666666,0.1597444089456869,0.1530729801479305,0.1875,0.19236932938856016,0.11111111111111113,0.1341581756428918,0.7
residual_only,i9_fault_residual_score,0.21844444444444444,0.18450184501845018,0.13143439133120732,0.19679633867276888,0.20592505105681455,0.1308411214953271,0.15452947163875264,0.7
residual_only,i9_fault_residual_score,0.23822222222222222,0.21008403361344538,0.11300151937622094,0.20551378446115287,0.2184976329713172,0.14285714285714285,0.1719872306464485,0.7
residual_only,i9_fault_residual_score,0.258,0.22705314009661837,0.09937722271383968,0.21390374331550802,0.22415885420139492,0.1590909090909091,0.19065656565656566,0.7
residual_only,i9_fault_residual_score,0.2777777777777778,0.23655913978494625,0.08735578448232682,0.21971830985915494,0.22564862861378798,0.175,0.20994897959183673,0.7
residual_only,i9_fault_residual_score,0.2975555555555556,0.2608695652173913,0.08014292154341911,0.22941176470588234,0.23301574150787074,0.19444444444444445,0.2276570048309179,0.7
residual_only,i9_fault_residual_score,0.31733333333333336,0.2785714285714286,0.07063711911357341,0.22560975609756098,0.22957134511464877,0.17910447761194026,0.23240938166311298,0.6
residual_only,i9_fault_residual_score,0.33711111111111114,0.3170731707317073,0.06371191135734074,0.22580645161290322,0.23593161697364404,0.1935483870967742,0.2574884792626728,0.6
residual_only,i9_fault_residual_score,0.3568888888888889,0.336283185840708,0.059556786703601115,0.2214765100671141,0.23451675666222155,0.20338983050847456,0.2715062360089543,0.6
residual_only,i9_fault_residual_score,0.3766666666666667,0.3711340206185567,0.05678670360110804,0.2206896551724138,0.23405616779239247,0.21052631578947367,0.3009153318077803,0.6
residual_only,i9_fault_residual_score,0.3964444444444445,0.4050632911392405,0.05678670360110804,0.2229965156794425,0.24053051590423738,0.21052631578947367,0.32748538011695905,0.6
residual_only,i9_fault_residual_score,0.41622222222222227,0.44285714285714284,0.05263157894736843,0.22302158273381295,0.24259693368900384,0.22222222222222218,0.3611111111111111,0.6
residual_only,i9_fault_residual_score,0.43600000000000005,0.5,0.04709141274238228,0.22388059701492538,0.24220849774117914,0.24,0.38470588235294123,0.6
residual_only,i9_fault_residual_score,0.45577777777777784,0.5471698113207547,0.044321329639889204,0.2222222222222222,0.2439236111111111,0.21276595744680854,0.3876329787234043,0.5
residual_only,i9_fault_residual_score,0.4755555555555556,0.5625,0.042936288088642666,0.2109375,0.23985610177865613,0.17777777777777776,0.37921146953405016,0.4
residual_only,i9_fault_residual_score,0.4953333333333334,0.6071428571428571,0.03878116343490305,0.21428571428571427,0.24314285714285716,0.19047619047619047,0.3952380952380952,0.4
residual_only,i9_fault_residual_score,0.5151111111111112,0.5882352941176471,0.0332409972299169,0.21862348178137653,0.231760720482525,0.21052631578947364,0.4052631578947368,0.4
residual_only,i9_fault_residual_score,0.534888888888889,0.5869565217391305,0.030470914127423827,0.22040816326530613,0.22270408163265307,0.2222222222222222,0.4269005847953216,0.4
residual_only,i9_fault_residual_score,0.5546666666666666,0.6428571428571429,0.02770083102493075,0.2066115702479339,0.2177125647849839,0.23529411764705882,0.45726970033296344,0.4
residual_only,i9_fault_residual_score,0.5744444444444444,0.6578947368421053,0.02770083102493075,0.2066115702479339,0.21106440581362212,0.23529411764705882,0.4576470588235294,0.4
residual_only,i9_fault_residual_score,0.5942222222222222,0.6857142857142857,0.02770083102493075,0.1991701244813278,0.20438855569044556,0.23529411764705882,0.47181372549019607,0.4
residual_only,i9_fault_residual_score,0.614,0.71875,0.026315789473684216,0.2,0.2017699115044248,0.24242424242424243,0.49898989898989904,0.4
residual_only,i9_fault_residual_score,0.6337777777777778,0.71875,0.02354570637119114,0.20168067226890757,0.20261024763887858,0.25806451612903225,0.506810035842294,0.4
residual_only,i9_fault_residual_score,0.6535555555555556,0.7419354838709677,0.02354570637119114,0.20253164556962025,0.20348804500703235,0.25806451612903225,0.5153958944281525,0.4
residual_only,i9_fault_residual_score,0.6733333333333333,0.7666666666666667,0.02354570637119114,0.19658119658119658,0.20096916971916973,0.25806451612903225,0.5153958944281525,0.4
residual_only,i9_fault_residual_score,0.6931111111111111,0.7666666666666667,0.022160664819944602,0.19742489270386265,0.20139101778050275,0.26666666666666666,0.5196969696969697,0.4
residual_only,i9_fault_residual_score,0.7128888888888889,0.8148148148148148,0.02354570637119114,0.1896551724137931,0.19437509751911375,0.25806451612903225,0.5192761605035405,0.4
residual_only,i9_fault_residual_score,0.7326666666666667,0.9090909090909091,0.02354570637119114,0.18518518518518517,0.18742017879948913,0.25806451612903225,0.5344376634699215,0.4
residual_only,i9_fault_residual_score,0.7524444444444445,0.9090909090909091,0.02354570637119114,0.18518518518518517,0.18742017879948913,0.25806451612903225,0.5344376634699215,0.4
residual_only,i9_fault_residual_score,0.7722222222222223,0.9130434782608695,0.022160664819944602,0.17757009345794392,0.17969413763806286,0.26666666666666666,0.5333333333333333,0.4
residual_only,i9_fault_residual_score,0.792,0.9473684210526315,0.019390581717451526,0.16901408450704225,0.17184328679500582,0.2857142857142857,0.5252100840336135,0.4
residual_only,i9_fault_residual_score,0.8117777777777778,0.9473684210526315,0.019390581717451526,0.16901408450704225,0.17184328679500582,0.2857142857142857,0.5252100840336135,0.4
residual_only,i9_fault_residual_score,0.8315555555555556,0.9473684210526315,0.018005540166204988,0.16666666666666666,0.16784037558685444,0.29629629629629634,0.5305010893246188,0.4
residual_only,i9_fault_residual_score,0.8513333333333334,0.9473684210526315,0.018005540166204988,0.16666666666666666,0.16784037558685444,0.29629629629629634,0.5305010893246188,0.4
residual_only,i9_fault_residual_score,0.8711111111111112,0.9473684210526315,0.01662049861495845,0.16740088105726872,0.16820748278215547,0.3076923076923077,0.5361990950226245,0.4
residual_only,i9_fault_residual_score,0.890888888888889,0.9473684210526315,0.013850415512465375,0.1511111111111111,0.16006259780907667,0.3333333333333333,0.5490196078431373,0.4
residual_only,i9_fault_residual_score,0.9106666666666667,1.0,0.013850415512465375,0.14285714285714285,0.15633423180592992,0.2608695652173913,0.5127877237851662,0.3
residual_only,i9_fault_residual_score,0.9304444444444445,1.0,0.013850415512465375,0.14285714285714285,0.15633423180592992,0.2608695652173913,0.5127877237851662,0.3
residual_only,i9_fault_residual_score,0.9502222222222223,1.0,0.011080332409972301,0.12612612612612611,0.14796872344042156,0.28571428571428564,0.5252100840336135,0.3
residual_only,i9_fault_residual_score,0.97,1.0,0.009695290858725763,0.11764705882352941,0.1437291897891232,0.3,0.5323529411764706,0.3
full_residual_consensus,i9_fault_consensus_score,0.08,0.03767660910518053,0.40632461222513483,0.06966618287373004,0.07136499596682118,0.06959706959706959,0.0773517262878965,0.95
full_residual_consensus,i9_fault_consensus_score,0.09977777777777778,0.0634765625,0.31015310637303195,0.10551948051948051,0.11254758982579618,0.08470588235294119,0.0928579916815211,0.9
full_residual_consensus,i9_fault_consensus_score,0.11955555555555555,0.09473684210526316,0.2235987511061393,0.13881748071979436,0.14363276195233982,0.10778443113772455,0.11067454995372032,0.9
full_residual_consensus,i9_fault_consensus_score,0.13933333333333334,0.1409921671018277,0.1787187150418246,0.17921146953405018,0.18319325643080325,0.13793103448275862,0.1392780172413793,0.9
full_residual_consensus,i9_fault_consensus_score,0.15911111111111112,0.18055555555555555,0.13063296211577313,0.2157676348547718,0.21795407503862713,0.1702127659574468,0.17465862178469355,0.8
full_residual_consensus,i9_fault_consensus_score,0.1788888888888889,0.2145922746781116,0.10178151036014225,0.234192037470726,0.2382300393539197,0.1728395061728395,0.19551066217732885,0.7
