fault_threshold,weather_threshold,k,n,window_minutes,enable_drift_rescue,drift_rescue_threshold,drift_min_fault_probability,weather_agreement_threshold,weather_probability_floor,recovery_points,search_stage,fault_precision,fault_recall,fault_f1,false_alerts_per_station_day,weather_f1,weather_precision,weather_recall,fault_to_weather_rate,weather_to_fault_rate,normal_to_fault_row_rate,worst_domain_fault_precision,worst_domain_fault_f1,worst_domain_false_alerts_per_station_day,worst_domain_normal_to_fault_rate,worst_domain_weather_to_fault_rate,objective,policy_eligible
0.75,0.35,1,2,720,False,10.0,0.30000000000000004,0.5,0.1,2,core,0.07725321888412018,0.6545454545454545,0.13819577735124763,0.13844172569220864,0.3804347826086956,0.23675310033821872,0.967741935483871,0.4727272727272727,0.22119815668202766,0.02329643874225654,0.04534005037783375,0.08510638297872342,0.19576446280991736,0.03369939199698355,0.27380952380952384,-4.3415336477438,False
0.75,0.55,1,2,720,False,10.0,0.30000000000000004,0.5,0.1,2,core,0.07725321888412018,0.6545454545454545,0.13819577735124763,0.13844172569220864,0.3804347826086956,0.23675310033821872,0.967741935483871,0.4727272727272727,0.22119815668202766,0.02329643874225654,0.04534005037783375,0.08510638297872342,0.19576446280991736,0.03369939199698355,0.27380952380952384,-4.3415336477438,False
0.75,0.75,1,2,720,False,10.0,0.30000000000000004,0.5,0.1,2,core,0.07725321888412018,0.6545454545454545,0.13819577735124763,0.13844172569220864,0.3804347826086956,0.23675310033821872,0.967741935483871,0.4727272727272727,0.22119815668202766,0.02329643874225654,0.04534005037783375,0.08510638297872342,0.19576446280991736,0.03369939199698355,0.27380952380952384,-4.3415336477438,False
0.75,0.9,1,2,720,False,10.0,0.30000000000000004,0.5,0.1,2,core,0.07725321888412018,0.6545454545454545,0.13819577735124763,0.13844172569220864,0.3804347826086956,0.23675310033821872,0.967741935483871,0.4727272727272727,0.22119815668202766,0.02329643874225654,0.04534005037783375,0.08510638297872342,0.19576446280991736,0.03369939199698355,0.27380952380952384,-4.3415336477438,False
0.75,0.35,2,3,720,False,10.0,0.30000000000000004,0.5,0.1,2,core,0.06334841628959276,0.509090909090909,0.11267605633802817,0.13329040566645203,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.019435718270162355,0.03183023872679045,0.05955334987593052,0.18853305785123967,0.028184946033840787,0.2619047619047619,-4.36025443482966,False
0.75,0.55,2,3,720,False,10.0,0.30000000000000004,0.5,0.1,2,core,0.06334841628959276,0.509090909090909,0.11267605633802817,0.13329040566645203,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.019435718270162355,0.03183023872679045,0.05955334987593052,0.18853305785123967,0.028184946033840787,0.2619047619047619,-4.36025443482966,False
0.75,0.75,2,3,720,False,10.0,0.30000000000000004,0.5,0.1,2,core,0.06334841628959276,0.509090909090909,0.11267605633802817,0.13329040566645203,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.019435718270162355,0.03183023872679045,0.05955334987593052,0.18853305785123967,0.028184946033840787,0.2619047619047619,-4.36025443482966,False
0.75,0.9,2,3,720,False,10.0,0.30000000000000004,0.5,0.1,2,core,0.06334841628959276,0.509090909090909,0.11267605633802817,0.13329040566645203,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.019435718270162355,0.03183023872679045,0.05955334987593052,0.18853305785123967,0.028184946033840787,0.2619047619047619,-4.36025443482966,False
0.75,0.35,2,3,720,True,10.0,0.30000000000000004,0.5,0.1,2,drift_challenge,0.06334841628959276,0.509090909090909,0.11267605633802817,0.13329040566645203,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.019435718270162355,0.03183023872679045,0.05955334987593052,0.18853305785123967,0.028184946033840787,0.2619047619047619,-4.36025443482966,False
0.75,0.55,2,3,720,True,10.0,0.30000000000000004,0.5,0.1,2,drift_challenge,0.06334841628959276,0.509090909090909,0.11267605633802817,0.13329040566645203,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.019435718270162355,0.03183023872679045,0.05955334987593052,0.18853305785123967,0.028184946033840787,0.2619047619047619,-4.36025443482966,False
