seed,scope,domain,cluster,precision,recall,f1,auprc,weather_event_rows,weather_event_episodes,fault_to_weather_rate
8023,discovery,dwd_all,dwd_east_continental,0.896551724137931,0.9037433155080213,0.9001331557922769,0.9570823355852295,374,6,0.016129032258064516
8023,discovery,dwd_all,dwd_north_coastal,0.9391100702576113,0.7862745098039216,0.855923159018143,0.9521294670434308,510,6,0.018518518518518517
8023,discovery,dwd_all,dwd_south_upland,0.8423076923076923,0.85546875,0.8488372093023255,0.9470673523598304,512,6,0.050505050505050504
8023,discovery,dwd_all,dwd_west_lowland,0.9409368635437881,0.9428571428571428,0.9418960244648318,0.983176692191418,490,6,0.0
8023,discovery,dwd_holdout,dwd_east_continental,0.9333333333333333,0.9130434782608695,0.9230769230769231,0.9711260675459625,92,6,0.020202020202020204
8023,discovery,dwd_holdout,dwd_north_coastal,0.9622641509433962,0.796875,0.8717948717948718,0.9542997887992326,128,6,0.029411764705882353
8023,discovery,dwd_holdout,dwd_south_upland,0.7985074626865671,0.8359375,0.816793893129771,0.9236609855527188,128,6,0.0
8023,discovery,dwd_holdout,dwd_west_lowland,0.9512195121951219,0.9669421487603306,0.9590163934426229,0.9870609764111397,121,6,0.0
8023,confirmation,dwd_all,dwd_east_continental,0.9099099099099099,0.9439252336448598,0.926605504587156,0.9777682338102704,428,6,0.0
8023,confirmation,dwd_all,dwd_north_coastal,0.9420935412026726,0.9484304932735426,0.9452513966480447,0.98372758021339,446,6,0.031496062992125984
8023,confirmation,dwd_all,dwd_south_upland,0.981859410430839,0.8983402489626556,0.9382448537378115,0.9840847340763909,482,6,0.007462686567164179
8023,confirmation,dwd_all,dwd_west_lowland,0.9355432780847146,0.9676190476190476,0.951310861423221,0.988655874640086,525,6,0.018867924528301886
8023,confirmation,dwd_holdout,dwd_east_continental,0.8888888888888888,0.9811320754716981,0.9327354260089686,0.9839319211282893,106,6,0.0
8023,confirmation,dwd_holdout,dwd_north_coastal,0.9541284403669725,0.9454545454545454,0.9497716894977168,0.9779089076367055,110,6,0.0
8023,confirmation,dwd_holdout,dwd_south_upland,0.9642857142857143,0.907563025210084,0.935064935064935,0.9723190374771169,119,6,0.011494252873563218
8023,confirmation,dwd_holdout,dwd_west_lowland,0.9312977099236641,0.9457364341085271,0.9384615384615385,0.9794141537485034,129,6,0.0
9029,discovery,dwd_all,dwd_east_continental,0.9547657512116317,0.935126582278481,0.9448441247002398,0.974883862010775,632,6,0.007352941176470588
9029,discovery,dwd_all,dwd_north_coastal,0.91796875,0.8935361216730038,0.905587668593449,0.9638193457620825,526,6,0.022388059701492536
9029,discovery,dwd_all,dwd_south_upland,0.8833333333333333,0.8313725490196079,0.8565656565656565,0.9485548234867885,510,6,0.007142857142857143
9029,discovery,dwd_all,dwd_west_lowland,0.974169741697417,0.9295774647887324,0.9513513513513514,0.9849232375868999,568,6,0.009174311926605505
9029,discovery,dwd_holdout,dwd_east_continental,0.9324324324324325,0.8679245283018868,0.8990228013029316,0.9802946671358402,159,6,0.07142857142857142
9029,discovery,dwd_holdout,dwd_north_coastal,0.8905109489051095,0.9384615384615385,0.9138576779026217,0.9701173950876536,130,6,0.0
9029,discovery,dwd_holdout,dwd_south_upland,0.8384615384615385,0.8515625,0.8449612403100775,0.9368113760185577,128,6,0.0
9029,discovery,dwd_holdout,dwd_west_lowland,1.0,0.971830985915493,0.9857142857142858,0.9975923165409466,142,6,0.0
9029,confirmation,dwd_all,dwd_east_continental,0.9620535714285714,0.9620535714285714,0.9620535714285714,0.9900739080636525,448,6,0.0
9029,confirmation,dwd_all,dwd_north_coastal,0.9334532374100719,0.9301075268817204,0.9317773788150808,0.9829030457180921,558,6,0.032520325203252036
