seed,scope,domain,rows,iteration8_precision,iteration9_precision,iteration8_point_f1,iteration9_point_f1,point_f1_delta_vs_i8,iteration8_event_f1,iteration9_event_f1,event_f1_delta_vs_i8,iteration8_weak_recall,iteration9_weak_recall,iteration9_false_alarm,iteration9_weather_f1,iteration9_fault_to_weather,iteration9_drift_episode_recall
8023,discovery,dwd_all,47121,0.8,0.96,0.3274021352313167,0.193158953722334,-0.13424318150898273,0.37037037037037035,0.5294117647058824,0.159041394335512,0.4166666666666667,0.3333333333333333,0.00254151135208404,0.8857065657930289,0.020134228187919462,0.25
8023,discovery,dwd_holdout,11808,0.875,1.0,0.3925233644859813,0.3804878048780488,-0.012035559607932511,0.35294117647058826,0.6,0.24705882352941172,0.3333333333333333,0.3333333333333333,0.004066418163334463,0.8893709327548807,0.018072289156626505,0.0
8023,confirmation,dwd_all,46667,0.6666666666666666,0.9117647058823529,0.22448979591836735,0.22262118491921004,-0.0018686109991573052,0.3050847457627119,0.4000000000000001,0.0949152542372882,0.4166666666666667,0.4166666666666667,0.006149641270925864,0.940926024481107,0.014314928425357873,0.0
8023,confirmation,dwd_holdout,11617,0.765625,0.98,0.45161290322580644,0.4827586206896552,0.031145717463848754,0.42105263157894735,0.6153846153846153,0.19433198380566796,0.5555555555555555,0.5555555555555555,0.006149641270925863,0.9389067524115756,0.006535947712418301,0.0
9029,discovery,dwd_all,47121,0.8888888888888888,1.0,0.24,0.2195540308747856,-0.020445969125214403,0.46511627906976744,0.4666666666666667,0.0015503875968992387,0.4166666666666667,0.25,0.001524906811250424,0.9172932330827067,0.011560693641618497,0.25
9029,discovery,dwd_holdout,11808,0.9473684210526315,1.0,0.36,0.3125,-0.04749999999999999,0.6666666666666665,0.5714285714285715,-0.09523809523809501,0.3333333333333333,0.3333333333333333,0.0,0.9118705035971223,0.012345679012345678,0.0
9029,confirmation,dwd_all,46667,0.7075471698113207,0.9130434782608695,0.2777777777777778,0.2504970178926441,-0.027280759885133676,0.3137254901960784,0.34285714285714286,0.029131652661064433,0.16666666666666666,0.16666666666666666,0.0046122309531943986,0.9374075899457861,0.013824884792626729,0.0
9029,confirmation,dwd_holdout,11617,0.7678571428571429,0.9761904761904762,0.46994535519125685,0.48520710059171596,0.015261745400459104,0.47058823529411764,0.5,0.02941176470588236,0.16666666666666666,0.16666666666666666,0.0020498804236419544,0.9368836291913215,0.0,0.0
9049,discovery,dwd_all,47121,0.75,0.9473684210526315,0.2592,0.24283305227655985,-0.016366947723440134,0.32142857142857145,0.47058823529411764,0.1491596638655462,0.3333333333333333,0.25,0.003049813622500848,0.8981827234254419,0.019342359767891684,0.0
9049,discovery,dwd_holdout,11808,0.8,0.9285714285714286,0.6829268292682927,0.6933333333333334,0.010406504065040623,0.4,0.6666666666666666,0.2666666666666666,0.5,0.5,0.0020332090816672314,0.8871128871128872,0.0425531914893617,
9049,confirmation,dwd_all,46667,0.7731958762886598,0.9576271186440678,0.44642857142857145,0.37919463087248323,-0.06723394055608822,0.37499999999999994,0.6153846153846154,0.24038461538461547,0.6666666666666666,0.6666666666666666,0.003587290741373421,0.9279567248586181,0.02301255230125523,0.5
9049,confirmation,dwd_holdout,11617,0.4878048780487805,1.0,0.3418803418803419,0.4166666666666667,0.0747863247863248,0.18181818181818182,0.4,0.2181818181818182,0.5,0.5,0.0020498804236419544,0.9296875,0.0,0.0
