scope,domain,rows,iteration5_precision,iteration8_precision,iteration9_precision,iteration5_point_f1,iteration8_point_f1,iteration9_point_f1,point_f1_delta_vs_i8,iteration5_event_f1,iteration8_event_f1,iteration9_event_f1,event_f1_delta_vs_i8,iteration8_weak_recall,iteration9_weak_recall,weak_recall_delta_vs_i8,iteration9_false_alarm,iteration8_weather_f1,iteration9_weather_f1,iteration9_fault_to_weather
discovery,india,75815,0.8341013824884793,0.8695652173913043,0.8963414634146342,0.43353293413173655,0.39900249376558605,0.37595907928388744,-0.02304341448169861,0.6194690265486725,0.64,0.6666666666666666,0.026666666666666616,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.004252419244922994,0.7819548872180451,0.7018867924528301,0.008090614886731391
discovery,dwd_all,47121,0.09036144578313253,0.8,0.96,0.07702182284980745,0.3274021352313167,0.193158953722334,-0.13424318150898273,0.0975609756097561,0.37037037037037035,0.5294117647058824,0.159041394335512,0.4166666666666667,0.3333333333333333,-0.08333333333333337,0.00254151135208404,0.8571428571428571,0.8857065657930289,0.020134228187919462
discovery,dwd_holdout,11808,0.19318181818181818,0.875,1.0,0.13385826771653545,0.3925233644859813,0.3804878048780488,-0.012035559607932511,0.06896551724137931,0.35294117647058826,0.6,0.24705882352941172,0.3333333333333333,0.3333333333333333,0.0,0.004066418163334463,0.8635875402792696,0.8893709327548807,0.018072289156626505
confirmation,india,47599,0.8326180257510729,0.8421052631578947,0.8564593301435407,0.5511363636363636,0.5493562231759657,0.5264705882352941,-0.02288563494067153,0.5979381443298968,0.6526315789473686,0.627906976744186,-0.02472460220318251,0.5555555555555555,0.3333333333333333,-0.22222222222222215,0.012519987752185891,0.34,0.3782051282051282,0.03397027600849257
confirmation,dwd_all,46667,0.0377643504531722,0.6666666666666666,0.9117647058823529,0.043440486533449174,0.22448979591836735,0.22262118491921004,-0.0018686109991573052,0.06866952789699571,0.3050847457627119,0.4000000000000001,0.0949152542372882,0.4166666666666667,0.4166666666666667,0.0,0.006149641270925864,0.9083622762489981,0.940926024481107,0.014314928425357873
confirmation,dwd_holdout,11617,0.03587443946188341,0.765625,0.98,0.0425531914893617,0.45161290322580644,0.4827586206896552,0.031145717463848754,0.07894736842105264,0.42105263157894735,0.6153846153846153,0.19433198380566796,0.5555555555555555,0.5555555555555555,0.0,0.006149641270925863,0.9038461538461539,0.9389067524115756,0.006535947712418301
